,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02478727435211703,,,,,,,,,0.04408843151287139,,,0.0161570608113037,,
BMP1,0.03165294809656211,-0.0995118237956357,-0.0010938617185164722,0.011038187131496242,0.00984293656110927,-0.056706217852552636,-0.09900075775476555,-0.03251034413187783,-0.06361663750559518,-0.07064033125021604,-0.09007786160106274,0.019632741738654366,0.02920982669196642,0.005379029877388767,-0.001998217979652417,0.027786945829544194,0.015756159972820826,0.042835650054694356,0.03233981197265101,0.09639311486155745,-0.03220743167983661
NDP,-0.05207675348028372,-0.014050409865067469,-0.014995368999856937,0.007163781114588134,-0.02379170115030043,-0.007625392651294036,0.046399721228759225,0.02727927673267491,0.010314836527138129,-0.028919384405514496,-0.021961123451781084,0.012925093700497433,-0.05231452055735008,0.0626108969431045,0.04426068836929581,-0.030388353453951286,-0.01205856261261026,0.09820231097996598,0.034961427227725606,0.012441852689436823,-0.024369060378967338
TNFSF18,0.09388984484659756,-0.013979050783717402,0.010320358193065086,,,-0.024771317684213433,-0.0368083582785262,-0.015776938759064,,,,0.05809470433593201,,,,0.009537691558359322,,0.008340702994535489,0.032710135511120224,0.039979284163591186,
IL36G,,,,,,,,,,,-0.0183859823666855,,,,,,,,,,
RTN4,-0.0016782676152344576,-0.05093404218591504,-0.017532979192993958,-0.01904465863863722,0.02703245076489124,-0.04962982572954285,0.14527454518916788,0.04369105133155368,0.026495039532208185,0.1490491435869298,0.09252767823689867,0.022635569751310373,-0.04136453722567298,-0.06598446199824598,-0.055515047760735535,-0.014070099544450689,-0.028373555189025915,-0.03444225482581075,0.06755962485146094,-0.00982823103180856,-0.014538150358245377
HEBP1,-0.02943720273638121,-0.07196085290687824,0.029584019780235827,-0.01617552297952754,0.03492277985393436,-0.034054604317172076,-0.00936943754023684,0.02058865227984172,0.022379496471517196,-0.03227505370768368,-0.028533116010316346,0.08119723123662687,-0.015003403803018341,-0.05359430289651376,0.08698626850679732,-0.030235236910972685,0.006740664762275527,0.06544047533229384,0.0653555343769746,-0.02789636143877439,0.0036669586486449213
WNT7B,0.05927796309712557,0.003748051052238347,0.04342254656990911,-0.03780712819871941,-0.01610952664801531,-0.00696073211226985,0.01813422704588529,-0.017092743747082032,0.1199286317187104,,0.0643190935653668,,0.019525082566056246,-0.0025970568577623186,-0.024617599432202784,0.027205876353575593,0.061102618591733875,-0.04031637191989373,-0.010551110913842907,0.05481189607373968,-0.03929241373198355
PTMA,0.01555002270009112,-0.04443486331338761,0.004428342787717131,-0.023314676917572618,0.0018815107583620993,-0.03747720268336728,0.018817285363335056,0.03973051454698414,0.061350255072993354,-0.16121014856241364,-0.12496932672733713,0.019384103534496246,-0.09723010649970049,0.04835412290017164,-0.027502251187941824,0.06118449728647877,-0.0085800789412769,-0.011612392474333795,-0.026228789856821262,0.005913392277643113,-0.06650350923087205
FASLG,-0.017710096747507006,,,,,,,,,,,,,,,,,,-0.02996703409251228,,
