,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.015697214941080874,,,,,,,,,,,-0.020120871275265375,0.04897873483577194,,
BMP1,-0.0912528112902106,0.044498705260459834,0.057708221185649874,0.0001600663746379018,-0.07137437151309874,0.08226179771720173,0.12091235965908592,0.04928737213875112,0.0412851703798612,0.027403555568708014,-0.027176716485630595,-0.029321470872645625,-0.027809518069250028,0.10770819018999452,-0.04853394087509635,-0.03450405778090384,-0.02705306254314313,-0.004455000815655922,-0.025393963265270318,0.13366345919656006,-0.038148194839914266,-0.04649425362645474
NDP,0.0029991690785912536,0.036841047365324835,0.003794514690060213,0.055303828592322093,0.02181191163883404,-0.015021993895922422,0.017389676653118084,0.0790240312632003,-0.0432501180975504,-0.012755713560009636,0.0058914997576975285,-0.031693785081845255,0.027045081821780285,-0.08579814637769247,-0.03063941018625097,0.010549416645431938,0.031909599495144714,0.05386244352741562,0.010957974550876114,-0.0028801854435136992,-0.0389508033034909,0.019637847190884496
TNFSF18,-0.025051864312230467,0.07251808183245292,0.045011382419546456,,,,-0.016407528655659503,-0.023309892944199072,-0.01985719761406764,,,,,,-0.04352269688758497,,,,-0.020750299391946725,-0.0009956000967750315,-0.030335014823335126,
IL36G,,,,,,,,,,,,,0.09370201197582181,,,,,,,,,
RTN4,-0.05821330889175503,-0.01565260203586795,0.062134981957383914,0.016847072577404285,-0.03427146840674429,-0.00020781605653834255,-0.07553624170019106,-0.04505374039617636,-0.04187433377635463,-0.016933169499122155,0.05303439720606685,-0.01691909416720084,0.014103706423779965,-0.05003036683960406,-0.09265244752445356,0.01480455345424586,-0.05390760434652304,-0.06408978927590905,0.03515967685994056,0.06301243813552633,-0.010458183710390785,0.02450859352762265
HEBP1,0.004268225872682878,0.005105142598374523,0.016485881635228256,-0.03086223544481644,0.01628017354133624,0.015529161264013984,0.03217672639477087,0.06973248392354409,-0.04631779211761077,-0.04767222661925288,0.05992070039751428,0.009219774319827014,0.020857092131249592,-0.030923218959332897,0.09227566203158703,0.04376624833816796,0.031018723967098122,0.006778684092473262,0.007724834018171067,0.063544361777434,0.029641557430548162,0.05759418777931351
WNT7B,0.019747930460570218,0.004931316694570165,-0.01957138057317483,-0.02064142937278516,0.017245083348055076,0.03298209191337105,0.0171202427545348,-0.06497028783640421,0.018860157841380315,-0.026630483529252624,,-0.009948861601112927,-0.020208320156865033,0.003466781086457971,,-0.03732868937305475,-0.03742212374477417,0.034057686941489355,-0.03129095423358803,0.09650154594056774,-0.02000614561251931,0.11710966516453297
PTMA,0.03214847589360123,0.011596682235529536,-0.03553979276053563,-0.00797533648655889,0.04077652018396126,0.0014472875071199255,0.13127927635039763,0.03334851736128326,-0.007986863175616274,0.010305912733505711,-0.012049717568715113,0.005186308079652198,-0.005958431368394579,-0.007524926169279823,0.09788200344253473,-0.09886550254967512,-0.01706176803608929,-0.03571539497320727,0.02842886815266137,-0.0009209763470087249,0.10272547245439251,0.039157135605778326
FASLG,,,,,,,,,,,,,,,,,,,,0.02898111812617105,,
CEACAM1,,0.019679650717739115,-0.015019857450634907,,-0.004835227446213438,-0.02717292674048778,,-0.01836960993525818,0.10179226478782147,,,,,-0.050719705826825515,0.12387070285225153,-0.03347696653637217,-0.029910586802645946,-0.008782775641688102,0.039695445392437405,-0.020381067066339374,,
PDAP1,0.0031319796061259784,0.018549035029507516,0.03426033193756458,0.0548000312939979,-0.02346799965488601,0.0020711153646877215,0.038691963442753025,0.031821573595904956,0.004258090273315898,-0.02009717128448486,-0.08355401990081858,-0.003744821924235404,0.008029501433004587,0.06480673163805474,0.026186750807690094,-0.013722518539713712,0.03976432935553705,-0.09017916050261239,0.00329169503138214,0.017898373233030698,0.04387273393228711,0.0796470033014173
QDPR,-0.012240280042014303,-0.01137538623393306,0.01040170376134953,0.05045763520043245,-0.0422322831038722,0.010460190172544551,-0.04406439585214222,-0.004031769315786035,0.019154870238988268,0.016921304560494205,0.013849479051879575,0.004244169632510339,0.01196205698345427,-0.11985702637075281,0.05390008183566312,0.016011509964669567,0.007961116969263854,0.010934975185925849,-0.018505060436697796,-0.056600182639794966,0.020904249086040487,0.0597452738608263
POMC,-0.022126486912815345,0.07761978075986353,0.021895000486324732,,-0.0017947996023066743,0.051261126290760364,-0.0009519703032354552,0.11580813776997886,-0.023040721841165564,0.13091185478233877,-0.02517704501218324,-0.025151064038375064,0.021652255545091394,-0.03708658081310035,-0.03836492909501687,0.021772869714381082,0.044164262069386395,0.010804147594013073,-0.006599860181357177,0.09069689393403409,-0.06459280171576004,-0.0019115003230698803
CCL18,0.15396058087194273,-0.0350683310485424,,,,,,,,,-0.025341078152074717,-0.018576555537446752,,-0.017697910356590962,,-0.023735719688416854,-0.027784630115758158,0.020687000508966904,,,,
CCL17,,,,,-0.029464617375853312,,,,-0.024765791502367226,0.0036473262869517295,,,-0.016796122446455224,,,,0.021428696256687935,-0.036248171777868564,-0.026528206493923876,0.07202924133879368,,
VEGFD,-0.022910663499225364,-0.03506834218438,-0.006276384843035121,,0.08601589114490231,-0.02599751782422452,,-0.02629704570634089,-0.005098573631030747,-0.02417734590728352,-0.03798161944615154,-0.016993075557181315,-0.018000924657822867,-0.04899577870213778,0.14580772654071741,,,0.05594704131560638,-0.027979069938226273,,,
TNFSF13,,0.05516281710215043,,,-0.026246219685625363,,0.0301655671244524,,,,,,,,,,0.013704125765179672,0.04712805527623154,-0.010629702723752212,-0.009928545037605421,0.07991094876011169,
WNT5A,0.007941509398497042,0.00023865768180278196,-0.007001194225716777,0.01774368062407713,0.016849511942424206,-0.019792830509993815,0.11321013290554514,0.0761546039795701,-0.007506705779580417,0.032596599723480835,0.02392188901857451,-0.004507475771412008,-0.006977510142899478,0.014660697562655813,0.02403745876380655,-0.019306505902036645,-0.006806149730253914,-0.027869224786519157,-0.04187194459638488,0.04322020868538572,0.06235965870162542,-0.018546445628782115
CXCL8,-0.028075504641341884,-0.002186912161159243,-0.020143434762429507,0.0076515563001436195,0.10205287059485837,0.04553776700376054,-0.02263361725813396,-0.01087501288057626,0.0010880098666363465,-0.022514995774812082,-0.06454837671818825,0.01734591636715973,-0.03250445206760631,0.0037680408161998515,-0.07979738972407706,-0.041790471539908516,0.01902193779267805,-0.07747662211413935,0.003698512572418645,0.0009195616932297055,0.06228521748313241,-0.0982152295183245
