,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
DCN,0.022388773148646172,-0.013091048887458734,-0.008326653514930955,0.1260333815182682,0.048781592219137575,-0.006448638073946455,8.810032104140711e-05,-0.021012457066315632,-0.059739948456512114,0.04053732300703575,-0.048411363727263755,0.012728911734425459,0.028029696993941835,-0.006593953890323033
RARRES2,-0.00011083109698646122,0.04389638508995244,-0.06965052644171768,0.10730217385379848,0.013739334146179246,-0.03298552609772097,0.004476638262900876,-0.06603826492303615,-0.021922666397261252,-0.0845774491276866,0.031110280759265762,-0.000874571180206541,0.04125026633139011,-0.0012484840078122628
SEMA4A,0.032012977118644,0.00486519992693692,0.04001898769945527,0.00951718916838259,0.010652302778664673,0.0671176549620012,0.012343569271927318,-0.061260876180045755,-0.041082656868460875,-0.04496639561016915,0.031106194359750254,-0.05245012421174508,0.02878278936864004,-0.050854693226578734
GDF11,0.003500152904388386,0.08711856192331423,-0.01999003636202941,0.08476878609298738,-0.015211859491863378,0.06375460127775896,0.016742540099315313,0.02355501659135463,0.025452769544809167,-0.011716665584340613,-0.04606372846591215,0.024622020252760116,0.05532410620980264,-0.02732410646690998
GPC3,0.01698475776286727,-0.018936670141852328,0.03534719432814006,0.0005450280072638217,0.0962902608503655,-0.008073110748717261,,0.0878745472540962,-0.02170371724380007,0.0912300357571589,0.00545496350573444,-0.040474089983751876,0.010305673006659065,0.042397141609968846
OSTN,,,-0.01695175493728936,-0.025691173370987273,-0.022835834927591767,-0.019331588230661906,,,,,,-0.021245113770497828,,-0.023546121660968464
GRN,0.048403682981130264,0.01857744471458922,-0.003245882031771553,0.13517990431393134,0.03646893792196094,0.028688295327907704,0.02962387610893239,-0.0792405828143702,-0.057625622673258554,0.04229642104665126,0.0059438574504251124,-0.011526681185590902,0.054016353675966855,-0.07694087669340333
CALM1,0.05074606279632035,0.009816250366861701,-0.04857798533094888,-0.10195119603979089,-0.05779660290929631,-0.006607370318897919,-0.01967290567587483,-0.06491107198164776,-0.007677721314107853,0.04202538454019525,0.013767209591451333,0.02066178007644432,0.0063891710644354525,0.002163558142793514
ANGPTL4,-0.03651367205217342,0.04267915572479609,0.06620124219387652,-0.039609545348182416,-0.045067850556498715,0.04216412389833583,0.020345970906015864,-0.14290679230089467,-0.05177614634129386,-0.048250279104471515,-0.02765376476269393,-0.08589656526586191,0.04592265946886533,-0.007821755928111136
BMP8B,0.03475437746871427,-0.01383832507470936,-0.02100440634597571,0.09350060048804663,-0.014187498749060702,-0.010426472112673304,-0.006431432612951187,0.11454703182437452,-0.07355464098498801,-0.053644364142317345,0.020619010770727406,-0.011125041153903588,0.0939214302918224,-0.005709694404356983
