,UKF260,ZH8811Abulk,ZH881T1,ZH916bulk
BMP1,0.023913677454905868,0.03363220922111875,0.05606247053317238,0.10296598709071805
NDP,-0.01877222725549921,-0.02823563136843833,-0.0026799843588183195,-0.011073239520782903
TNFSF18,,,,0.022938628105724366
RTN4,0.0014030450065602017,0.06470877157757866,-0.016965497821185997,0.05654541573469879
HEBP1,-0.017582372629305718,-0.030548500296185787,0.03353563261833432,-0.004212732650978907
WNT7B,-0.024381760538922586,0.011121360770644134,0.051245551931785926,0.01511818301647526
PTMA,0.030873436996036827,-0.03316013604704168,0.027748364435508797,0.08030060273313004
CEACAM1,0.04850704118815492,-0.021321063997295983,-0.01351765766452986,
PDAP1,0.052199956638726765,-0.012853076035887279,0.012692200329018192,-0.005207487091762565
QDPR,-0.012964579442900602,0.006271093638576917,-0.0016410842474326522,-0.03190189846227358
POMC,-0.04200530074548807,-0.03371792986063031,0.0938900797688713,-0.018735642662567213
CCL18,,0.19162947908004466,-0.03691846717483825,
CCL17,,-0.015126262937576128,,
VEGFD,0.017208965026505447,,,
TNFSF13,,-0.014173410250664934,0.03311400573986128,-0.009399938832262804
WNT5A,0.028097340861937912,-0.013558544228598396,0.013880067340928068,0.007719667301581921
CXCL8,0.028083240973694506,0.0327993361371249,-0.02956821214457541,-0.03608203646359765
GRN,0.04951279279219798,-0.0017255920313810264,0.040149849201138,0.01630750190790802
MIA,0.07957690997207835,0.027190450251595513,-0.0009807937492894289,0.033845499685472596
COL4A4,0.023988675833845258,0.002446558586347361,0.05399436458998638,0.008277322686237563
TAC1,-0.06459319810083809,,-0.02332181041532054,-0.015461722473972575
RARRES2,0.050503013949410716,0.06506342058936407,0.045782908959530806,-0.025322603400034702
FGF7,-0.03824048277623567,0.0024651494346046303,0.02190698393060314,0.05122472701243955
HBEGF,-0.032074914822039224,0.007102502467335612,-0.017978697067871464,0.10789202573333725
CSF3,-0.05386522726220221,0.014192471333586216,-0.019379408756106446,0.20042356045671933
PI3,-0.06126590621898026,0.005046441701739895,0.03446262112693683,0.021408028831513656
PCSK1N,-0.02405072228172648,0.053832973481824566,-0.0180182892197678,-0.06798874560287665
NTS,-0.01742378869647778,-0.03528799684742336,-0.019259031324238087,
SFRP1,-0.022784540398893934,0.0031237990233342412,-0.04405365571868961,0.07801652437050369
CXCL13,0.04240379083072443,-0.008197427712156778,0.01779561674259713,0.13412318211131555
MICA,-0.05384897169714961,0.005227373867742195,0.06907631909194847,0.06346435579894048
TG,0.0061250319356327115,-0.020099021661563434,-0.01594955120152648,-0.03963928279514585
ADA,0.08403960838580453,-0.01725115108544122,0.03259807474155853,0.0813468830661047
LAMC3,0.021996238834340584,0.004558647546937404,0.06711863087898119,0.10879539370911204
CCL7,0.06084930611744507,-0.022670781530413065,,0.012845208882945321
NGF,-0.009325445937959441,0.09286988952228915,0.012362115234292615,0.02268833859851217
TNFSF15,0.012466172202336758,-0.022101466282947128,0.04963447336432887,0.14367470285962813
HMGB1,0.0015045092253632673,-0.08080275043110555,-0.0030807971459179497,-0.00034500750000041974
ITGB3BP,-0.049873826477479295,-0.004456432272620866,0.0015590180587460784,0.054439426879737705
AANAT,-0.01997195646939904,0.0020808748662011693,,0.14221891371187168
RELN,0.06359001632295545,,-0.014536106219093087,0.0054896905336209055
IL15,0.03223925370481859,0.0003131583669834189,0.022527893139794475,0.026317046397810448
UTS2,,-0.01693666006876679,,
BSG,-0.008773516487030994,0.12070604791769779,0.030367588250721948,0.08938542755141402
ADAMTS3,0.09366682185254767,0.011491067282643017,0.06356222868528628,0.0690876577634893
CD34,0.003427561053419204,0.04075897926892563,0.01634948804673423,0.04910454287314203
PLAT,0.018890676124221475,0.05590715922410451,-0.004342240228362895,0.07259578615512595
NTF3,,0.009756493411919467,0.057374058453353166,
CKLF,0.04655214622697956,0.03592376046300648,0.024871351113442852,-0.018846164320721205
CD24,-0.019481332022868614,0.04948387433989909,0.036116523907036825,0.08629946885446343
HSP90AA1,-0.046283045080258,-0.007215957795536944,-0.005908677057228426,-0.016699934227367295
BMP4,-0.03875880776762725,-0.012242517979204306,0.09219231711672975,-0.03002248546782958
SCGB3A1,-0.02378413462496976,-0.034505887893963624,-0.008922449539684428,0.03293384610694416
IGFBP4,0.012950390233282004,-0.0036700401902055387,0.0868273137937759,0.12459793672560886
RSPO4,0.0004582080614978843,,0.005058221068689459,-0.0038733886971323776
LEFTY2,-0.04260781912524057,-0.019244926256048712,-0.022888566634103626,0.09871680807414601
PF4,,,,-0.02674640583485604
ANGPTL2,0.0472724362236086,0.023365150313222928,-0.041637011266666295,0.09866545138913665
LRIG2,0.014777854832055608,0.026712439404323152,-0.0262590686925929,0.02658077090416904
ICOSLG,0.04920933081936488,0.009403273043722009,-0.010559747999366584,0.06732014759859549
WIF1,0.02265545177840491,,-0.015645715708879966,0.015804362357285294
NPPC,0.0369443815441375,0.09872665592205826,0.0167063839414494,0.06007755358066014
LYZ,-0.019340078726836893,0.008021828421704775,-0.016671410057185258,0.03117286169891037
EREG,-0.03862972915802366,0.022092978425489386,-0.02096285336347065,-0.030793036278342283
SPTAN1,-0.011600876623573233,0.06905681884348527,-0.016930489462853592,-0.03727480698652307
PTH2,,,0.015139400616308866,
LIPC,0.030272591897867678,,,0.035590716963522645
COL8A1,-0.0039597577610165835,0.021147235421955127,0.034945681485159925,0.049226277337741396
GSTM2,-0.01503990182419633,-0.02935612481804127,0.020300115596868847,0.031547585332996855
SPX,-0.053302378884010675,-0.022857726255009495,-0.04141930329001474,-0.04155906039844656
MFGE8,0.06603940422522406,-0.05653537256486522,0.09577873495911084,0.06062882283002011
TGFA,0.028532352531360376,0.08114454647276664,0.040276629855499506,0.058035693740828884
SLIT2,0.03773644777606265,0.04946193280960033,0.034666402472939575,0.020943371519373956
PLTP,-0.001535485686676116,-0.020774061940741086,0.0001949442362369385,-0.015813634573389333
APOD,-0.032863971931112165,-0.016238697777819118,0.009781795666236652,-0.023953393951979117
B2M,0.025769097769396506,0.04873787748811752,0.02915150941967407,0.03743121140109558
OMG,0.026535645027229316,-0.06485166268766779,0.0006234066842795391,-0.03908024028283521
CXCL3,-0.06038347500318499,-0.044494354326908535,-0.012514485301044312,0.07996052908838404
CXCL10,0.11252474442165242,-0.023410490310144923,0.04354597042910768,-0.028101505429708493
RSPO3,-0.026576835098469996,0.013616179074935697,0.056548903265867236,0.02010102630589702
CORT,0.01650487635493514,-0.02585069047807151,0.07962663915834234,
NCAN,-0.04450560418751422,0.01631535494943004,-0.026893310196756233,-0.022207946652745014
PRG4,0.01983559388621534,0.08136581106145076,0.008716375537026371,0.12643183592331816
ZG16B,,,,-0.02281742728347795
TGM2,-0.014219866932198356,-0.00513681923734189,0.06478426796494229,0.05586922774487739
VEGFC,0.062505960953017,0.0010775878486008871,0.02656054766320531,0.12904446798787927
WNT6,-0.026220017712833752,-0.02100793081354836,0.09703605794998935,-0.023577248105996314
NRG4,-0.02710420596433298,,-0.02222530473057149,0.026422151211859136
PMCH,,0.05259979605797307,0.10119681201599097,-0.011218748538572248
COL9A1,0.026998003727406333,0.0033214146720236624,0.02066157368614129,0.01128181218394847
GDF11,0.05476065233390093,0.011125641486423614,0.04212730221798864,0.03666537453279954
IL24,,-0.01718052090975944,,0.0900893148983677
SORBS1,0.033183942656545395,-0.034704270912085965,-0.0020594951373315395,0.009042193431798478
DLL1,0.028905783830453412,-0.0043491063026945605,0.023884887976722478,-0.01029880384281013
TLN1,0.06463184054465816,0.020684251916683452,0.0339017481094468,0.0707621725278385
COL2A1,-0.01699571095476775,0.009626678403799764,0.0026595502216501094,0.01601341799406835
SHH,-0.025558185057564957,0.048677425366744825,0.033655168170470345,0.0362077517051576
PON2,0.00012191248354945085,0.030728001019910547,-0.04644827348308229,-0.0022873416501567063
ICAM5,-0.0020926780845357943,-0.020144077978921943,-0.028124386913157683,0.05138579873228496
HPX,0.03245922744581429,0.09061173613438922,-0.025205115470393294,-0.03665384500966884
SFRP2,,-0.0008297906747797436,0.07026854009827821,0.13120650170888312
CFC1,,,,-0.03137348110933178
CD70,,0.04323859395430816,0.012761062965787306,0.12420707069173996
HP,0.005806226257819408,0.0035321763731348556,0.06286486098457678,0.05099518135790641
CXCL2,-0.05350265543590659,-0.005181388994789636,-0.04330310195070481,0.04873328184428687
NPPB,,0.020824449831370214,-0.019125561548563298,
CCK,-0.015381200872408,-0.00883901010972861,0.008967843909465749,-0.06766074420183468
SEMA6A,-0.040658939620562884,0.024435479293544025,0.011394917681219694,0.10554361898010994
IRAK4,0.016419849347662455,-0.01907989595164702,-0.03291461853951375,0.04686450191899767
GSTP1,-0.042114484751958434,0.09694176882080255,-0.004383670594116969,0.017620563232094866
VCAM1,-0.031049947711369565,0.014191687928013284,-0.02909083092462429,0.042023700967622764
NXPH3,0.001935069098237446,0.0541250149360345,0.06100243185400388,-0.017267374183091974
MTMR4,-0.05054652483145727,-0.02058176285448551,0.00032529390844784553,0.08887779545310048
LAMC2,,-0.021121883208070232,-0.012420914611446841,-0.034143353207787025
IL10,0.03278568885816621,0.017701161690810117,0.059759511698048266,0.04160901924640321
SEMA4D,0.0035923735438027874,-0.01790647274445099,-0.059437715769734875,0.04796395687220808
TRH,0.09417678143024943,-0.0030940740183945494,0.05726156338308033,0.1203864749982509
SEMA6D,0.007405265241855834,0.04376007625982936,-0.052206817203874434,0.08628278129815639
CEL,-0.032996817233117044,0.07466207734933476,0.03977545552892374,-0.022561939601923073
PDCD1LG2,-0.03718673933933113,0.008325624557905887,-0.025669217307201356,0.12030585689293029
SPINT1,-0.007002717835526725,0.04451010651889339,0.08896512082820178,0.08031211976636175
CTHRC1,0.015880927924564886,0.03540000720895124,0.07752051398342844,0.0724590389788349
PODXL,0.06398080412358899,0.037094960906122514,0.05001499220710601,0.1057980844417704
JAM3,-0.004554187133133766,0.10331995969896936,0.005291019163240685,0.05536360306814482
TGFB2,-0.017340744743136873,-0.005888811743888914,0.023119345424519662,0.042386890504267846
COL18A1,0.011689888326605771,0.013797871098513517,0.08283709677068697,0.08796030508210687
NODAL,-0.021243094662909322,-0.025683164739925872,0.1430651148371042,0.006658456698594886
INHBB,-0.002765448324539272,0.02110323992356193,-0.0006056003026332995,0.06500219689687531
LCN1,,0.004660819604994248,,0.059363621434592825
ARF4,-0.006133823328691052,0.020428166370415154,-0.028988732954806615,0.07147444693125202
CXCL14,-0.07220208320423822,-0.02546241965390405,-0.01125185038999091,0.0022837800722517285
LIF,-0.017392910498216452,-0.0053711373560564775,0.025858943712765974,0.08279015122977218
IL17B,,-0.023772610922732702,-0.017671403707761723,0.08331360741388286
MMP1,-0.01672506448499125,-0.03755887451079597,-0.012796411820130773,0.007328465102042648
MATN1,,0.17474424597567376,-0.01821227863533342,-0.024675761048353843
ADAM28,-0.04938654795456745,0.008722639528601379,-0.02087015685237743,0.025333364643416532
TCN2,-0.03727853543968273,-0.02521675457822073,-0.02815933205280556,0.04481744206590774
THPO,,,-0.015798308163063705,-0.02351730773145095
CUBN,0.0913955815356147,0.05070957796378027,0.01440870770607684,0.003803269596668264
TIMP3,-0.026223186081574635,-0.009180175762600704,0.060900167996488834,0.08271058416441711
PIGF,0.05202431790954236,-0.006245906661874716,0.019454738761490512,0.07213889832792253
CRH,-0.016995714073207432,-0.0067463864866818294,-0.03443925961170325,0.05424666439935747
BDNF,0.013996480332516737,0.039518041940456675,0.057048239973809284,-0.024958649824582606
CCL5,0.02025506446525294,-0.002434103781994844,0.05037324613757356,-0.06111236900166136
GAD1,-0.03153512504231947,0.05375674975112574,0.042440810772634625,0.08551275109333807
COL14A1,-0.025378456795728768,0.0008803682251737128,0.04659299397740019,0.07419780364869376
HLA-A,0.03013178111237779,0.08631686912337135,0.014976622738306552,0.092386299500678
FGF18,0.07347412476409139,-0.028104920421377633,-0.005625409399026251,-0.03387536544811773
ADM,0.010096451207210748,0.0714643109618074,0.012614269074497853,0.027470709680531023
GNAI2,-0.03759034682255154,0.004111577103189998,-0.01546471948705536,0.08355488164855775
HDC,,,,0.017690899125895772
COL11A1,-0.004819890674213356,-0.0031298041188882785,0.059235880167097694,0.05751699564560968
NUCB2,0.033511595228137285,-0.023097982418622487,-0.02449735225599282,0.028398247645673544
FGF16,,,,-0.024314743672343785
CXCL1,-0.03226870747616135,0.07930743790222483,0.014642099699375404,0.02469199595866164
VCAN,-0.018764202266564358,-0.03156969919406392,-0.023002535904984845,0.08044526541175176
MMP7,,-0.020204695031544918,-0.00216509954397879,0.05366261138485415
PTPN6,0.0187320760305594,0.022064157411565883,-0.02087276905639111,0.04264785268650999
PTGS2,-0.02501822490325644,0.061533901744515986,-0.001602030063495154,0.023608727370672062
XCL1,-0.017784058393781048,,,0.05095630802500835
CD58,0.030139631481412292,0.028498179158857533,0.04046516672424392,0.04094612408418842
TNFSF14,0.10242390430581468,-0.0032441958803240455,-0.018477347097953862,0.04561446634738304
CNTN4,-0.041883999057015446,-0.026777468099553694,0.0315904656478889,0.056874344528060713
INSL3,,-0.007827603215126567,-0.018477345312744618,
BTLA,-0.018540472905047463,,,
MFNG,-0.0033148375158984877,-0.029715195892231535,0.08883328836331711,-0.026681983505872586
ICAM1,0.0019958250408982497,0.03293160109489068,0.0015793727957542007,0.0878260738456569
PROS1,0.029487715860211528,0.020409822865830585,0.007887561786703507,0.06355084598469316
CLCF1,0.015304621305986806,-0.031872307993322024,0.0005563964460858423,0.08195490457757074
PSAP,0.037663059187873035,0.13103853861131462,-0.02315176966808061,0.04039127262432584
EFEMP1,0.08168465557574502,0.04718277411933723,-0.030849318671168267,0.12683001614801398
C1QTNF1,0.08951234708626715,0.08591545511555326,0.005623963772249894,0.10189300287140853
ALB,0.10622415888302479,0.08689437381309535,0.017216339817724028,-0.005744477224410192
CCL13,,-0.01668942545396972,0.015120243459967875,
EFNA3,0.0005310046083130882,0.0975300706565042,0.05759739969135115,0.07368578615117213
