,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0710458059304855,,,,,,,,,,,-0.024374734224755574,,-0.030098154487248698,,
BMP1,-0.036319783086399146,-0.025323729010719127,0.02264155631486786,0.03940656818800188,0.004798153216572183,0.06546128947984911,0.10142999266878694,0.10459377846647754,0.07276224234767949,0.02748557547447331,-0.0031893348675152695,0.004023386569799297,0.0552172381524164,-0.11772784673453866,-0.012375064194501474,0.0925328673062105,0.010654564639964417,0.026961043738072833,-0.07424452511499827,0.05072165313660966,0.06108281291951759,0.05509286562912936,-0.10713952785147865
NDP,0.027017586756677467,-0.0175321109415258,0.009459414091438217,-0.00650583146314422,-0.04582637655651093,0.02012593768412355,-0.037797671989618455,-0.007797257378631791,0.0604601125103295,0.02376075955450292,0.015849853800257576,-0.0274025811093074,0.049630140105401545,-0.11994572552313275,0.021769522545970543,0.005971855055164322,0.05375969940031801,0.1035958802620287,0.05330686342371122,-0.025054736227358272,0.0036694374447251974,0.08282038365545846,-0.06582221857683017
TNFSF18,0.04179286424271697,0.06306208287865073,-0.007800202160785523,,,,0.017549619079004184,-0.02285896916188639,0.00524762971329144,,,,,,0.019661014433704535,,,,-0.00566391849597436,,0.023487001800012206,-0.015696438192535182,
IL36G,,,,,,,,,,,,,-0.0233694481399286,,,,,,,,,,
RTN4,0.0010664023772084404,0.06332757725023964,0.0117655015381284,0.058962443969606114,0.008282234810764318,0.09520712225682852,-0.03765223245697448,-0.11202638469493366,0.014203851870789172,0.04109578470529108,0.02076158063073495,9.297391245867765e-06,-0.09648557090959675,0.03412655986886733,-0.10260558393700356,-0.007343817513762636,-0.07074997395251872,-0.012936677883042157,-0.00387617403312068,0.039872580138281086,-0.012133022778254376,-0.01991350248288276,0.10213984332373867
HEBP1,0.004596876323958945,0.041146222355027816,0.0378218180796476,-0.009514746753311324,0.01705201370860302,0.02263383409400351,-0.0028700223950871313,0.06583759304285842,-0.047411139085681446,0.002086182501751365,0.06958866269662313,0.04373502561140587,0.03316491309444809,-0.0268411007949903,0.01856700325038849,-0.05526633238176507,-0.015055413307793595,0.07266363799434261,-0.0021721992905103515,-0.016590921546277275,-0.006247232061422094,0.01274101056716924,0.0031300745758571077
WNT7B,0.021800251266537944,-0.015406206625106514,0.02937937045434812,0.06076023443670979,0.10874765374244404,0.03059758434568365,-0.028518593049651198,0.016686642204014522,-0.03511680355747903,-0.020522808733004303,,-0.011793604620158715,-0.045914342215067495,-0.05820467620461809,,-0.015125375365617526,0.02671525734210147,-0.005831617013200373,-0.04190260286734333,-0.01983852679387783,0.10994043088744361,0.07175554650846885,-0.04739490853511731
PTMA,0.050433805828295424,0.07620943234967147,0.021652668895932564,0.02214605552404032,0.04165918877221589,-0.008816492116963136,0.056432075449420666,-0.04336101070237945,-0.020292184840405774,-0.039230628756499686,0.034130782180412,0.03446728823006811,0.13822894453705525,0.04171299170003078,0.01673728495594389,0.009796782744235646,-0.06506056319844883,-0.0007578587362666378,-0.027793033018746863,0.03522713580425964,-0.013481738700346128,0.0011300232991444592,0.10787440088854094
FASLG,,,,,,,,,,,,,,,,,,,,,0.03823093009119894,,
