,UKF243,UKF255,UKF259,UKF260,UKF269,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,-0.022758196432012316,,,,,-0.035491296969148135,,
BMP1,0.1337018808516916,0.010413974501346578,-0.012651372558207788,-0.02470120891049772,0.10347627876935918,-0.008956753788821319,-0.01189097193277488,0.07013840162670647,0.0021951887291423848,0.053417485824030136,0.014667621334997357,0.01894805104355135
NDP,0.1314063988587602,0.051041198438740505,0.038576644946522555,-0.010748909145483404,-0.010486876197869357,0.05110992371263453,-0.003178515678330592,0.07649683906431748,0.034389416195280444,0.028465460583639465,0.04213474284600402,0.016674818258600087
TNFSF18,0.03585975612504182,,,,0.08432395379852022,,,,,-0.03660154810610218,,0.05380431819261542
IL36G,,,,,,,,-0.01729702627867988,,,,
RTN4,-0.04286924576661469,0.05069421514402966,0.018938312657051065,0.011772511646779034,-0.15687598826999255,-0.045829415171036864,0.03771877039577435,-0.04408860490054031,-0.02841782380869513,-0.08138209167934617,0.03463667309018204,0.03254293803531226
HEBP1,0.04814702897032483,-0.021513365561782464,0.04316376434228063,-0.003785348080924754,0.05307230558819098,0.004127272872270675,0.042546403674429835,-0.01656203460110492,0.03924605457621873,-0.00216220627753053,0.03929619291714273,0.004227488485377015
WNT7B,-0.03190952158789654,0.05504838555014089,0.04912067642643559,0.061173677657376586,-0.06781103385562812,0.03373501266790545,,-0.019011425213784478,0.12572576177127864,0.041289760023225666,-0.02123312723223878,0.006181116899276363
PTMA,-0.13459929466461254,-0.085869016725191,-0.018491871336583962,-0.06150922706325171,-0.015793867577839717,0.0008234116392051141,-0.026440339236013827,0.04179832784889664,-0.049800396776238286,-0.03701873863134144,-0.0882196050688308,-0.04061780625685418
CEACAM1,,,-0.04223629120199729,-0.020874930259369723,-0.044472609009136015,,,,-0.017496423823203138,0.006679508367933857,0.012369642237330655,
PDAP1,-0.020780140885604263,0.020268148269601858,-0.015714396406112663,-0.04587094104527263,0.09978010463159354,0.027509874081791823,0.021169736067241297,-0.014024674670421265,-0.028259601251174736,0.008091266156406424,-0.032486947848923274,0.030986294522343368
QDPR,0.028896657863433775,-0.02440178841552485,0.06573844993793347,0.020928284504980615,-0.09900225546756984,0.012930262337008034,-0.010424879558424938,0.008559338940250894,0.05829268515412638,-0.06012887510363644,-0.01345763066291717,0.060103040355069706
POMC,0.05671720543853953,,-0.0190682465754953,0.0025822120092126874,0.032250349335865416,-0.003784666133267256,-0.042419471698655856,-0.02657415523410854,-0.019374221261259584,0.020042840239951037,0.04298439801998486,
CCL18,-0.02203304030126152,,,,,,-0.021714036584280817,,-0.042725108369597274,,0.00037587827084167234,
CCL17,,,0.022874700873935647,,,-0.02268462325352679,,-0.015801324567983627,-0.025257186204376496,0.0019392124302926744,,
VEGFD,0.02592537977942997,,-0.031498928754088246,0.016943411671090487,0.15997153092461727,0.0012217401123168145,-0.02295581107147931,-0.016934768959255157,-0.017496423823203138,-0.009167901152725812,,
TNFSF13,,,0.053977978123477294,,,,,,-0.012651578154490957,0.07995527314706992,-0.015825197269757264,
WNT5A,0.06844991241499142,0.056183693104183564,0.01751766484733081,0.041812811803962346,0.08055755032986929,0.015196364065905825,-0.051114666214662506,0.05791719142341925,0.05827353102734242,0.01607010697601185,-0.005961300294652872,0.047490346962732084
CXCL8,-0.04905309143923813,0.048610828933106774,-0.03961441536573518,-0.04001608127890334,0.030532479419262386,-0.009872529033142403,0.022016859120430082,0.06666368533767128,-0.10494292282598858,0.011518528484837495,-0.05297788520315758,0.007479396733793311
GRN,0.03614096862422887,0.03691872270422661,0.06367198021447878,0.0139966973223963,0.13646718176192987,-0.020263302025696386,-0.02419354593745064,-0.0418269553052952,-0.007845536677009915,0.062300518991855035,0.00646678847079573,0.0059639146935318655
