,MGH258,UKF243,UKF248,UKF255,UKF259,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk
BMP1,0.0936705149743922,0.025560575391036486,-0.01588635124611827,0.05649241027317739,-0.0156572977083682,0.015616483781008451,0.0019480970376571176,-0.003475535130711919,0.0635824395420124,0.05899234011121974,-0.028602124884558437
NDP,0.032594400893160305,0.11627097339243253,0.031571552225368164,-0.016006161681899635,0.038522724215480614,0.046497976587010624,0.0107310311243125,-0.022069335666450574,-0.07865565178732015,0.08855343435645462,0.037773588944361954
TNFSF18,0.08941942068715425,0.03971522034080855,0.06930783752947149,,,-0.017779781039343502,,,-0.0828140265538027,,
RTN4,-0.16868777536797128,-0.07201875138023472,-0.013820084091702042,0.003108336358033567,0.0074216157146689546,0.04516136924557097,0.06617938627360896,-0.003066079877598483,-0.09814610521043113,-0.11685591030918561,0.032273249694402886
HEBP1,-0.0084172484388207,0.043351773797771054,-0.017874718687301477,-0.022363581512627788,0.02528363774305636,0.01217488157313414,0.013439848962397137,-0.003522611479234825,0.06710728223460706,-0.004527510833952072,-0.04156803995418781
WNT7B,0.05546445893532669,-0.062360731283344954,0.021820020807816545,-0.031103829782574303,-0.026976179549281325,-0.021732019675872273,0.0015212079588355547,0.030008627114465652,,-0.015584687044647362,0.09708138160043608
PTMA,0.05346488288449628,-0.09312766679628262,0.0073181434995782,0.09715045097202521,-0.010577715389329312,0.018718709458622126,0.016844684619805497,0.0847780097508553,0.05583379920499351,-0.12242161061513954,-0.025724535561346327
FASLG,-0.02742071441588864,,,,,,,,,,
CEACAM1,-0.00010309426771787125,,-0.009413377717401023,,0.02824213318762307,-0.008177129765048571,,,0.013955105150016167,0.006512971053809246,0.05626005296308883
PDAP1,0.03353076521734421,0.07755559035272806,0.014717125996614837,0.013488793975124,-0.018910563756417836,0.08324511831735486,-0.01481133650884961,0.05401017814124547,-0.06564182141051769,0.06443887687452053,0.027419770811416326
QDPR,-0.05757145770636265,-0.035146848222615074,-0.012676112521566217,0.056492623832332015,0.023790267701391702,0.03002977731931044,0.0983178706217008,0.08211669747220081,-0.07767542683288138,-0.2173770407135739,0.021449617040959282
POMC,0.060435661766400556,0.02514949431586869,-0.007864160410654531,,-0.02900791424697835,-0.02063025192608872,-0.02276085117981844,-0.002176997659092848,-0.01317872955331157,0.0662756289775611,0.06302435929421767
CCL18,,0.03730589857826965,0.11094444287954551,,,,,0.08995418472553698,,-0.040087444112442104,0.028731063450068966
CCL17,,,,,-0.018054782359879236,-0.00981208597619613,0.008658983643301532,,,,-0.01563224302750151
VEGFD,,-0.05003452962864672,-0.006712766100268654,,-0.020115021333474647,-0.011317213092501712,0.0050947932253091735,0.12161705887390362,-0.008536123283017736,,
TNFSF13,,,0.03760937023542031,,-0.012453784793883699,,,,,,0.028902033803477625
WNT5A,-0.01369071299687577,0.042021051727806645,0.01980665913630397,0.09089261014823558,0.04441101798117746,-0.013523790085824902,-0.011903742850381439,-0.013766589961438506,-0.06892772112659,0.09134616769238718,0.018848747949737385
CXCL8,,-0.0815168484980756,0.01686426811200588,-0.10525694448533282,-0.04301190533436847,0.017180848725740938,-0.01351311585085903,0.050299708601661317,-0.0007659752501562447,-0.07058025685676707,-0.021916572312892225
GRN,-0.10912765323245924,-0.02319723433352886,-0.010937058740054673,0.0005576188237028741,-0.034996328469060325,0.008133153928029355,0.0029124479658742,0.0020174479573334477,0.024538258327973444,0.09747480305515632,-0.026383947505092004
MIA,0.07178287141202092,-0.05347189635599814,-0.028014578810223217,-0.027825927520942647,-0.038017314533828235,0.0020496982032450436,-0.016503013176313815,-0.026436430436599292,0.0705304928302445,-0.021150908425815646,0.051946629035300715
COL4A4,0.028489344099992403,0.0002481358021047607,0.030642590892748782,-0.03154177932255787,0.05127573639315065,-0.023151227970674572,0.06551836393472221,,-0.0698627334941284,-0.03516128842739623,0.08904922157137272
TAC1,0.026405671205097625,-0.06308260212152675,-0.04299323941364126,0.0304434008059605,-0.03814814895293688,0.04130256976979975,-0.015887545203347404,,,,
RARRES2,0.08093140235589111,-0.03485241430071021,-0.008176558003970259,-0.07226864463424637,-0.024027763468860663,0.0029218125012592847,0.03480767273833621,-0.0024562157768686916,-0.06839278590244383,-0.024656973892314277,-0.025966141475085396
FGF7,-0.00673987864629933,0.021034701104356558,,0.004697973854447357,0.02587772256240123,-0.052776184146335364,0.0016469308706012873,0.059150884883316185,0.04208431435744472,0.08356829185604288,-0.021676080110023383
HBEGF,0.1327767714687384,-0.03168953487419577,-0.02338076977251438,0.00042312492270592315,-0.010761267802078449,0.039425811867357934,0.014193481711370507,0.017842024936786518,0.14179565277989697,0.05295318406286522,-0.03453992341672294
CSF3,,-0.0006224538920619968,,-0.022078046541773144,-0.021519726321663338,,,-0.0031674635225521276,,,-0.03725965104908201
PI3,,-0.0488797295619225,-0.00899723914280941,-0.013425371412398713,-0.037136550623633954,,,,,,-0.03118874270150094
PCSK1N,0.043228748389203014,0.00897079338626927,-0.010085905691070299,0.06279641772053329,-0.003482985478755218,0.00130095960693075,0.04337848624215784,-0.01848412574940552,-0.004508878118489526,0.003837458156334543,-0.01230379675999887
NTS,,,,,,0.07747073324517646,0.0380724321307168,,,,-0.010614777056911336
SFRP1,-0.01716330319415053,0.08770834917232957,0.03378218175264579,,-0.01575349549115834,-0.009388768940574976,-0.019782673359324085,0.010445970684175328,0.04506107871511435,0.0025396205608486347,0.025944568721613572
CXCL13,,,,-0.016031274125441378,,,,-0.0032253285653004496,,,-0.035113222898659036
MICA,-0.023644812078033293,-0.038636784685993485,-0.007980696885755886,0.0042042246846078655,-4.691270375156688e-06,0.002179283846136773,8.880612647091065e-05,0.08414415515914715,0.051194039738870614,0.12264698026907761,-0.01978015925884836
