,UKF334,ZH1019inf,ZH916T1
IGFL3,,,0.08258454190883162
BMP1,0.07193741254642151,0.014762919718078735,-0.0003847976448449037
NDP,0.029605912684084666,-0.0040781340450157,0.0464556355938437
TNFSF18,,,-0.028091257119734928
IL36G,-0.013752911436744552,,
RTN4,-0.04926959558859079,0.10825334922587052,0.00838120169561944
HEBP1,0.022468725423946963,0.06954252640006438,-0.04563742744235844
WNT7B,-0.015116034573743229,-0.02999193535239568,0.02514283445810945
PTMA,-0.02531039781870595,0.08418802327985138,-0.023605769509684706
FASLG,,,-0.014443461732290138
CEACAM1,,0.0005439044587403169,-0.020095955642087344
PDAP1,0.0563061845126604,0.04578175268558021,-0.04688033469055844
QDPR,-0.0597908248344624,0.13969939048935487,0.04225498649261841
POMC,0.029746386445991226,0.09298807658668551,-0.01054731125571842
CCL18,,-0.019070591076027585,
CCL17,0.11923205799298156,,0.018183784168886625
VEGFD,0.08701861997643878,,
TNFSF13,,,0.07749829904865908
WNT5A,-0.018408257773523062,0.013768447653970664,-0.026718263044510925
CXCL8,0.003092285468830304,-0.033576778124865064,-0.02999902472685326
GRN,0.013432888921460658,-0.06147580552476333,0.04656631527153851
MIA,-0.00019529426406871892,-0.03511029423280018,0.0035382785246146145
COL4A4,-0.017888230829369873,0.18339483397886208,0.016705970625692377
TAC1,-0.03170168871892075,,0.07714486947937138
RARRES2,0.025891332791882053,-0.011300308451172225,-0.009620311007746938
FGF7,-0.016980078126884762,-0.006709553470384237,-0.06671729812674584
HBEGF,0.022765816845335702,-0.06014039478306707,-0.01997596887349752
CSF3,,,-0.01378319910925967
PI3,,,-0.0299463126454175
PCSK1N,-0.015390855628113927,-0.027934226253753566,-0.015628932629875743
NTS,,,-0.020411038387002187
SFRP1,0.021604133982017666,0.062460447301293666,0.021482387941788094
MICA,0.06423511886190048,0.07579974986637056,0.014465693996835881
TG,0.03448433138370389,0.015541975432617296,0.04877782364073566
ADA,0.04408429427577695,-0.020208194765462924,0.041764713901643824
LAMC3,0.07645097004542827,-0.029913530111502162,0.03460816134244344
CCL7,,,-0.014443456596367548
NGF,,-0.02834010236377754,0.0017995684987266503
TNFSF15,,-0.02862110727457769,0.006744483838440734
HMGB1,0.04840808261997091,0.11261274448265733,-0.0743017913387962
ITGB3BP,0.061910941846192134,-0.02469436565815287,-0.013634762439048534
AANAT,0.10173439062153,-0.01986282000939565,-0.01528177940255762
RELN,-0.018657690592845277,,
IL15,-0.015630349204753258,-0.033576865880754744,0.04996504408636283
BSG,-0.024591490918027887,-0.07992472081562542,0.039224444540697186
ADAMTS3,0.025382644931187075,-0.02378370484235373,0.07274244893622772
CD34,0.0018788720462733753,-0.01498106544031651,0.04170646460954665
PLAT,0.03332975664638378,-0.03690102651682049,-0.03953702064929615
LTA,-0.01563035113417086,,-0.02056697205641393
CKLF,0.07091796303464866,0.02335997862891412,0.020693688804107702
CD24,-0.0045920508985890125,-0.04665218537362304,0.019951278686253425
HSP90AA1,-0.006567881678009649,0.08640483525111692,-0.08289029353721591
BMP4,0.08707326725182275,-0.00821594043698262,0.04278096500740266
SCGB3A1,0.04999058273118097,,-0.0015918051297106515
IGFBP4,0.03202966224050974,-0.013796775414335063,0.02517833385001025
RSPO4,-0.005778618052666145,,0.003994123590040843
LEFTY2,-0.019295493921087897,-0.025383000601330367,-0.02029756655971324
PF4,,,-0.020566967297064042
ANGPTL2,0.0555585016314428,-0.041751466622557507,-0.017144578098091418
LRIG2,0.03672960427891593,-0.05906228761021644,0.030548231757426544
ICOSLG,-0.03279689626537564,0.02101457434402448,-0.01667221538036412
