,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.01908562921441424,,0.0034576038390503293,,
BMP1,0.05148808028475893,-0.022308006894270288,0.01889229949972875,0.005015322926412653,0.037007974285640476,0.0024970829061211797,0.03695286132939411,0.03228040719582866,-0.03064860168122488,0.005539055340094941,-0.013775878219712557,0.019845054770764238,0.07799367460363889,-0.006081788528303494,0.02789755082473542,0.015517156219149196
NDP,0.010457781939333579,0.024565516879111245,-0.010787091071252555,0.031247231175324977,0.04318370379333884,0.013192929071018076,0.03253375501968846,-0.09133328916433142,0.022386647573424446,0.03486356333312298,0.055754109890465434,-0.08315433447861066,-0.06095431070630026,0.02623920553476329,-0.056401248924357474,0.04915934720623063
TNFSF18,-0.009332522914787547,,,-0.011833028033854302,-0.013383383197946722,,,,,,,-0.019682672527686414,,0.052411221874909694,-0.01741109801962316,
IL36G,,,,,,,-0.019846040184100307,,,,,,,,,
RTN4,0.02072906742836081,-0.017312525574213325,0.02419186142642785,-0.039808184537662834,-0.041393975647386914,0.013071365482287368,0.007160561030593406,0.060380341373860245,-0.06456869461627622,0.017716777417002776,0.019281986306558987,-0.01356366627565256,-0.0561957054699167,-0.03710336229602447,-0.044485920893970854,0.17549300635052204
HEBP1,0.018054580588436127,0.0018190958694314062,-0.02048788121669502,0.0542175853007642,-0.01018582390954548,0.0341086150486604,0.06628933192990273,0.012361521246121138,-0.009303380911401525,0.05872811038014043,0.006825705981384535,-0.07585926989783333,0.0022034266517475297,0.01860731444169785,-0.033334481520831835,0.03133629457599624
WNT7B,0.005632446525956127,-0.011338080892918222,0.044103207777308744,-0.05318791259383527,0.13054552466223127,-0.012332311389970518,-0.02181308524777129,0.04093983778467587,-0.0388755137339302,-0.049093528088482816,-0.04151709620934493,0.0538591140819257,-0.025860405036892284,0.002300445906991116,0.11830516141671607,-0.02026705843895321
PTMA,0.013267162896598551,-0.007575570609109254,0.011395419820663485,0.037393996244247114,-0.018862678484143025,0.012717447832318308,0.025494168454216624,-0.07581745674343542,-0.09226844034738714,0.055576979310996255,0.03242145662826014,-0.03709408855063732,0.05772910507970106,-0.05112107945314533,0.028126518705517446,0.06270847459773198
FASLG,,,,,,,,,,,,,,0.045212273896840044,,
