,UKF248,UKF251,UKF266,UKF269,UKF296,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.017789803270291043,,,,,,-0.01929672008442363,-0.01921106509420154,
BMP1,0.005733306138981869,-0.007380453702588549,0.015458883105396923,0.35307444375461366,-0.005286833434112961,0.04816085103612156,-0.0485072177759961,0.0702548491227286,0.012617385314539748,0.00160220896378047,-0.04993615825318045,0.06355648598792504
NDP,0.029436141375212787,0.03624655940206502,0.04497299373246538,0.026957779326513033,0.0030997246877897413,0.014042133701502316,0.13311301395963926,-0.027975434850073918,0.03743779835854992,0.02031415634546386,0.048529675191805934,0.010577238175157263
TNFSF18,0.029716398430868405,0.04493111744721756,-0.012763184879344998,0.10094272608023579,,,-0.024507785430884353,,,-0.019900366815954435,-0.004768604936189459,0.05092364354672463
RTN4,0.06859615795923173,-0.002789311288196517,-0.029888226753682412,-0.36388427455153904,-0.030024250427646046,0.027092304446150045,0.004300642813908914,-0.00849569954319024,-0.005551726750092035,0.046865979536706334,0.03018993591964285,0.007954614889914521
HEBP1,0.04058278387232237,-0.05572845117385317,-0.007976476480453834,0.18515834626031408,0.03771305078505969,-0.02744318447414723,0.02328101838509125,0.08672839039993958,0.03185048350044909,-0.0585757223831666,0.0038454078215921224,0.028515623158360228
WNT7B,-0.0061887258294121,0.04010957335199887,0.04214408589851848,-0.11413619438359325,-0.014267908005545572,,0.0004204781246799248,-0.036288510091827014,-0.033581877784824,-0.015805133240128895,0.06493797961388059,0.007699239642047
PTMA,-8.37091335820201e-05,-0.051569156053456265,0.07118062549364727,-0.3318403460190547,0.03187406516763725,-0.08447592361693144,0.014114470205011843,-0.009023395945489824,-0.049008212868334414,0.04771686119475465,-0.11777450146631614,-0.03371845739998213
FASLG,,,,,,,,,,,0.08433371214887551,
CEACAM1,-0.01580393568753256,0.0642113238523018,,0.13860703978040592,,,,0.06447752506263123,0.08255258942813165,0.0244611215745762,0.049252100801570865,
PDAP1,-0.020279873157627377,-0.025796570109821445,0.07642256486041916,0.3359513282851065,0.008683783397810965,-0.029805220765582056,0.022277637239682138,0.009373674430304069,0.013107488462613918,0.05454451218357154,0.024839440890012693,0.005599802958947663
QDPR,-0.03495546984527455,-0.025304847745723662,-0.037199335110253716,-0.40933272346764016,0.06972561955515895,-0.07780002249013669,0.07926854522198169,-0.02517810134722278,0.05412549176173618,0.00509107558973036,0.08168321847918829,-0.06880130287610671
POMC,0.009661400805769367,-0.01763765703821645,-0.011433052422558121,-0.013843228710588946,0.010876687497183832,-0.0022807539814724636,0.05736649579081886,0.02937193177765118,-0.004262071717710193,-0.025532172614432837,0.01388333620834685,0.03260150472423161
CCL18,-0.019721818518551773,,,,,-0.05230001426883978,,-0.03721141346747672,0.014779320531412858,,,
CCL17,,,,,-0.01765967041734918,,,-0.014426160509285179,0.04537605175032808,-0.02544161075590832,0.011724993450269347,
VEGFD,0.04901120343993718,-0.023269729575607852,,0.11945545153904799,-0.01295358181703493,-0.01982360956483249,,,-0.01626885634054941,0.06573603451017353,,
TNFSF13,0.07578334665768549,,-0.012377626782404309,,,,,0.004536985524575521,0.07193500680335968,0.09875311390423545,-0.024607456824851093,0.02773788344168064
WNT5A,0.06931474456719662,-0.024240930648709937,0.05381217219513367,0.25601643012184394,0.034694766921072276,0.025664787816446353,-0.02905485439558623,0.011398944017760131,0.09337279864260083,0.047326877032501775,0.004442894955658498,0.01742368684495071
CXCL8,0.05067475342287129,-0.021788395533740748,-0.01760637129554877,0.1345252894994402,-0.012062938628485415,-0.045171377772585904,,-0.04624071897557463,-0.041833256468439946,0.07518156706291852,-0.047205311269308894,-0.008716552459755635
GRN,0.016502749641441456,0.0075681522780204555,0.06142824281097985,0.257732990282015,0.004496005955908606,0.01741259743550832,-0.03465278601825718,0.04247349454359162,0.11550431371872773,0.016813615003290008,-0.13079436110421616,0.03889811107475086
MIA,0.005588711524865576,-0.020694470166654846,-0.022381136386697534,0.22440630689206717,0.023335696174706533,,0.08389343708227298,-0.011425803307508912,-0.05232059069965097,0.016543938436522774,0.0761604527708967,0.07780572321788544
COL4A4,-0.023685743805620017,0.00418687124481054,-0.011776765034759143,0.006305734327152604,-0.02474854021933843,,,0.03513862846415956,-0.02604898278190746,-0.03919074479621227,-0.04434984151286824,0.006851833124872512
TAC1,0.013192954317360974,-0.017885327602320766,-0.03072550735726958,-0.20335430658698345,0.04020088439833152,-0.01413793238758695,,,,,0.0007783975055892278,-0.015176776710873752
RARRES2,0.04959774103930052,0.0016351532955419755,0.0267957909551181,0.3356837660657535,0.004966790095431879,0.0835194365099775,0.00468230191392951,0.005583174168983575,-0.0043865667329664555,-0.07242954575254099,0.06345430389735512,-0.03980963399777279
FGF7,,0.024235373383904104,0.009260997267689204,0.1300024489950778,-0.02710458360504265,0.08107208463951682,-0.05963106571640611,0.022410526436439912,-0.026280051001786684,-0.01309790341534924,0.07929824597921713,0.022995518243464876
EFNA2,,,,,,,,,0.010818986733215965,,,
HBEGF,0.07198203966248051,0.024429654773218307,0.010643909485408724,0.22062668310883887,-0.024306151800956247,-0.026187490706638672,0.012405822042257026,-0.006523381476737049,-0.009720533306484593,0.0347117207871308,-0.017274108551495866,0.04023077932033353
CSF3,,,,0.049157473221342306,,,,-0.002861765074852613,-0.0502798226290363,,-0.015900081628835782,-0.0002460687766089942
PI3,0.044272027514701814,,,0.1050923522875661,,,,-0.035044845313492445,-0.01953620901172295,-0.02161679777011458,-0.03454559509518328,0.06568261005894806
PCSK1N,0.0631729797642457,-0.0013529090980055286,-0.0245545814223492,-0.0477126139024366,-0.02062580935087934,0.06498590714804636,0.08543692106096332,0.009737753667848728,0.062284094608058366,0.042763645313656694,0.06312745794018834,0.022011136443638887
