,UKF255,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01619050164944111
BMP1,-0.03296155489811695,-0.08964891994254601,0.0018517904040304385,0.06536218904522716,0.057195189848826766
NDP,-0.049976420178282126,0.0072676444478536285,-0.06042883376941869,-0.06287206432531138,-0.06825949633928562
TNFSF18,,,,,0.10378720700148708
RTN4,-0.05188400708294564,0.08212865937449074,-0.02633205223971635,0.010075795599402455,-0.07372591445610821
HEBP1,0.032212685728187605,-0.05143391508005147,-0.08159385133212144,-0.06397334405836147,0.03513027222468217
WNT7B,0.05965699437051048,-0.036394226715481606,-0.044990096400696504,0.04586184923639242,0.05262255173999368
PTMA,-0.037564137984622395,0.09859066600646639,0.0469370466660869,0.20925504975640763,0.07904361587559464
FASLG,,,,,0.044908067564184695
CEACAM1,,0.00638434164957008,0.04735523153968771,-0.04201527912956071,-0.01953740364236143
PDAP1,0.05299225830365984,0.16892809553027466,0.06184667315716736,0.06200720581977097,-0.0492351968957766
QDPR,-0.014967699253718344,0.002804384816978611,-0.07847868757426081,-0.12678279082419686,0.015256861263223974
POMC,,-0.04853442859069987,-0.06223888481543824,-0.03192220495341875,0.09006094215907434
CCL18,,-0.021475926607927055,-0.0650555221055693,0.00755567580860715,
CCL17,,-0.027837370776353045,-0.029198255851648532,,-0.012727510815054245
VEGFD,,,-0.0335357242586907,,
TNFSF13,,0.02395315759278739,0.014561573206678105,0.031101622450262153,-0.02073841655096747
WNT5A,-0.0568608654845699,-0.060409449000365115,0.019595806338212535,0.07948993588031368,0.11858752312382775
CXCL8,0.09131805201819171,-0.11493448055115475,0.08800328037086289,0.03120374113426611,0.03854724845725282
GRN,-0.051900003661411946,0.08482098133701246,-0.03889965628942897,-0.04449252977209077,0.06900148518631932
MIA,0.018865147964082563,-0.12607354790951414,-0.18767097367757768,-0.027273535046702588,-0.021459850097797585
COL4A4,-0.005688175088799418,-0.06726409667598032,-0.0030870358119653675,0.09210486866420649,0.11173025069262132
TAC1,-0.013567689068693574,,,-0.07248832591592846,-0.01673160715416095
RARRES2,0.045723470951119206,-0.09917028393399556,0.07008913173571503,-0.01747763066598955,0.03562458583995158
FGF7,0.02288701557093922,-0.0377703321182297,0.04849673460953636,-0.002321919299313454,-0.029768951612562017
EFNA2,,,-0.03187346159402274,,
HBEGF,0.009015678216752308,-0.1356152858665926,-0.05805435479433805,-0.032751917156358244,-0.04687056578683177
CSF3,0.10262680631826937,-0.10123975400889522,-0.010589334203060132,-0.03891145623497553,-0.013400105437965232
PI3,0.07853154294066236,0.048887026592427,0.12273885362666173,0.027719674188839798,-0.029113977368090124
PCSK1N,-0.009905681081607819,0.008796379693514243,-0.07224161131273095,-0.015510322479861732,-0.048447324980440645
NTS,,-0.028688126478584187,-0.027220121577599444,-0.08992845915221072,-0.01984372889893455
SFRP1,,-0.022065276294649747,-0.08773154980283979,0.07157034117878315,0.02315572841614498
CXCL13,0.09961127546263478,-0.055095511513216656,-0.05668772369208804,-0.08546060268925591,
MICA,-0.02080817824037109,-0.05581417520679682,-0.03907304421967907,-0.006719207994943909,0.06568680231874789
TG,,-0.0007493298949370997,-0.04782556297471225,-0.005505004052014145,-0.009047706429938782
ADA,0.041737598570850735,-0.028700967313186936,-0.031943644676660256,0.05615176324057805,0.05581059676034756
LAMC3,-0.046169266935132625,-0.039992940699501836,0.038220478608275425,0.05376583944479565,0.11711702618130843
CCL7,,0.027968009881608434,,,0.10095160798541371
NGF,,-0.04818534153034965,-0.03144502864675002,-0.021895145440616718,0.18380968676769385
TNFSF15,,-0.04067407225158637,,-0.03740467849590239,0.08537404080722344
HMGB1,-0.023026462835503903,0.20647939731935494,0.13838585348502833,0.20583788593222402,-0.0740026622074463
ITGB3BP,0.021098724006253327,0.09170010412075064,0.029869259870241256,0.03557043674325912,-0.0023532951474699152
AANAT,,0.025952193664915888,0.028400076938942503,,0.09488745958029401
RELN,-0.009217215781434186,,,0.01830534152305676,
IL15,,-0.053862546089464836,-0.03463293298972105,-0.010003104884402213,-0.01116495038589157
UTS2,,-0.01731522723142658,,,
BSG,-0.022809177338134597,-0.09142178579458266,-0.08151484649413725,0.012711318793032477,-0.01797017199508389
ADAMTS3,,0.011597910550881581,-0.022446598423896454,-0.09523738140783315,0.031044182452158266
CD34,-0.04101138174541752,0.014832463576905356,0.0060330254327219356,-0.022255863393685352,0.08396203772464131
PLAT,-0.12231794082028703,-0.07320759024920546,-0.14418410455041236,0.1839144151839044,-0.006292258959238096
NTF3,,0.010281640662293309,-0.10979724499776908,-0.056902917202900104,
LTA,,,,,0.06260911058222676
CKLF,0.0476516318608031,0.14175445602955494,-0.05372062500002438,0.07802123774859648,-0.07682334260485717
CD24,-0.028468454939295028,0.08562972832892662,-0.0354959935963194,-0.10506170930247755,-0.042156667654731174
HSP90AA1,0.056018387812636815,-0.015186937778139878,0.09826746540730903,0.018562394019008173,0.033452869825381246
BMP4,-0.0476675047262533,-0.048361607328300776,0.0014781367750328009,-0.011534066873474176,0.05555307125524066
SCGB3A1,-0.006609183640606443,-0.027333588376639236,-0.02727366358820475,0.061986507757842105,-0.029442344011705677
IGFBP4,0.024064370304529046,-0.05919454151789373,0.08447517373733794,0.03964472189287436,0.15241383210741494
RSPO4,,,,-0.016085115863691386,-0.009788872794455391
LEFTY2,0.031176649061525556,-0.009997378383251316,-0.03664875421897457,-0.04399878694240869,0.06430678623738073
PF4,,,-0.013788080661574368,,0.12293424672412957
ANGPTL2,-0.027943850897408667,-0.034073303498921036,-0.0410762555304955,0.07414139543597134,0.033822523083061384
LRIG2,-0.019908818192356185,-0.007602308942358859,-0.04285137632515797,0.03139925546046684,0.036316274012191514
ICOSLG,0.04087443577697586,0.011304298887350475,-0.03512408559964529,0.03891350314932118,-0.02445852078590013
WIF1,-0.030980649510483887,,,-0.04082782172202901,
NPPC,-0.03316865806699867,-0.0052114749455430005,-0.04044937032694416,-0.006579470855020473,
LYZ,-0.06320144093050546,0.05271747289236694,-0.04946176228274896,-0.00469530060773299,0.09002566562152757
EREG,0.10971781956277066,-0.014072886803237681,-0.0695298723106171,-0.04615584706862641,-0.0013340801947165455
SPTAN1,-0.06891524243316509,0.07278757557049212,-0.06401790738017156,-0.02984629902603484,0.03629350992467976
PTH2,,,,-0.06301380263452153,
LIPC,,,,,0.12343362911016617
