,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.03193065256361716,,,,,,,,,,-0.009116447529261561,,,-0.014643523989165963,
BMP1,0.049167254142163754,9.252038619948612e-05,-0.04734524473001605,0.07351320330480715,-0.11170123927986791,0.03325945109743787,0.028285132992658838,0.002839461326868575,0.22809194993837767,0.06690695954591042,-0.003372740838483876,0.0036593536541371244,-0.05940685679026133,0.0014644153771108464,0.030234883484930128,-0.028189935175663157,-0.05855129718007692,0.014035035407508285,-0.018242015901812948,0.021408888424585,0.07883128482485206,0.15536519142375893,0.004336427044804776
NDP,0.019050531724754054,0.06260419674882217,-0.09464028016761539,0.00019056819427757177,-0.018247318843092473,-0.034699077243372956,0.06326788350683417,0.043001350619994445,0.07990315077958934,-0.04401800213056855,-0.0020284029809841024,0.08754409654075145,-0.23186408742452122,0.04081413367441198,0.03374911868623903,0.08499924779486935,0.0782556538477077,-0.0394982932650391,-0.045866449199343774,-0.05316465708917032,0.013043901376672967,-0.09559993136194829,0.006917001963432989
TNFSF18,0.04636707553526142,-0.0776229482192821,-0.0016576610802284029,-0.004227530823894813,,,,-0.02406957298533867,0.11739073462130355,0.02764176930274272,,,,,-0.03957751991177341,,0.007722996356857025,,-0.028153257260691206,,-0.045450974293049,0.08710362525405849,0.024648045559852803
IL36G,,,,,,,,,,,,,,-0.03700966917756051,,,,,,,,,
RTN4,0.033652339085257645,-0.08817363437928254,-0.03510013226636177,-0.0159431438176796,-0.1146747606693618,0.019930852761893224,0.058908120681785414,0.01683828154641539,-0.2511988155872143,-0.035152597221226135,-0.046915908421563186,0.02399318896793179,0.1821324641092749,-0.09157721264966251,-0.025431579433380133,-0.14261013364457173,-0.033576652966285016,-0.05231890691785587,0.06147327378951938,0.018139264423660623,0.03086038532244396,-0.037769421763274975,-0.019142968706167416
HEBP1,0.048602837972330296,0.032978287627292144,-0.05222935762539248,0.040069838888031444,0.21677541187225954,0.04324581732867501,-0.013364899361789175,-0.006291003910184205,0.16028620363755466,0.01798723430035372,-0.028029658428742436,0.030192649000926452,0.08068953816863678,0.011991897701069938,0.03021655098934621,-0.014715970415245095,-0.07018290643357339,0.040614961317147875,0.06314508106268288,0.022493694078562977,0.007273739434144602,-0.004085352198694153,-0.05989922982538631
WNT7B,0.02618209779183372,-0.05205722629568056,-0.02594401741062333,-0.03288835192512768,-0.014487353602516441,0.00950107364196748,0.022633196753728387,0.08504605464426292,-0.05154124607002527,0.01857941632502341,0.01819159967487947,,0.0882831497531963,-0.013308240158600427,0.08460530411275825,-0.023111486619169064,,-0.04992848846559732,-0.04981084356347726,-0.010080931600310634,-0.023153829991176503,0.03146702050168501,0.0834357996186891
PTMA,0.13581233299762158,-0.053919253552110295,-0.12415978624758366,-0.041826849460814976,-0.3125333845327595,0.03073377629833476,-0.08959473487665263,-0.02883033367644673,-0.10676589366335662,-0.01784109542003545,0.06755917261555483,-0.0071845559458026155,-0.34788802264093843,0.04538970524627548,0.10234461653702843,0.03921788311976146,0.024580577341695473,0.03585578737466824,0.08498961789162895,-0.0015663020997391855,-0.03337172680342397,0.09325821475444288,-0.051671946966176996
FASLG,-0.02644394301233688,,,,,,,,,,,,,,,,,,,,,0.12369940770736028,
