,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.021036700518394274,,,,,,,,,,,-0.02111010119632388,,,0.03349766021306421,,
BMP1,0.03793155734186125,0.0812328300489475,0.04069344868496409,-0.06049981976118284,-0.0038425803472743546,0.19545844440305804,0.10412354093059235,0.041627838255509704,-0.12472853596674312,0.058855287853575945,-0.06276897740851484,0.1586543642242286,-0.003283318601520968,0.09876137759112215,0.0036906874084257327,0.00839881379616221,0.03656845739228135,0.02695602703797832,0.0034272883934391377,0.3994926139570968,0.04941662743996539,-0.06385611174921678
NDP,0.0024261417589913022,0.004737520968980029,-0.016413117212405636,0.05658337206686118,0.028255150893619227,0.025154750723540252,-0.0441406716225236,0.03995942835063367,-0.035613134138397506,-0.06715822349563347,0.011952019928197433,0.14314544029257092,-0.0728219593636173,0.005685178208170808,0.017180066627403335,0.08831160463607281,0.08987510445082579,0.019503309307376617,-0.07318761262780119,-0.08646804754337443,0.05637858420725151,0.1435469751877689
TNFSF18,-0.01837268505050326,-0.003105761122279165,,,-0.013464679304048493,0.06660416910600675,0.048727396789472195,,,,,0.04559487390831806,,,,,0.0020439367863957334,,0.18854881660320383,0.05201948137191028,-0.07143327904283343,
IL36G,,,,,,,,,,,0.058800671129390976,,,,,,,,,,,
RTN4,0.035102611674626506,0.04497869314207836,-0.030687228741283507,0.08070664372076473,0.2309552654209373,-0.2283307300617287,-0.1140333281470931,0.00828955628648691,0.19450593982456987,0.024483812272394736,0.1539282733591241,0.03874003423870785,0.018929650232486984,-0.047275280910520835,0.007872206372945103,-0.09919372019691627,-0.044924479365885936,0.11168761652818722,-0.08771907322981262,-0.03392184812286201,0.08317153492730786,0.12766502453135
HEBP1,-0.0006341540455425979,0.04964771703491733,0.04786504139453648,0.055948506092378746,-0.05018722029801975,0.08429985439318814,-0.029403776600883644,-0.005726143391046154,-0.06328419279015034,0.14615995303322912,-0.024250612309758904,0.19761916273279312,-0.025195349325065813,0.00030440471538359485,0.03324145801649744,0.060952136005340114,0.049814731079310996,-5.1241221634105755e-05,0.013865498246007801,-0.010347984106120643,-0.010267999057475732,-0.022077931383531806
WNT7B,0.14090054082098208,0.039253887385849964,0.06571233687133332,0.05784772382914634,0.15161054272761154,-0.012618711799928331,0.05213463385650797,-0.02463017883779626,,0.08968891297326931,-0.030876283365384827,0.14170287986716884,0.03580815436070387,-0.03447726292503215,0.10486295346600004,0.023524067131725845,0.08403558105226644,0.09935804286113434,0.08944583697923537,0.1743784909000623,0.09806065493548331,0.051172287084596334
PTMA,-0.012005555952957735,0.07481386360656457,0.02091426609136884,-0.08978716336179973,-0.22339587316317996,-0.2250995528099816,-0.14163957170142943,-0.036820475536525905,-0.23995468069611392,0.08057373518379111,-0.07616141830804324,0.12639930840086833,-0.029813163405792244,0.020560678512701755,-0.07190162586210953,-0.05369647757816696,-0.05604013466397724,-0.022538486101344526,-0.11609187770484804,0.2695475057343182,-0.018643325251939392,-0.06164929647552641
FASLG,,,,,,,,,,,,,,,,,,,,0.04601921165722145,,
CEACAM1,,0.0018695610491823215,0.06846442196992261,0.04180360079405824,,0.08444647995926245,-0.02395412223399253,,,,,,-0.04165332777937084,0.01758277772753263,0.0014346625849011307,-0.02849282017988253,-0.03128189934541252,0.07693423099580958,,0.04396191259663109,,
PDAP1,-0.025295420974332742,0.004346218058176619,-0.03835647539623563,0.010407871690711702,-0.03870048796487507,0.23835190200192521,0.0387680579094281,-0.023722980926793036,0.036207631060828506,-0.016993753913003444,-0.030919003371424458,0.00010265459352443835,-0.0416889545977628,-0.09147033208820313,0.032962584137908986,-0.04747615081749389,-0.07293596649526529,-0.031225432107918928,-0.026657712255614745,-0.0904935818242143,0.029439364914352707,0.0726045887392326
QDPR,0.08043171189627897,-0.05339268472815993,0.05386665060809675,0.08201664447812419,0.02245955324233408,-0.2612912791858004,-0.15577140902488637,-0.010838589946628797,-0.217046340630511,0.06326565976168298,0.057797201626957256,-0.08979592209789151,-0.02964411005014571,-0.0899090455076689,0.06767369419693355,0.025955487586193943,-0.02754052945905402,-0.010341404829382117,-0.07785723281048913,-0.08655058288433212,0.078386341592087,-0.0029503692030993
POMC,0.10228438811659046,0.04426485621417859,-0.057465201375199414,0.07900921066916983,0.052969936836268924,0.012245184815083096,0.002219740707501571,0.023609505650921396,0.001310322161025381,-0.042301632806990605,0.046911406467366974,0.09153293113377584,0.04434209309385469,0.11283657045599967,-0.04200202063266771,-0.05367803917178171,-0.00880451589222609,0.04413384764442788,,0.10553831277584609,0.10329551718549596,0.011633858231429517
CCL18,-0.024639281332543114,-0.04541811958973998,,,,,,,-0.13916308037312647,0.042266272686575186,,,0.0774157412828477,-0.02192261936212313,-0.01691479768397565,0.0027262613469412112,,-0.01630916646077773,,,,
CCL17,,,-0.0357668495315527,,,,0.023753731029419977,-0.02119780746630456,,,-0.012806741610731481,,,,0.02249279256465128,0.020208304158065873,-0.027832449001954227,,,0.034938888196479834,,
