,UKF248,UKF255,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.01617970865758953,,,,,,0.01653326189486257,,0.14895357321522693,
BMP1,0.07745689740892017,0.051664527232189186,0.014338823311009993,0.08329907584728348,-0.00398599194441569,-0.06382920690031459,-0.010437353332540686,0.004443648334375197,0.006746024340412242,0.009009218914968047,0.0740169418608396,0.07038220111274429
NDP,0.025536170606045572,0.07975388128688196,-0.05332804651607957,0.0027909003171372516,-0.016657933218262748,0.055040617705334985,0.016933233272054954,0.02554216968797704,-0.05208923507077506,-0.007808645849896116,0.0012514795689315275,0.04006408617620055
TNFSF18,0.005764953227921254,,-0.024026381628356127,-0.013259369982904992,,,,,-0.01636014886352371,,-0.0016422433271882943,-0.02430873417830757
IL36G,,,,,-0.013752911436744552,,,,,,,
RTN4,0.013459628310692681,0.06628098873050034,-0.06548626521667447,0.007518657123395788,-0.014130814922020948,0.1366387977605021,-0.042534653039297286,0.0036786720852458763,-0.01900634562451699,0.035181763425510826,0.00044697792662863573,-0.025762849011313833
HEBP1,-0.024895090825410637,0.036981914143446266,0.017623307858856744,0.011069917629417095,-0.02740618663692704,-0.11290066385794433,-0.0400604172228335,0.012851599452714876,0.013568425774393636,-0.004459941279154839,0.019242536464572465,0.07206821517856608
WNT7B,0.02615739483540946,0.14221589326042694,0.040019655077854786,-0.03800674977222086,-0.015116034573743229,-0.05908597293752606,0.01446644101555398,-0.030741864893071884,-0.034210394775233174,-0.020366673885378588,0.06564747774823848,0.03946744430042368
PTMA,0.10988805573472678,-0.039663303076365015,-0.032471327150688775,0.031657831777950715,-0.0025234332550494905,-0.02487919869879152,0.021899511372932008,0.01830180676768849,0.04079124123082044,-0.019432541423911483,-0.014663443092765245,0.025809063591191127
FASLG,,,,,,,,,,,-0.01502669182125568,
CEACAM1,-0.018743062263176583,,0.044367199654104225,-0.007629133624037027,,0.08393729750093368,-0.020080493763391903,0.047821680964501914,0.04290777639424417,0.04126419044513106,0.057954739977103174,
PDAP1,-0.050643071956029864,-0.06176279593098533,0.03457581643685621,-0.04283834773006224,0.00828758511585204,0.1013100489264586,0.010451245600782907,-0.021796630182393164,-0.027116374697553625,0.11431196150249312,0.038268673588243894,0.007266069770966692
QDPR,0.032690248419004656,0.03528330650158343,-0.058767799026177854,-0.015227701586033657,0.021748396287266245,0.003071376997269343,0.027966834527178748,-0.019088646249670736,0.0549342775592751,-0.022959406865356122,0.022408801795112936,-0.02710002160154321
POMC,-0.007354076791149581,,0.0003733215089855061,0.020851014310852553,-0.006418289813051526,-0.042012136216062645,0.10015442723644927,0.06565371551462615,0.09915199165924804,0.012239638564331955,-0.0131209437419374,-0.0014701103636853585
CCL18,-0.023389570784440282,,,,,-0.03815060945993713,-0.02402745584629828,-0.01483003222784729,,-0.015328953737622046,,
CCL17,,,,-0.01653701588872413,-0.012563675042489455,,-0.014246138401908335,0.005523602187053455,-0.02091562146285611,,-0.013620008343669252,
VEGFD,-0.023389578211724507,,-0.02710535210742383,-0.01761879170938764,-0.013464879681973988,0.07021750223860636,,0.011691585911543519,0.022637535472249514,,,
TNFSF13,-0.017650526285729436,,,,,,-0.02733619979044547,0.06835587659423224,0.066984524081828,-0.015179423569579693,0.07186427494356887,0.04849302951416328
WNT5A,0.020994208869684,0.028750357255282813,0.016395272732959106,-0.009086981560240197,-0.002941406261235422,-0.0813322312913555,-0.01966514150660093,0.00106697020265513,0.11001243858373855,-0.010017438430856201,-0.02488971275210256,0.0499029886301993
CXCL8,-0.0658373711093183,-0.009077284017429358,-0.006826116024436736,0.02409620396789238,-0.02425176978009067,0.03367184842434857,-0.015582047142346686,-0.04123600960903782,-0.02969562319351258,-0.0008601164264907102,0.029026861816538588,-0.004635917438966554
GRN,0.054984146640211964,0.04044183612432098,0.030309961850501305,-0.007907057565604607,0.01112221966841432,-0.06186950723083862,-0.04268700385707461,-0.04025633838932016,-0.02001875428913741,-0.018983642312266846,0.021254022497077092,0.06627336002031296
MIA,0.008807062386380977,0.0338970142535247,-0.0016474010594165487,0.01923185998780214,-0.01844076978704828,0.023102564162720204,0.00910367516244849,0.02683427478364589,0.0503680102936656,0.0051233024866866456,0.030824616334028696,-0.023856969387588935
COL4A4,-0.015140647343636288,0.031808009894284034,-0.01594390194047524,-0.01726515622113012,0.05689913065257902,,0.011800377386506744,-0.03688016899284692,0.000383011452220061,0.06744664653402488,0.003373060422237621,0.0401440673379758
TAC1,0.0069476003041510585,-0.011913992598131445,-0.03495024766250073,0.018459127193282736,-0.010728193606908312,,,,,0.08978198868102327,0.07441776606841019,0.043716458380596776
RARRES2,-0.022155873347717726,0.038406080539270436,0.07172911578450118,-0.020198197394122944,0.060148023785060574,0.05337745765531392,-0.04113090246506616,0.005518000406329024,-0.01139510386351654,-0.00705801577913043,-0.010204027422871582,-0.05910341216075126
FGF7,,-0.010489899281759998,-0.01880791212574822,-0.007847653875523095,-0.010273522595078285,-0.05245444282520998,0.09529060188020799,0.0502057678362984,-0.052743042463178534,0.04855525285858106,0.03389421088676028,-0.030811551111404666
EFNA2,,,,,,,,-0.021891761100151803,,,,
HBEGF,0.04992540018666922,0.0050502623378631435,-0.006958043671451511,0.023793694596246674,0.07684576662483646,0.033968097377133875,-0.021633053873822257,0.02211496248292229,0.06595634165995573,0.030774903873937942,0.009110669912310103,-0.004773018975587648
CSF3,,-0.023107244629298616,-0.016868341371018197,,,,-0.05440639297189529,0.061620609393880206,,-0.019379408756106446,-0.01433976765160237,-0.03108917343431642
