,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04216923246008866,,,,,,,,,-0.02969561359181069,,,,
BMP1,-0.07284604336714857,-0.03397003321622945,0.029062990859195535,-0.0008715378755147984,-0.008647974630085922,-0.0735705066980869,-0.038514793006685005,-0.21621266079460374,-0.034668375974846045,-0.013404445427678859,-0.12240523455824495,-0.2624130128441045,0.025934390368498084,0.02261254617238397,0.019640672469418693,0.0051495521723382435,0.03945413931117196,-0.08320820805718983,-0.12490339540767016,-0.15476688460274443,-0.11616294977637878
NDP,-0.06654705082567874,-0.04783258604731281,0.004550661204016004,0.017998514750146306,0.01491247894711329,0.1458767705297936,0.06645895217540945,-0.059135267147140895,0.05933952766680643,-0.017859484418700312,-0.08062209472820049,-0.077026383547938,0.026774936345609908,-0.06032609694800254,0.07489118802484362,0.062289790511635273,0.0892835646783623,-0.0134485477869099,0.02518972547796701,0.08169298626748392,-0.07368758266774846
TNFSF18,-0.05569753728865128,-0.015277720277488476,0.026457351698718084,,,,-0.028333709206371984,-0.05026414807449788,-0.036778168358917986,,,,0.00600118134932624,,,,-0.030624562138873247,,-0.028035692273659634,-0.10198158123427303,
IL36G,,,,,,,,,,,,-0.046208109266932,,,,,,,,,
RTN4,0.3807133824777167,0.05371243717363628,0.029931173209361353,-0.05723973531707993,0.006929574622751174,0.2663960826692568,0.31964564663369976,0.31382429150166835,0.13250174494763906,0.1174511987303648,0.39130770288790345,0.41057176464860506,-0.05159194352102226,0.002914292018883042,-0.033410793084511024,-0.02066207513730552,-0.08010310145306553,0.1308773092556876,0.1634576282001632,0.4874106810075831,0.03265721331575788
HEBP1,-0.1274381904606455,0.01414506795865566,0.011845556008128208,0.05102960511843878,-0.00319606315522775,-0.03972312602292125,-0.07473021587355848,-0.0783669939716022,-0.021144994921782803,-0.006941741743479065,-0.16319144884209003,-0.045939983955607895,-0.09875763282457571,0.038887276414989125,0.04322336999165641,0.03286937195598381,0.050908881933504346,-0.0018350309855718924,-0.03370407705081634,0.01056963722363254,-0.12785888860144215
WNT7B,0.4071451352159086,0.0748086790823343,0.039236608427853634,0.09008348503718154,-0.03270606647507564,0.06912267108604414,0.14412316114541693,0.20306336555385487,0.03029735027276018,0.015328183425775323,,0.12861664097028175,,0.05882031532897061,0.008931618681716009,0.03963889911879614,0.04017416734768422,-0.03477368849426795,0.0915357268602996,0.018064056176066032,0.05810012241629595
PTMA,0.003254358730778334,-0.00247471354786307,-0.0904596778840992,0.09197689251430417,-0.08065676120488532,-0.12825119372419122,-0.2994100022784627,0.02927908066618126,0.03909369434997866,-0.08227918514148777,-0.4810879861628116,-0.43744195594828006,0.02709406350296985,-0.05928863420701775,-0.06360453908857927,-0.04626835001240447,-0.0962232284469306,-0.13067565650038063,-0.11277981817602545,-0.2126964378431402,-0.35278952058940705
CEACAM1,,0.011255507562159619,-0.025417913456077936,,-0.020502948123477395,0.005042622069551939,,-0.04669245295331314,-0.010893607769583749,,,,0.04849693835959433,0.07367987920491018,0.06899316265948569,0.04042232328501352,0.08926437174724573,-0.002331080947439818,,,
PDAP1,-0.1308017176790921,0.025364576843858046,0.009630796631035467,-0.0197931571748134,-0.08162525550175043,-0.06148991071677435,-0.06444712386289148,-0.21452758408332617,0.0131799944064286,0.015424964970672085,-0.029874346792406244,-0.2153148355903871,0.05663366791154777,0.0157651605193247,-0.07622163712885847,-0.026340081638214313,0.04121256573286606,-0.06462511936889768,-0.03154839800689708,-0.04049882841178033,-0.0324589136667284
