,UKF243,UKF259,UKF260,UKF269,UKF275,ZH1007inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.012238778220013383,,,,-0.027147251404983395,
BMP1,-0.05706066869368813,-0.06458909461054209,-0.03236452869348733,0.04167664826548477,-0.025973506124756855,0.08036159500299603,0.08580919248463258,0.05125960820047392,0.03221897934406569
NDP,0.012640605320583087,0.022608858024077996,-0.02257462305259843,0.03699196906224508,0.052342018963932896,0.04414896871763485,-0.04445474149372958,0.01041447798902945,0.026331998037485982
TNFSF18,-0.020724170782880195,,,-0.018174218238529338,-0.010492886331704632,-0.027396242223305698,,-0.0056946142134314025,-0.028861140417667484
RTN4,0.0172663268102902,0.01365992298585722,0.011265130109086207,-0.022061549963937933,0.031810502976858605,0.038401982736137256,0.028788039346191358,0.037821823725648115,0.038217875846553694
HEBP1,0.09609834594222802,0.006513337126071576,0.03561528105395449,0.04598192144403242,0.007534632055324302,0.018639253183525054,-0.03792349027150117,-0.01097534868237495,0.011450827969729408
WNT7B,0.038938821757251774,-0.02275399268183841,0.006882044152268611,-0.0064208199706195955,-0.0095566032074521,0.14114345540408982,0.011749618959732054,0.029264632150876203,0.011264555861534766
PTMA,0.06277854543473257,-0.06541860046702266,0.014163417058475132,-0.02422275362829618,0.008424394828560815,0.08380128655915749,0.017192346850892715,-0.031098924195712547,-0.05079755471896061
FASLG,,,,,,,,0.10073320374602156,
CEACAM1,,-0.026274338078023384,-0.017345626561911655,-0.023916236075832913,-0.0165028104370964,,-0.014646428841896647,0.020489527423959857,
PDAP1,-0.00661030690293513,-0.007610595803476376,0.07257639063728685,0.04159211217587307,0.041909940607891966,-0.009363729480236001,0.012497813011168831,0.00456686724714098,-0.008363873486074242
QDPR,-0.014905981777201009,-0.0437181688775839,-0.028757676735971485,-0.08016770185559317,0.008745094221576686,0.025160307460936247,0.008904889669320985,0.005748030871813619,0.06480329362939352
POMC,-0.03913069302626912,0.026310185213716725,-0.013285163403744728,-0.030829354211763863,-0.012175115541404461,-0.008959273641224128,0.03690755756480916,-0.07982081021872436,-0.051860319928161785
CCL18,-0.00667761784038665,,,,,,-0.025914615648160794,,
CCL17,,-0.015228931322108657,,,-0.013086672157854598,,,-0.02134071836296992,
VEGFD,-0.03131438139725747,-0.016966711219458027,0.048323790328238164,0.01793507755328125,-0.013942742298234058,,,,
TNFSF13,,-0.010504575992443288,,,,,0.07224197117721695,0.07293367756203481,0.054730753299367
WNT5A,0.029721506951747478,-0.025727169377448705,-0.02854103435219562,-0.04770500209733572,0.031000536316578,0.09074025395729096,0.015099636093864366,0.03377888068358995,0.005864743532517379
CXCL8,0.06937580529613568,-0.010005646282835883,0.04930989900314739,-0.04076833536672775,0.003336544949043834,,-0.027493155459395874,0.03653214853610354,-0.05529880635337843
