,UKF248,UKF260,UKF269,UKF296,UKF334,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,0.03114192921379872,,,,,-0.020187803389169395
BMP1,0.029320757086625876,-0.062183997717309404,0.06477001611909607,0.00870021371427929,-0.03898998836802329,-0.11440795308204045,-0.038178765942823135,0.004203616067897734
NDP,0.010178526815873761,0.011380626274308489,0.018471090854454492,0.04765992710425563,0.035222829460124415,-0.007159528928842577,0.024600932797986887,0.01892076566420446
TNFSF18,-0.0012578097873375497,,0.03796452113903468,,,-0.05182688371871903,,-0.009323325807907418
IL36G,,,,,-0.013752911436744552,,,
RTN4,-0.004988207637380577,0.0387036342566615,-0.088382049208222,-0.07558264345516763,0.009583449561944072,-0.022360282838455665,-0.04022056866981796,0.04451350164563976
HEBP1,-0.014162253285846162,0.016307260663301727,0.05719568438727726,0.026887907331857364,0.004376911162900605,-0.013873254705966679,0.03723950070148274,0.02926140642966216
WNT7B,-0.04030056218413044,0.08437037800926978,-0.029439922021394702,-0.01574878348886871,0.14142083509556766,,0.14467542032755334,-0.024275420894979815
PTMA,0.04565265065217523,-0.0388455361931295,-0.05084289767851322,0.004417504706296107,-0.042601528974159135,-0.11735590343578499,-0.008373648177554075,-0.0021338816836549202
FASLG,,,,,,,,-0.01750887499225797
CEACAM1,0.06329753809794196,-0.017528510716406858,0.031128556408986548,,,-0.03644309502129149,-0.014001056734170065,0.04275492321438145
PDAP1,0.047306717617655675,5.816219074268054e-05,0.06158049383643334,0.06031204618152251,-0.015967641233275466,0.01475259490669404,0.0027295017269065645,0.05777960622641001
QDPR,0.0031326708399605926,0.0793438699695106,-0.09568170727453813,-0.0766296683270544,0.045320294117711164,0.04719802500624523,0.05207262053567375,-0.02785380857594705
POMC,-0.04107996837044765,-0.01465465302474967,0.008977904578240546,0.054510652290899735,-0.029465760158764898,0.015436227399058517,-0.03279947708594934,0.03484628120503558
CCL18,0.04271358932730519,,,,,,0.07981529066471743,
CCL17,,,,-0.01949257913490292,-0.012563675042489455,,-0.02021140437419016,-0.01586982859031497
VEGFD,-0.02162933306728164,0.004477466527048857,-0.027632069968850616,-0.014298042527505701,-0.013464879681973988,-0.04954358907373647,-0.014001056734170065,
TNFSF13,0.02481976705128208,,,,,,0.05520299004775956,-0.009767043284509835
WNT5A,-0.029963832140191018,0.008745696722304859,0.09611010687737806,-0.010249180081372345,0.015293347153497968,-0.09009440724188345,-0.07480141578880999,-0.005657626434254554
CXCL8,-0.021650745924762693,-0.009592879444132854,0.055439879357709346,-0.013314958901170976,0.0014400313026225135,-0.0190589353437122,-0.08244412721372404,0.05212578965445994
GRN,0.010694369536129355,0.045348249464859165,0.08249422785090021,0.0448710863454532,0.019173468109188574,-0.12238089531697097,-0.07120848481606847,0.011030525045348741
MIA,-0.034511119324115325,-0.03325786416899112,-0.013779101723394933,-0.016261012235318985,-0.01844076978704828,-0.05259947833960353,0.09374141166536638,0.02416987833922093
