,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
DCN,0.10334063605979327,-0.10717708648283374,-0.026341204485946887,0.06131137752568968,0.13426380077400538,-0.21158138172664603,0.01044512712498167,-0.009077244254467202,0.032328349533753464,0.08665639217790495,0.0038147803475360406,-0.05088395996597271,-0.11164585270545992,0.007760396631515533
RARRES2,0.04314398427111037,-0.027328086076999818,0.08000344422490212,-0.19171015117840134,-0.21931796196336564,-0.4652953907461056,0.08366604790521283,0.042038774823731015,-0.006228721443371508,-0.11279636885552628,-0.015927901973805503,-0.035151341313785944,0.08281844839166931,0.1467302419563531
SEMA4A,0.09997131291149383,-0.003477242442141908,0.010185718531581784,0.05625119677846247,0.2354654027237776,0.32949466304400565,0.034047936748687696,-0.004752928064536845,0.12199701002191342,0.21959564002488124,0.039493809255185884,-0.06867089211729958,-0.054664257221928386,0.1230825637256657
GDF11,0.05725794700230297,0.021415863169793412,-0.08955203614484565,0.08474729374955682,-0.30566278183467077,-0.23334585340043534,0.023119551072935646,0.07817628871644496,0.09715403707998269,-0.09359991368646363,-0.004456248712681868,0.07312050824771912,-0.005312962016743328,0.04480645199593836
GPC3,-0.029711798855326148,0.006102912715156729,-0.06825950809533139,0.017708529292120117,-0.45664341244164547,-0.08381347885548193,-0.014777276802787273,-0.011728994505362243,-0.031351979290594065,,0.02700142426985191,,0.05318721332017181,
OSTN,,,0.09525690619186666,0.02254073641305415,,0.17443550227203916,0.10900130642018378,0.019744869610912933,,,,,0.052564400536185996,
GRN,-0.12482304485484294,-0.12045684071470984,-0.05449394914862973,-0.01545576836524148,-0.2675298959953036,-0.43256855271921785,0.022928238426552148,-0.055988591843388384,-0.16911236749792016,0.04319537112545095,-0.03978406123736685,0.034427843686836664,-0.1267297914251742,-0.08124773934545826
CALM1,0.4291099738238042,0.015084805780332935,0.006208716813007503,0.1999572351283193,0.49577374259426527,0.532848203327898,0.048241836133222374,0.044019282834708816,0.32107339282182185,0.2998314282081793,-0.014184523934072227,0.13374881787537038,-0.029363825911341852,0.2340087861002533
ANGPTL4,-0.4236285677729821,-0.003940706171073074,0.11968781986114646,-0.2479115214147669,-0.01326874515646398,0.06682872265767417,0.036833980766618805,0.04831839511353505,-0.039781953066243464,-0.04596625389420903,-0.07784810621726043,-0.04842886467437523,0.003726690073113246,-0.07852759126416153
BMP8B,0.055249485188588944,-0.029941021126317063,-0.02028565217825688,0.01923289415536932,-0.30309501570313435,-0.06004670140457339,0.04409174273222034,-0.017893519091927376,-0.10074196568813026,-0.10654229517526555,-0.0707890701356987,-0.05539057927907926,-0.05582044011805141,0.12572989978737575
TNFSF4,-0.0464643078916226,-0.025191273167110697,-0.0069205062179591124,-0.062444902615729686,0.011753693418412994,-0.11267262386438273,-0.026543264437385767,-0.012010716427009982,-0.02534175507076102,-0.007933224437309275,-0.03779877884577163,,0.03226235591746135,-0.08060743741987353
RBP4,0.028901856969277415,-0.01843225664017437,-0.047059101846355415,0.07668073353714847,0.3084091697910167,0.5018847531081141,0.12846915900961395,0.07654809573621164,0.19749519957252792,0.4475541891648744,-0.10872106300007049,-0.0680662208878083,0.049333266852768495,0.17097121235573723
DKK3,0.42069360706683423,0.05672088383327036,-0.0583175587985988,0.19176377417710466,0.539977676908024,0.5383225207630854,0.04080175589833754,0.06318362159336617,0.21358454107767624,0.30797995938589384,0.08448086418633283,0.0751829598004972,-0.055002090002035105,0.22821142419494778
COL11A1,,-0.04269956807102415,-0.022709098095276947,0.044551711846572216,-0.4429631728635181,0.05858205040466017,-0.010798082269118122,-0.021515671944720562,0.2407064957342784,-0.03845484026342978,-0.06108336548014706,,-0.0063253296892330476,0.09628967951503688
COL5A1,-0.22397395074150442,-0.08293679444730453,0.10074388760727482,-0.08785228107736129,-0.22772409620748252,-0.15182637105893787,-0.0415107794126879,0.00612369803451658,-0.0592412771878931,-0.056749602294115666,-0.0633543718007609,-0.03390458891723339,0.03275301723029025,0.021386464068733946
KISS1,,,,,,,,,,-0.038329801088659736,0.10940283486590335,,,
