,UKF243,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916inf
IGFL3,,,,,,,,0.04286973214077786,
BMP1,0.06304660010406508,-0.03739144481905313,-0.016464423798876898,-0.045468204236356606,0.022761399985173722,0.0740889695325076,-0.01209099882995535,0.06287893229781791,-0.0453987468947375
NDP,0.052540345089023,0.035017142167420606,0.046915843417871625,-0.14181343350753015,-0.031043078160387816,0.07855697783209012,0.008636975978138265,0.008022609279204838,0.06499096786713636
TNFSF18,-0.018681623114655717,,,-0.023736419034751877,0.0025704091578908125,,,0.04085754256074808,
IL36G,,,0.09776847434910174,,,,,,
RTN4,-0.09819622524101895,-0.06225622879531841,-0.01916574877108026,0.03903957614018937,0.008902438909094996,-0.04504657798044228,0.04808070580703423,-0.04039500593237455,-0.02367544418341474
HEBP1,-0.04893616777001033,0.03437719337266631,-0.04528364707890095,-0.023624052752196995,0.08159096703551413,0.04144633874813121,0.00753046600968702,-0.03223776374725022,-0.04947321938961858
WNT7B,-0.04360311601766481,,-0.016577860248930827,-0.026131480554353236,,-0.029991950636248366,-0.03401645241801979,0.060236997887871166,-0.039302950825325
PTMA,-0.06036007092503289,0.056818782350235575,0.05401581990332356,0.0727586442667684,-0.028629529127554693,-0.05422399783293964,-0.07463935435799496,0.014274115421080709,0.027043924712000806
CEACAM1,,,,,-0.030603842339149787,0.08084142478017398,-0.016479387518168794,-0.03053991010582679,
PDAP1,-0.024643738247509064,0.007540157057508688,-0.011166808863440254,-0.007036102399685302,-0.009870640744790021,0.0553078219813765,-0.0443806737194356,-0.013999219492786694,-0.03314945092842232
QDPR,0.019193972999244916,0.029673582236640433,0.007551463624368404,-0.021738811607969023,-0.07103748266350073,-0.09053866028339458,-0.0006586000001281617,0.03957320776234229,0.15211107316102276
POMC,-0.035274022154649046,-0.010754000839093432,-0.032315304100257465,0.043747808645658,0.043750946898070596,-0.05312143281402028,-0.017608244160109466,-0.004932294567984524,-0.02242940845467175
CCL18,-0.025053592678764936,-0.025780346978046407,,,,-0.01907060079437691,0.013105762831671247,,
CCL17,,,-0.01377866979936349,,,,-0.023789030449095944,-0.03799223754065981,
VEGFD,-0.028228076165798116,0.060020646019606126,-0.01476702719535766,,-0.018000640078982545,,-0.016479387518168794,0.00950643482169721,
TNFSF13,,,,,,,0.006837165960985324,-0.0038707612034510025,
WNT5A,-0.05119574455906231,-0.0001557204987634747,0.05085724987523439,-0.03683969523840388,-0.0006874529634700562,-0.02230714713868239,-0.010772637144399546,0.05036957705388257,-0.0042235770685967065
CXCL8,-0.1066468381379452,-0.047796712622802905,-0.044398800379692384,,-0.06682969704212574,-0.033576795235549135,-0.03226973168634391,0.011683763970388386,-0.05959123758146297
GRN,0.010276176656756467,0.06395242606866457,0.03205474573040024,-0.08560311978553621,0.049035069171456815,0.022998659998024393,0.004568299942491782,-0.005787065499783484,-0.03400133694036112
MIA,0.04389612187128774,,0.049395604209850265,-0.04883085604798994,-0.03354054709274538,0.17778931659184188,0.007915185208550002,0.1008992324423673,
COL4A4,0.13204272689612293,,0.04879877837186996,,-0.0038295456970727096,-0.02411119807569972,0.054379966765287245,0.012667105110523496,
TAC1,-0.0355894321509455,-0.04946276489507947,0.029055059244888586,,,,,,-0.03267546277025365
RARRES2,-0.013902744736136964,0.05185564715943468,-0.0005035993431538653,-0.06779113613533055,0.00894849095857882,-0.04571534907546788,0.025753062304858666,-0.03837764651977848,0.011150975009414884
FGF7,-0.07073770927104478,-0.059193954072819736,0.018625594512079364,-0.008484833803918278,-0.008491125581428059,0.00946772292347652,-0.036487483528467854,0.025759039587055534,0.058847981191673907
EFNA2,,,,,,,-0.015662554984696722,,
HBEGF,-0.046553686811988314,-0.038178934939253825,-0.004420844584583442,0.003179198936322079,0.03925949687488434,0.011330943212524206,-0.00450348002415296,0.04742093606655604,-0.01118071689344043
CSF3,-0.028416462554517193,,,,,,0.019427163981514,,
PI3,-0.03366353738666424,,,,,,-0.0328429453099767,0.061351215283062206,
PCSK1N,-0.015232924780658344,-0.08373764103628786,-0.001198816780015878,0.04137913294947872,-0.017113897413670167,0.011756132593927342,-0.027904263080524055,0.08707569268627635,0.015845593991372055
NTS,,-0.02295571072275509,,,,,-0.01908185106879317,,
SFRP1,0.04535438520607196,-0.01728771256871478,-0.019483735826273513,0.018624195117856807,-0.06215154506448276,0.05711077519633645,-0.010816541748978007,0.08486237102030154,0.07133006238376266
CXCL13,,,,,,,-0.0001658046273423483,,
MICA,0.018968184306515742,0.025802185410333984,0.03324181978800205,-0.03367380067862911,0.004503321764162391,-0.02634812276636314,0.00527069379240736,0.15567790848847932,-0.062790475498308
TG,-0.02265245625817214,,-0.02069750624944528,-0.004622106860668141,0.012183748424232426,0.014893321476939838,-0.006388462517727148,,
ADA,0.034567190836402154,-0.024582450074535078,0.04568536271974446,-0.0697806154261653,-0.0739604275399492,0.034756018845865586,-0.037075853162653764,-0.0457766284783724,0.06536831007465432
LAMC3,-0.009722157561591503,0.00927499563657133,0.0747384927932145,-0.03300116903906908,-0.11031515834992488,0.08989072551526206,0.008627171547124838,-0.00557796522586125,-0.08345307757069133
NGF,-0.01637153185818672,-0.022955725837567515,,,0.10915904542441467,-0.02834011680585821,0.06411787050934363,,
TNFSF15,0.03894582933149382,,,0.026695120392018996,-0.046816221483956325,0.021669226730240604,,,
HMGB1,0.017013362094581243,0.06769076458443114,-0.024583355476282247,-0.0011613727005220606,-0.0877671374290328,0.05115901144359605,0.016958811822131607,-0.009606477443121285,-0.0036866950758966343
ITGB3BP,0.07321317136135075,0.01949601507867175,0.02457452869884282,0.010846339496082992,0.10650191603645535,0.013368837437671333,-0.023633525175011567,0.046233918452244886,0.07278485963606629
AANAT,-0.009026132541597318,-0.021581758298601338,-0.01848276759184438,,,-0.01986283013146385,-0.021077556874762798,-0.04699517896786669,
RELN,-0.028228061514258305,-0.06110068200167297,-0.004082139191574564,,0.060074825851693735,,,0.0007400292741565772,0.19124770167541097
IL15,-0.028790182782687832,-0.04422584337903167,-0.017141912681813906,0.023368361027786725,-0.04752408988170701,0.055180594685816174,0.028452782769130984,0.013617132490092295,
UTS2,,,,0.2550316527851358,,,,,
BSG,0.08293806338548207,0.03557363354689837,0.0001993525353391263,-0.11934763980120389,-0.05263838134748568,-0.039090053993796586,-0.027810695012627628,0.0363325371323139,0.0769064499544728
ADAMTS3,0.0770716082201019,-0.034655232671332116,0.06854973982033061,-0.07645388463028426,,0.06527545928523765,0.035690667979847386,0.045341298070114916,
CD34,-0.0018782513723739722,-0.011052107637534907,0.10685971384230582,0.016355209334468112,-0.0679306695789109,0.09416593461219551,-0.003322954497732423,0.010999032553918948,-0.029380109791911798
CCL23,,,,-0.026457792825335,,,,,
PLAT,0.055603224216506826,-0.03009601832175358,0.02951555779606515,-0.03444992452069882,0.029501160232088017,-0.0027900952269927217,0.01378962625742847,0.10455940964352528,0.0898446125088462
NTF3,,,,,,,-0.03189516509169238,,
LTA,,,-0.01714191479781961,,,,,,
CKLF,0.030355380621911926,0.047898732225455834,0.03761162007387019,-0.04422983568771165,0.053912714994903944,0.09237259458311337,0.08184490428742568,-0.008907884274481455,-0.04601062133825388
CD24,-0.046898292805513365,0.009481702363275907,0.05805708081474527,0.013350460848196398,0.08481887253655904,0.052605831803618025,-0.04420333435855664,-0.025819226862171783,0.0427870809466129
HSP90AA1,0.021913423212012905,-0.06902319467777727,0.034844148934782895,0.07779057595786698,-0.10632919566287861,-0.030944567027030575,-0.07862439315724483,0.015618118224774076,0.0015358706808071424
BMP4,-0.03543199962897076,-0.034423372786156516,-0.014606681900563662,-0.02744142331931502,-0.015394465813734841,0.007582506938825253,-0.02451447660629292,0.03087848334811757,
SCGB3A1,,0.07538454433076641,-0.011961401453576204,-0.03265104186533286,-0.04464149748880065,,0.0643494789115913,,
