,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.018835950391505894,,,,,,,,,-0.029258479510128808,,,0.07248882330070554,,
BMP1,0.03951855877067412,0.04743839628561949,-0.018685080677876963,-0.01571319474301868,-0.042798365481425495,0.0723998606699838,0.05157958930865136,-0.040401958463189024,-0.010832323437822724,-0.018513960044977996,-0.04950991959593921,0.03026019723339128,-0.0384057773207723,-0.03104529029319979,0.06631006426290408,0.09809207385889479,0.030841753853797154,0.1775754140587634,0.0519330244960312,0.025919296465946817,-0.021305395110363737,-0.10601618796484702
NDP,0.03212052823021192,0.0011652323584118063,0.032735794121908725,0.030757665550210162,0.035531418835997634,-0.03835956702764378,0.007767197865948167,0.01830805712352582,0.05277630924268355,0.02262193007671905,0.08848719082464394,0.03086408790715359,0.05939130043843546,-0.013391745817908456,0.1398691740225661,0.1288162432869382,0.033307154843429394,-0.07995455469855149,0.10116116995623994,0.03819542769944031,0.0462085281052526,0.07235130802020662
TNFSF18,0.014716305826268919,0.015436177153562028,0.018467133209882126,,,,0.006413397813135389,-0.027970820860659888,-0.021519452932871334,,,,-0.036445429725645004,,,,-0.013512039231375787,,0.164382154639083,-0.017152226675187343,-0.02794314960096976,
IL36G,,,,,,,,,,,,-0.029821516314453508,,,,,,,,,,
RTN4,0.022035831872160083,0.10366849926663624,0.027796690443996207,0.04177620160876435,-0.026838518551966308,-0.027942397640688794,-0.1530987576062194,-0.02114453251529605,-0.03749311506567883,0.031679918902421805,-0.07455066521867897,-0.07521409393064617,0.08862598645725521,-0.05083347722516095,-0.13053525058191068,-0.1450675464472024,-0.11451819310316329,-0.2460378750381008,-0.11640094028369172,0.025171403448661717,0.010123630966048524,-0.012609963475162975
HEBP1,-0.008392922804986009,0.006430571056861757,-0.005254251976420145,0.07144604021690855,0.025005522861585174,-0.006721245322929197,0.08229879392571368,0.07255088875036574,-0.00030237818468253653,-0.02975181374475839,0.04109719960629904,0.016768138871068552,0.046567623705728894,-0.05014498603706728,0.11547261298386562,0.11600760902187783,-0.004047191102775644,-0.002131976103575326,0.011059605277604303,0.02390900613253543,-0.023598048045544485,0.02848378324951895
WNT7B,-0.02098697044818204,-0.016391220898608554,-0.02233948986525075,-0.03207724897882843,-0.016973459692822473,0.024268168981802247,-0.0289038675113116,-0.020705696670928378,0.010789873079789037,-0.012031755070084327,,-0.03277728310285925,0.035853853045744365,-0.04345111673713616,-0.035816865500644564,-0.02428926875692202,0.009532746475987695,-0.04490726450809082,-0.02292362230045941,0.0704253156887869,0.012887809898003475,-0.027488741641517007
PTMA,0.05265016409490183,-0.03842308975625733,0.039038187194095096,-0.09269826730467687,0.016510176984988623,0.04083890170093218,0.21014798641039956,0.010615342447097333,-0.0405870356977272,0.02574299478254637,0.04907227271358277,0.08653276938822108,0.00560669662834647,-0.07165841110513609,-0.21934596191200498,-0.06357453599442435,-0.0476648249484835,0.03954777307361028,-0.005542615446906195,0.012835686239433496,-0.057073433399310036,-0.01254995276224737
FASLG,-0.020986976381144825,,,,,,,,,,,,,,,,,,,0.010383938253400463,,
