,MGH258,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,0.03866460600739721
BMP1,0.03962830813613811,0.023379416955427616,0.008406683402799263,0.08073088199044653,0.08649885629325282,-0.01480509767955215
NDP,0.03823352298477987,0.05167493097015744,0.019088722719438803,0.00404581457570576,0.0359854026222339,0.012165406516123349
TNFSF18,-0.04184889979603452,0.03206457547915488,,-0.015465868951125115,,-0.0256818234213304
RTN4,-0.012696989561475533,-0.027219670755125457,0.010638834035140186,-0.05159588720431916,-0.061426887144306615,0.07321498224481807
HEBP1,0.02986723836953343,0.018838427678623787,0.06401425700900311,0.0008051862195133404,0.019333814366353994,0.01686004388222739
WNT7B,-0.010144134147773463,0.05392460025304866,-0.0376972578556498,,-0.06637603641399101,-0.03249644163135282
PTMA,-0.00901366052953511,-0.057678523970863656,0.10342298450023088,-0.0020094958704273257,-0.07198880461701213,-0.008967805249526948
FASLG,0.017276376021802452,,,,,-0.013204622072282622
CEACAM1,-0.013736088690079164,,0.022176584256932988,0.09526107335055463,0.01925499532008322,0.07108241251523341
PDAP1,0.06527499358643579,-0.016460327320362025,0.09562966086846575,-0.07035672490611315,0.012780173200147293,0.0542174087709043
QDPR,-0.08093140721392882,0.04535763539818835,-0.010352531448624816,0.0175460052789497,0.0035284604220647752,0.056111218353235535
POMC,-0.03877504372152408,0.09983249892581678,-0.07354684185035332,0.1026363612456919,-0.026359657162727347,0.10059965797089411
CCL18,,,-0.06491191095520232,,-0.04220568738981453,
CCL17,,,,,,-0.01196850677040503
VEGFD,,,-0.022461444463193914,0.07152066382796557,,
TNFSF13,,,,,,-0.019501682811705078
WNT5A,-0.025322830692406966,-0.04828628694905484,0.062063999852867466,-0.056652715868948565,0.08044043288762195,0.0030500955036863366
CXCL8,,,0.08236647182490944,0.14318406232481282,-0.008747157076289069,-0.008266588258159185
GRN,0.004278973287421304,0.018831789032582525,-0.09695793565800041,0.03845585770154288,0.030742431570819975,-0.06883507172790725
MIA,-0.04825648283367738,0.11400725233179716,-0.02417942811409349,-0.002997401451952204,0.0309412925923145,0.024627160431435396
COL4A4,-0.04269715039241811,,,0.18111337452181087,0.0831792233603637,-0.03514774192593065
TAC1,-0.03686756034054977,,,,,-0.01573381915868984
RARRES2,0.022858792210849157,0.0066277682427374664,-0.045494338916064025,-0.021474652780816148,-0.038762028193412505,0.005159213968220871
FGF7,-0.05904447975171313,0.02643808995126138,0.012809305870464553,-0.0013992993421889084,0.10808693814588956,0.04203978696609803
