,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,-0.029538258766567325,,,,,,
BMP1,-0.023893242347118766,-0.02754552934628013,-0.009107780316878132,0.009806942892335222,-0.23620709838667522,-0.014894873944034942,-0.0021256919352777787,-0.09049277219037276,-0.12497404621859795,-0.007558473475054544,0.02541046204339489
NDP,-0.04102291392877117,0.00928367284048029,0.07897647440593503,-0.02704614469093653,0.01085294949878031,0.010729493303918862,-0.03781027974992999,-0.007376593069929048,0.008207813291608322,0.06904339016132065,-0.02031749932767855
TNFSF18,-0.019872565199798208,-0.035061840428754855,,0.03933722246464505,-0.04386342750552431,-0.013749100947136864,,,,0.0028616523697585256,
IL36G,,,,,,,,,-0.01984602973714843,,
RTN4,0.21451870667198272,0.024536705613556985,0.044306144861407236,0.09504998211511759,0.2986120096814019,0.04497381128815991,0.0661017080356957,0.190120129166165,0.1824137105906024,0.06673062777603889,-0.016150069105825643
HEBP1,-0.04588868292970942,-0.04506603758380071,-0.03528168089737373,-0.0007333280743704444,-0.02620911634987708,-0.04258061406619332,-0.003471187860792859,-0.05013538377049506,0.0170007556380094,-0.02420332519468052,-0.049452948931286274
WNT7B,0.29967062456703153,-0.021699594361690788,-0.008933848541237964,0.04982098166350066,0.2502028367714805,-0.023959311161873914,-0.019574610857029932,,-0.006226565192854706,-0.051512346851414134,0.011732403250888944
PTMA,-0.04417769889453149,0.0667254231931007,-0.01403756517717134,-0.12179834571890416,-0.0059908522236784825,0.056371864547502336,-0.06479320968126007,-0.22985760347592737,-0.18807311601926138,-0.10408946827001397,-0.1873195918355219
CEACAM1,,-0.02231590053872562,0.05331059902877179,,-0.057721772323241986,0.02903517965015515,,,,,
PDAP1,-0.033985049335420625,-0.036189107836968264,-0.029378740030903194,0.014615436605175986,-0.10643771117976505,-0.01724863136729564,0.00026266341369082823,0.03220404346287303,-0.06783625967689987,0.004271486967999215,0.014844160237591351
QDPR,0.08627604613771239,0.033512232878433294,0.08824052902772052,0.05523657232210117,0.08826370510565493,0.08802580328797883,0.03125387677239601,-0.17925718473605495,0.0021802334732842544,0.14530445282948357,-0.0626157576273433
POMC,0.1396273960730256,0.013637460654608562,0.042056736018598294,0.10499363782408588,-0.039844072941819964,-0.015953369485765718,-0.03419991988454415,-0.010021157584251005,0.06281773883724115,0.16261692747189174,0.07224571282086682
CCL18,-0.02665074393923286,-0.027848135376176794,,,,,,-0.07086821634575118,,,
CCL17,,,,,,0.049187342886941786,-0.024227880930312706,,-0.018129911593478296,,
VEGFD,-0.030027598813382385,-0.0278481442192641,-0.019522461470952376,,-0.04948450688773323,0.04329000908574172,0.04730508510389147,0.22307334388135255,0.06772329754198624,,
TNFSF13,,-0.021015103269562744,,0.027483511150445908,,,,,,-0.0014503322122202845,
WNT5A,-0.11393557620904794,0.03175445434722045,-0.06854858147133282,-0.06354463323480274,-0.16506457288198442,0.04832246421371398,-0.023634345165127243,0.038835988817249804,-0.0628227891905881,-0.10114957725601376,0.026854321468457277
CXCL8,-0.11564873889676845,-0.05211581921592786,-0.0649400983308117,0.028532260129742276,-0.07982358532097103,-0.00950318026513948,-0.016549541064678836,-0.05540050435920381,-0.05841974134379054,-0.08952428088654331,-0.055308416023996665
GRN,-0.07668261772320839,-0.043972987756862925,-0.06760296679015336,-0.03147292269095193,-0.211348841238137,0.008967148852381056,-0.0348025737189537,-0.16573238217271755,-0.04528630661749241,-0.027597605081519896,0.023667303881852127
MIA,0.02849000002082473,-0.027516783025561018,-0.02834846941113941,0.009251703488519412,-0.074724535593625,-0.03370423902889844,-0.02021127453258527,,-0.026610806537433696,-0.0633759653251791,
COL4A4,-0.030228018651153623,-0.01108881986965129,0.02172751803700971,0.05065831177598885,-0.029107761532258386,-0.017902839732087974,0.04277884320215791,,-0.025813469578241117,-0.04280480203255955,
TAC1,0.41065777190604985,0.047819318553060555,0.07767537675682851,0.10841278461600816,0.25467926714574585,0.08005069166800287,0.007492667645523545,0.09443189388349056,0.09231993099123359,0.018509659463255147,0.1354050406571848
RARRES2,0.01897127697281386,-0.0476083154636136,-0.0737858847600208,-0.054033558135134024,-0.2533267977006363,0.09577741739745692,-0.0005664879627240567,-0.013865120707229684,-0.060274550433686014,-0.05955786887804653,0.09140636968509558
FGF7,-0.06418961147253598,,-0.008053272016288271,-0.02818834585743194,-0.04346439681081145,0.0679001405126185,-0.03219236464035706,0.01995409148698743,-0.05730592950603956,0.008180035740238588,-0.06737590309077668
HBEGF,-0.032507839366657965,-0.020354440818893385,-0.01642814597932575,-0.062163191136818806,-0.11265403634515182,-0.06629409018860602,-0.04563877129241037,-0.10475951895097861,-0.046466882841882495,-0.061812553574169926,-0.03166128396476311
CSF3,-0.03022799471954096,,-0.059465210277324085,,-0.016982640100836797,,,,,0.0034371894288554258,
PI3,-0.03580956737359266,-0.017785016026069075,-0.0035010034280407794,,-0.03467608478448745,,,,,0.06667951099277679,
PCSK1N,0.21977077982310156,-0.010018552891409306,0.010165046289895285,0.06059516733802392,0.1690528926752709,-0.01521495299719748,0.04784065812445833,0.23012479030559313,0.16876033088648312,0.08694885053751863,0.15875854146167112
NTS,,,0.0023516721990221256,0.019089164033656972,-0.03785131425437532,-0.006348092142471133,-0.06716948700984901,-0.034816889420946774,,,
SFRP1,0.025983816829274583,-0.03426694419503885,-0.006140827114879504,-0.07465074007370257,-0.017680018608418113,0.0017385523720611976,0.15384612398300196,-0.06551082324043517,0.02435569322904199,-0.03722489012880851,0.06787551111302419
CXCL13,,,-0.004840490178942397,,,,,,,-0.0014494814093009218,
MICA,-0.06408820616954074,-0.02189910828135956,0.01606228067905626,0.01816208916014404,-0.03311702161310312,0.004592361620504351,0.004174143365442335,0.007586382042016249,-0.0951358413797548,-0.012963750934657986,0.20241829711151274
TG,0.14018209324428776,0.03864182274376289,-0.03173984435200552,-0.005455781454829671,0.030242491576184777,-0.017275765359054757,-0.0010809257824202962,,-0.027233685397210255,-0.05018280609188886,
ADA,0.03462368383707114,-0.02291707858861433,-0.013124359518079862,0.01725957911874409,-0.1332847815580418,-0.023678542485344883,-0.028475996294050687,-0.03945677409935203,-0.04028278973623662,0.007150119733675399,-0.012815344392171144
LAMC3,-0.007669656837813522,-0.03908807782742069,0.052314599037311435,-0.040133349229435816,-0.090956988810017,-0.008629147681261294,-0.048163541137661685,-0.0016740952700244518,0.014733335615886717,-0.03744178629610322,0.09908312723037138
CCL7,,-0.017713766647490678,0.022615430812745155,,,,,,,-0.0648314121959513,
NGF,-0.017415207033973236,-0.030413657684276015,-0.0197694089314986,0.023367621887080404,,,,0.010175122436021911,,-0.017196511199200813,
TNFSF15,-0.021544784578184463,,-0.021666113762034735,-0.03502079820770014,,,,,,-0.02314933357419352,
