,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,0.14387284197413458,,,,,,,,-0.016842708502465196,0.09434715498620232
BMP1,-0.004655237729464037,0.04495068039858931,-0.03869162680851271,-0.03257256052578835,0.11819687396769088,0.11495019913981022,0.014890462032859566,-0.011492657486778739,0.02361140783804999,0.019694965907808372,0.05198309487441601,0.02819623909596168,0.03532396317654255,-0.04285672457363165,0.05863239202881861
NDP,0.06076153904653565,0.0815664823089592,-0.007276949245541736,-0.061388091865207516,0.024143880689926008,0.02582311513908277,0.00782236082013397,0.032878897470452195,-0.03390605666357735,0.047762355740061095,0.05078038255875859,-0.0828583470977296,0.055613715050889696,0.05702019199325031,0.02528230183874582
TNFSF18,0.030332045646192952,-0.019743279515504204,,,,0.053271473980185696,-0.013383383660703364,,,,,-0.041558767423743384,,-0.017369587987328846,-0.017200564277752812
IL36G,,,,,,,,,,-0.01729702497315023,,,,,
RTN4,-0.048204452670515215,0.040235455261923514,-0.016900621989657798,0.05341640121814912,-0.005217251380008462,-0.20613947090706924,0.012453640076619516,-0.011679939064050661,-0.05256670005629765,-0.03156270684568564,0.0036650855346723084,-0.0012582285015602156,-0.04291331823621017,-0.016131520217285127,0.025466756117575432
HEBP1,0.003003884041267075,0.04875256651106315,0.024550275577175255,-0.0024996571749407092,0.04190471208076232,0.05578914163626438,0.033059982122095606,0.006313571894893521,-0.03407373190935929,0.06680434212847604,0.046497740130236796,0.021131309606299768,0.03847661210158851,0.06351866136788063,0.037245824905866184
WNT7B,-0.016485143046881725,-0.02527002169531942,0.0043451789073920815,0.11947781695039042,0.03818277344068084,-0.06501684746747738,0.023699309398318484,0.0008595005518246138,0.013481572695555073,-0.01901142377885694,-0.0665767992669402,,0.009033879364149858,-0.036321213644609975,0.0467982146493574
PTMA,0.08925531928002078,-0.034459146786131364,-0.059513355922866745,0.03889842632107434,-0.002492610173848382,-0.013961921747076075,0.03041459889743435,-0.0077273334283658734,0.03350226334988307,0.09014298570674863,-0.0960363492079233,0.08152775177620553,-0.029619996907252092,0.09611709437962436,-0.06885204247311721
FASLG,-0.016485147707189434,,,,,,,,,,,,,,-0.006528300054239164
CEACAM1,0.056941804728985614,0.019217992931230374,,-0.0027080445064319157,-0.020719402554593293,-0.004444310263927364,-0.02104887412076257,,,,0.017453605429566043,0.0031214890468504388,-0.018272031929891103,-0.024958284528261265,-0.008047728362541404
PDAP1,-0.022094118575431563,0.029648238230854496,-0.03572835796789752,0.058436501267674544,-0.009125910992171695,0.10021335730742587,0.03361487740819943,0.024672412402958716,0.011482215927573725,0.03855748694412928,-0.034005993679882295,0.08324717893272052,0.03413782671934071,0.021766630837136487,0.061465888312820384
QDPR,0.037524732186922,0.00012044694161261495,0.010251315908919494,-0.03596707409369919,-0.0030001454065909593,-0.16623174177210842,-0.013159112103370365,-0.031016816323956895,0.0042796625973071465,0.05354337039672981,0.0551115572246739,-0.05394490051906062,0.023819851002752402,0.022188402412736223,0.04639924973476176
POMC,0.019201892631177785,-0.02644638885272001,,-0.0194280103971482,-0.023913166339027445,0.06174547962622503,-0.015529020066830058,-0.018155446659443252,-0.0225954797142436,-0.02802266362536968,0.013493495950266955,0.034814647360635456,-0.0002722282634076444,0.01189847141980871,0.018843585883440497
CCL18,,-0.029847639997634425,,,,,,,0.00790216560666133,,0.11244548308921103,,-0.006523733488880979,,
CCL17,,,,0.03148156378426151,,,-0.016691685089660135,-0.020351397688846414,,-0.01580132337534523,,,-0.02637682519861843,-0.022206138241122025,-0.02145594150614744
VEGFD,,-0.0298476494756581,,-0.014196745452948765,-0.019823151269816174,0.03501998155080897,-0.01778357866088395,-0.014927996322881493,-0.015266419482255274,-0.016934767681067643,0.013648694840433668,-0.016757866454152757,-0.018272031929891103,0.03951846990652331,
TNFSF13,,-0.02252399409978496,,-0.019855425617776343,,,,,,,,,-0.0004820299359177085,0.06403295733899728,0.01399726174413651
WNT5A,-0.02911250715171189,-0.01872722661902629,0.001195332546055016,0.012112218825515391,0.10656987725293764,0.13634879005861403,0.038376792877525344,0.0323620553220108,0.008332798081396017,0.0003782659889165849,-0.059801392793085,-0.08746860915211886,0.03499855943516714,-0.00853605909244229,0.004512086796158823
CXCL8,,-0.05988563522814837,-0.007202904298538246,0.07409206314238624,0.020011184117977657,0.025628570394295034,0.0021264243792154802,-0.013901599266726569,-0.04156406747667102,0.03860624291136864,-0.003549240215023532,0.01908409541368029,0.0022662217014310696,0.0155526679625759,0.002390700475237981
GRN,-0.034745952626093785,0.06389625196624046,0.03080217195662704,-0.00545499951756264,0.007735780025863769,0.12402407464774182,0.016164039468418483,0.009723142140196116,0.07645457871213583,0.024701405144617196,0.04465873156049949,0.10622146831593993,0.006423424622265741,-0.03472740393785704,-0.034782958951487156
MIA,-0.02157763646922254,-0.04035147180783005,-0.04078771728104509,-0.024839455091201886,0.05854887883332836,0.013055747986113935,0.01177764681772248,0.034130050963314944,-0.020704007474765085,-0.02319294041830839,0.05834085652108739,0.01820740843424164,-0.005719953648988608,-0.007259199774979678,0.11016418942415152
COL4A4,0.09982021717123302,-0.01602490352640096,-0.03103719895832607,0.04263422414262688,0.04989864871238904,-0.025993590627105448,-0.01742663565216691,0.012643138506055418,,0.03649831779507966,,-0.031107686441030877,-0.014972152536459676,0.04549647479862356,-0.024625465776045154
TAC1,-0.016485138738298866,0.022953735670174634,-0.07650161185352353,-0.016859331684754595,-0.018365240651921622,-0.11793844753170046,0.03357326550623328,-0.039977481532168235,,-0.039871186838094395,,,,,0.06333435988097072
RARRES2,-0.0007235348431460214,-0.06330699410639275,0.08070404042267018,0.013590101530080102,0.05991234034603146,0.16736443620904612,-0.0087585387130778,0.015354408942148564,0.05563931943090838,0.011441446439371316,0.04266417169428529,0.03795328910260961,0.0501475710760356,-0.0057944618144066705,0.0029392144172321207
FGF7,-0.028747748646733323,,-0.023015178468014198,0.03859355249837456,-0.037955569554793483,-0.01214827870879084,0.021344692971394234,-0.00612376988475503,-0.020462938544803116,0.013084190455835245,-0.021122635037363075,-0.07420547738987635,0.004247430279548502,-0.024400438805217663,0.12175215221493353
EFNA2,,,,,,,,,,,,,-0.017366343528758457,,
HBEGF,-0.05404089841163153,0.049779957954415775,-0.04696526277437213,0.06718811025758765,0.04588513822561328,0.08922343794917147,0.018769014631976017,-0.03083435934294375,0.0030221524389006664,-0.016830094101959417,-0.06257038591782549,-0.022140640875436372,0.03836463431888096,-0.016543819958115158,-0.05589234788573482
CSF3,,,-0.02172485946720607,0.00881316273461701,0.002446071302920516,0.029792152238848187,,,-0.022935142567534185,,,,-0.04399321988525231,,-0.022589796436324215
PI3,,-0.019671469426526544,-0.051469230472838204,-0.012825401170910545,-0.006390663839208495,-0.005660105125627293,,,,,-0.013154065521117,,0.011402534951461261,-0.018867736175158096,0.007396977445740519
PCSK1N,0.06443157195132883,0.007683282214170407,0.02992864332347268,-0.048453472955161676,0.05874500018631162,-0.027910919881785057,0.018557817137572704,-0.0354662727122101,0.060358180738410115,0.004770506856524884,0.005998249970674772,-0.02079316447279534,-0.07208006758625093,0.043377068212136057,0.03001245624339469
NTS,,,,,0.02051516954863426,0.015687542006337016,0.03505644907348203,-0.04000341581503071,,,,,-0.021157594092984792,,-0.03345240815005135
SFRP1,0.052776793620108044,0.04422897407951507,,0.03238760094571978,-0.02261478268840387,0.07034215479319464,-0.036964804004198326,-0.020351397893801706,0.02806977325211354,0.08092609405233464,-0.03823855376602977,0.07790206779755358,-0.032006917530086214,-0.004706295504879728,0.07037553372105727
CXCL13,,,-0.015774818519224836,,-0.022411538448175918,,,,0.005833317213379905,,,,-0.04461908714984292,,
MICA,-0.04136211839433251,0.052592183111183965,-0.05085206103983717,0.02480596226732622,0.0013029788982761193,0.08090792270910044,-0.016561840218385356,0.008174578515161606,0.023991328804296476,0.02602519502267057,0.050202723396092046,-0.14435582664687172,-0.0223026886395298,-0.042135307970741734,0.06368910292042598
TG,0.19719373799299417,0.07723118554048926,,-0.005826178984853181,0.05185815467885019,0.0019913098969636073,-0.016816241056159077,-0.01472821812900855,0.014926369835674311,0.018222205298917864,0.061026833070951324,0.08872891950132682,0.0046347930267428145,,-0.024463248694081174
ADA,0.07502123129260507,0.06262871376052861,-0.04286561968881025,0.003837613470860364,-0.028075980307343908,0.08402914620820279,-0.005315770647912308,-0.023919810685600167,-0.018378496741662725,0.028308984624488,0.046960426196773576,0.1753587313763633,0.06017662887139555,-0.00155034938848915,0.04304275044479
LAMC3,0.09124131185087285,0.12180232781758911,-0.014167647016176182,-0.0036311071905146017,0.03658404733263181,0.10346615986812752,0.026880136867496098,-0.05277569359747221,0.09165324589267283,-0.03763919219433806,0.0010457349132439468,-0.06804644527127664,0.1167989110608702,-0.04719479060173271,0.011355668235190278
CCL7,,-0.018985620500419707,,-0.019596446409684914,0.02247978956978861,,,,,,,,,,-0.023671916930346957
NGF,,-0.032597367590655,,0.05270158184506379,0.026905236478444762,,,,0.04032393503132294,,,-0.03876533162592992,-0.017132910654847712,,0.005869500117885746
TNFSF15,,,,-0.021821601527100467,0.11184288436280707,,,,-0.01460554959203655,,,-0.0002063002868543665,,,-0.008621274617435119
HMGB1,0.019397746332075565,0.053353289653405106,-0.0796086380520991,-0.051413543656205526,0.0005024493919043903,0.1719572003250649,0.00780310832713226,-0.030657159761851457,0.019494888565495236,-0.014253415077914831,-0.03889708470501652,0.09068316879366536,0.006384801030936373,0.06261984845054895,-0.017616741169191256
ITGB3BP,0.07874268532185699,0.0034717925879804916,-0.034313870798660426,0.016340829194443362,0.0073902382333662165,0.09173487856583833,-0.044908760387948166,0.00879017793126898,0.0151734249430975,0.03841234092271538,-0.021315381614074022,-0.06362905400396901,0.014915404153404465,0.05086596516897943,0.00613775759535804
AANAT,,-0.0017667907227984197,,0.041746553424044534,-0.019823154099682726,-0.024806392371486453,-0.015122943856222483,-0.01697745295485417,,0.010137081336437268,-0.0025953722987719103,,-0.02337039479138103,0.05020470777003571,0.02610578432894833
RELN,-0.015827612880467655,-0.01327589123105377,-0.02446551115736205,0.051794688250724204,-0.013547694365704396,-0.00725719217583834,-0.015016701354741854,-0.046999754909547345,,0.032981538607488294,,0.04068724403127136,,-0.03435077858494927,
IL15,-0.04411533967464687,0.02137316962425921,,0.0324139644784898,0.03638485380757462,-0.021059519609051735,0.017859255590725355,0.03570238884537985,0.014351387546134629,0.01493750072967633,-0.03809039221227669,-0.0031022010501437144,0.0418896531841471,-0.03420675659178938,0.06419186359418373
UTS2,,,,,,0.08055055025481239,,,,,0.0390805224401698,,,,
BSG,0.019836586982891907,0.04565833872952565,-0.028465521040657547,0.027260203784046866,0.0652635838459043,-0.0037514742974322237,0.0019641109399740567,-0.00023941407845999468,0.09516125256512986,0.09073462453405863,-0.013973157488376487,0.042128612820969843,0.009400694080106502,-0.06855254638255874,0.12445799572908774
ADAMTS3,-0.04736913661997506,-0.009667398813068662,,0.015952607215370184,0.03381528810399248,0.11750186430935498,-0.00832658688244696,-0.012067521033092913,0.0004469860347489511,0.03811769726005729,0.022148072909999303,,0.019557372038482006,0.11481086678792166,0.10269654039738148
CD34,0.06139660651095074,0.059867372475449224,-0.036022207626958666,0.0059376890815613665,0.008666522109187636,0.12459233554292166,-0.017632816570660424,-0.031764353505159076,0.04548799977831947,-0.045525419542106906,0.00426401631741657,-0.045567897208242725,0.07169520323438092,0.01967284380162377,-0.0296144232544814
CCL23,,,,,,-0.0007127741273873017,,,,,,,,,
PLAT,0.027664012602069996,0.07610026733719755,-0.04268406686326026,-0.054740908357707556,0.06137549424847009,0.10671166573451989,-0.006988019157598366,-0.0035587200653298024,-0.008019327478947702,-0.009021478251025944,0.01521392213551206,0.0429760803108547,0.0386630513198722,0.0035798079962675038,0.033513652044158286
NTF3,,,,,,,,0.015554793209829275,-0.031110686874519945,,,,-0.02986099811813286,,
LTA,,,,0.021099340020620604,,,-0.014564970990774887,,,0.048360088600751056,,,,,-0.03370797362666221
CKLF,0.017419689396040217,0.0055163429905252526,0.0199798919393262,-0.005591415714760701,0.0346735951068243,0.13119487315653588,-0.013719784908492013,-0.053462060554358336,0.0016353874769594497,0.04249037217773778,0.014405508844688289,-0.023730127143496604,0.06107264102291411,0.001328353153762688,0.07321408669445348
APELA,,,,,,,,,0.05947720765275917,,,,,,
CD24,0.08126735816937283,-0.016990711436077312,0.05321079609705664,0.06636992125497451,0.00612002572893585,0.03061360472379233,-0.01067961353110207,0.05791930854540726,-0.016437491009451553,0.036401985944730736,0.034141128324759,-0.06038690065277499,-0.04685610047912207,0.006760021853659065,0.042753978699322875
HSP90AA1,0.014803473212735783,-0.0018291429726084935,-0.049925425558627605,-0.06699314564672336,-0.0005467450549341631,-0.09724631057951699,-0.03693823751225932,-0.01854847348083908,-0.03871914435989678,-0.06617139507990133,-0.002186521195412426,0.030637777544103847,-0.012050734346765247,0.032215927313525544,-0.07426926013696533
BMP4,0.1525504193685029,0.03905483911981821,-0.07605182781730477,0.08445890483836335,-0.019108798456348223,-0.0129640748634125,0.07432723622521277,0.07454162216392211,-0.004850250761219902,-0.016750884338796675,-0.013261478393838785,-0.06890664584893458,0.04076155843301484,-0.0025989204464428946,-0.021923535929604443
SCGB3A1,,-0.018985618601883022,0.02281548708466258,,-0.007359775566634606,,,-0.014320647618614768,0.131067404562192,-0.013717287310202707,0.03236637565326343,0.0974093949367201,-0.033243644290215306,,0.07938145757205357
IGFBP4,0.01144481421928241,0.0016964376769729543,-0.03605277365286711,-0.0078118889288087984,0.0190814018498089,0.11141280502681614,0.0076182800578899505,0.02025513409131259,0.038268070224673274,0.03826884771718287,0.055611929263070535,-0.0470366028774162,0.07033621039501606,-0.03488456261534819,0.020973683984049297
RSPO4,,,,-0.005233688132634345,0.00032184926704503797,,0.015235068360848888,0.025144558163586492,,-0.014457298301111208,,0.009615843310759816,,,-0.03496699358552795
LEFTY2,-0.018903039452245595,0.03898585885615595,-0.05870286142496659,0.014318750634417475,0.018716482059874237,0.13506656256371463,-0.03488882113631517,0.002667307771354432,0.054082748585865155,0.03219157831848472,0.024994949474072173,,-0.019968174896544757,0.03053499870932685,-0.008678289582155677
PF4,,-0.019694531661882456,,-0.017097513419435162,,,,,,,,,-0.01591745617208065,,-0.03370796582638709
ANGPTL2,0.09301588213414728,0.03140066305805869,-0.022757689441713247,-0.054722361847257685,0.0676266496844205,0.13071579931883662,-0.0014485371123909014,0.015046930422696761,-0.02159442108907689,0.04910876171847649,0.02211822591592179,0.022511861218925098,0.03471039611592042,-0.010573750601961859,0.01758763951990046
LRIG2,-0.04385556715249945,-0.009892345883039623,0.012627903756032746,-0.011043041853947003,-0.004069262129386054,0.08226542153204504,-0.010895138916194182,-0.025278032845055993,-0.010935287843801097,0.02756374062113025,0.027168895645824153,-0.08905473750139595,0.014019040156961926,0.01750443274020338,0.06233649016521585
ICOSLG,0.005321430899951886,0.02616777462165068,-0.041603654390339195,0.052134036337132844,0.007943530414233246,0.018648075170778395,0.014091649960668041,0.026464173332474625,0.0014802791248075323,-0.04756940438584505,-0.08232502585951264,-0.006538707482108195,0.08358201331803436,0.0449116366228721,0.04027650244650201
WIF1,,0.01260670595621535,-0.03765668033086813,,0.00915219173397231,-0.06350264339612442,-0.01307215660274814,0.05058764320062215,,-0.026869089800906132,,,,,
NPPC,-0.012415428152794498,0.02032719568844674,0.00878921319248743,-0.015466377223659301,-0.030138119685606358,-0.04361660382808896,0.06128668439998729,0.051265384636834825,,0.008956401568520176,-0.010693607322949841,0.005967851081825061,0.039235547174700895,0.051021975382963436,
LYZ,-0.021928098863929307,0.004134718866072312,-0.010812102154547667,-0.03477715782562939,-0.025244397223748237,0.10968353413980199,-0.03523517154768793,-0.05163092859634477,-0.03613093154252263,-0.014875276939990063,0.05411619557357905,0.05652583417266508,0.05491067643080308,0.014129762418572297,-0.08480199510482653
EREG,,,-0.010465395175118849,,-0.038341915830920704,,,,0.0014621703963669322,,,,0.0027048678670792956,,0.07670193556456201
SPTAN1,0.050052859122705164,0.06793500443269519,-0.027535912134867647,-0.07798259649534808,-0.017024933898075755,-0.05377708504549315,-0.041149936023937066,0.04468432234180036,0.0822692879540307,-0.02595999727192632,0.09727011677966856,0.0145766823185382,-0.009786837240484004,-0.0393530995961904,0.08902350402238006
LIPC,0.032409116811113664,-0.024111283359219353,,0.007124408680028505,-0.026378838911796824,-0.05834031052811011,-0.013375147088177797,,-0.024145863632790487,0.03825139091793184,0.051862957334270265,0.05088623325991426,,-0.03198658357881654,-0.04261962719286989
COL8A1,0.15976355548425433,0.01619290054358051,0.05211261537146019,0.004351615730770235,0.018940430763715887,0.05638963704730137,-0.028923596139859932,0.017666096227692503,0.0030103407208242026,0.1122918335869409,0.09340535150887272,-0.10143741544544142,-0.011649553022011028,0.006364072867630056,-0.00974654718543053
GSTM2,-0.034735764034425666,0.02025069772390061,-0.004130791095843464,0.0033005064395842817,-2.6341231855347957e-05,-0.009901842558620816,-0.026332062145271767,0.0011386022472263564,0.10388809569940134,0.05320387524418507,0.028245298610618003,-0.027054783632233792,-0.012966343162612201,0.002972557123342838,0.0002627275030957974
IL4,,,,,,,,,,,0.05500699060192138,,,,
SPX,0.05677841453248258,-0.030318984081483293,,-0.027556953264856684,0.001255116160901012,-0.0668522327773705,-0.02485415040354039,0.001287464633468393,,-0.04085274684558144,,,0.02321521593735607,-0.006910002772536685,0.05962960932505599
MFGE8,-0.055745946852632414,0.0547702714489275,0.05159321807583849,0.015359760132940919,0.040862967255369316,0.0036034517217049125,0.007726320827857234,0.00834996959307299,0.030685474620641747,0.06095531072544388,0.07989763830975415,0.05746296667945948,0.02779609641682386,-0.0419004295500807,0.08161311268617533
TGFA,0.00792378236967158,0.032552462157492024,-0.06875925724020682,-0.02450364434406761,0.016228794009637143,0.06805158949761686,0.020945244234339494,-0.04778826395880812,-0.026025207534917733,0.04917414433995565,-0.056987251129108664,0.1259015374897608,0.018735692239157557,0.03744883553930156,0.01604278065855805
SLIT2,-0.019648236321222926,0.08702272948798799,-0.017260016845509343,0.04859729437367699,-0.007689757292046065,-0.043629903615516684,3.428137356945867e-05,-0.012658426153391756,-0.007097930286735387,-0.04421902469919413,0.0005088940745977802,0.05919976501553554,0.03622163096279988,-0.038743910082790954,-0.006591678616733016
PLTP,-0.017336180491234133,0.0023642198628512287,-0.054182170427190764,-0.0015692916804679773,0.07021904209624896,0.10910376090914035,-0.025583437486250596,-0.008328589152377058,0.025727213191886394,0.02270802199923827,0.002532698117390367,-0.0394789340065091,0.03400231423506421,-0.08591467319248872,0.046268378490519485
APOD,0.004548518127326077,-0.04212532390846044,-0.10643647688435721,-0.0325259296718434,0.042233512528080074,0.07171530473398828,-0.02991649361976254,-0.002642049257014116,-0.03272869070591547,-0.07288462656275387,-0.04075696987240742,0.032487966627360074,0.022068582931685704,0.07830814590041421,-0.027505252180276676
B2M,0.04237864942118617,0.026864059231649976,-0.016375417721910715,0.06974043578147228,-0.0035434713129521714,0.1537795552157979,0.015075174426009494,-0.00372799444118115,0.052918260731616165,0.07075636340495743,0.051696755710345335,0.10346900440474875,0.03067340892534019,-0.02987209607428055,-0.04754141764937088
OMG,-0.02141239855677623,-0.005306796334961158,0.0746781666375266,-0.07164420371624741,-0.03131564304036348,-0.019722042926825438,-0.05856319686223106,0.0033280818655874746,-0.012229731410802436,-0.0502112247879187,-0.0182888879723686,-0.016088056244474673,-0.015299856499827872,0.05269221584777316,0.08438112362289922
CXCL3,-0.015374691478848387,-0.048635053000899306,0.01545068148706146,0.05762595164790926,0.006741313879426056,-0.03256960737414426,-0.00034361225765629704,0.003561452029344334,0.036462776353078014,-0.014157520926854737,-0.0563732851740468,,0.06130719114450807,-0.019343176416175095,0.023200629824035878
CXCL10,-0.06312673311256917,0.03962781523069512,,0.06625717801773423,0.05465817016800718,0.09947859108601954,-0.01713029864038973,-0.023272298000978273,-0.016664261877641636,-0.022498014064258498,0.07453977264751446,0.169139605079673,0.017535949172837424,-0.026059384631434174,0.024658612929150125
RSPO3,,-0.025789550556929067,-0.02172486014482866,0.06684849879194403,-0.026378822647948618,-0.04073341161745629,-0.003924565688482563,-0.0037128509349450135,,-0.014794336509075768,,,0.002613031452021974,,0.04446414215333748
CORT,-0.019091809442158575,-0.022412211051640693,-0.028831849245562518,0.026899128140517727,-0.03201468409516565,-0.03302482533657275,0.02543065757540765,0.03926633858436512,,-0.0035778175625843555,,,0.008032175468634951,,
NCAN,0.03671003823364883,0.042577893332663264,-0.06920615898065763,-0.05759903701774996,-0.0023115580849144045,0.10800368469971615,0.032079016801179944,-0.009687462869708549,,0.012061795717383295,0.07636763599343215,0.12772237749269985,0.027205030630324013,-0.04685627722570168,0.088132110463084
PRG4,,0.1566933376888145,-0.024291200143682044,-0.01959644946350019,0.0595207638597335,0.02093237675863179,-0.021648580996313217,,,-0.01729702497315023,,,-0.024578140773109578,,0.09451826362423162
ZG16B,,-0.01370436808195826,,0.0553952668292041,,-0.007708935339964657,0.0838866475051303,,-0.02178542273834927,,,,,,-0.029953306198641828
TGM2,-0.032975447138515475,-0.012238825301912467,0.007288637436218735,-0.016993640020916207,0.03283145757517095,0.04234344731114767,0.02083383953129762,-0.0408382199731572,0.02204335843779627,-0.0589893731144347,-0.05157942900471593,-0.03629844745211747,0.014253525439815319,-0.03357322780429613,-0.031679872175696275
VEGFC,-0.01909181067141986,0.02427254469932602,0.03353671172702658,0.05189733601306488,0.023953418842502558,-0.030347205670003877,0.005669490136496473,0.009588792267056452,-0.03968269177614912,-0.01765230344215122,0.07366142979622908,-0.05022975887796839,-0.03337417424668377,0.032740699030828775,-0.040359613218984326
WNT6,,-0.019555667216526296,0.02670387710895491,0.05262402132505454,0.03227140966588812,0.00894577131085174,-0.025755725202335898,,-0.024360555778038546,-0.015406039057241921,-0.06498160917122257,,0.06519708516968373,,0.05694595116755102
NRG4,,-0.01748642301922968,-0.01628395050783909,-0.02384977545377027,-0.026902264302635922,0.08174432755775846,0.02732827785561002,0.03450247648440097,,-0.020593470915912307,,-0.031107652126501746,,0.029196457231751485,0.08195618011504263
PMCH,,-0.020154043577725805,,0.005258557121278466,,,-0.01693994713760023,,,,,,0.10282974342370942,,0.044098192932593934
COL9A1,-0.002122716639341775,0.03821350109162282,-0.04663123272032414,0.022040342299137712,0.09863628119744358,0.026057509629927252,-0.013525214291161141,-0.020642650114127716,,-0.023465770531185523,0.03486707442261414,0.06599038184911611,0.02510225976884059,0.005823575792068353,0.07680308532637392
GDF11,0.01971467633210804,0.0469644891567282,0.013660521613967094,-0.0038481035159088125,-0.005200547552665343,0.12444497781213501,0.03424544730910454,-0.019987661433687784,0.05530855627977314,0.07278143761125318,-0.06360688415608748,0.07393393151903448,-0.0012496910093653438,-0.028214883439981846,0.05885022037848414
RAET1E,,,,,,,,,,,,,,,-0.026352368722839525
IL24,,,,,,,,,-0.013737812999500288,,,,-0.015663660426149095,,
SORBS1,0.036297675984284,0.02072982615789887,0.03918810641564137,-0.018598148833980366,0.05791005486148941,-0.011798056679597727,0.01110537539320059,0.04841362126341872,-0.003514808244619683,-0.0037120404687271315,-0.004710516634374195,0.028114305005486423,0.029997106353400936,0.007380427146610893,0.05508591606740826
DLL1,-0.02339888281848472,0.031276062414652764,-0.07820738277408419,-0.028484445193720166,0.06451504565956165,0.08134349134305703,-0.005378795486036606,0.003051496633839593,-0.01751353684111627,-0.010380031450097435,0.032821537340676214,0.1662627530380243,0.00019834661073177777,-0.058794116077646105,0.025032383791405363
TLN1,0.016032047351949394,0.022778864579750896,-0.025204249791594156,-0.010248624742861007,0.028902923702797716,0.10709992335438764,-0.010352647452270356,0.038740714008437205,0.02956031058376273,0.040015887759624585,0.06980651187507336,0.04195112497481352,0.007939538958250522,-0.0782843844398,-0.024556067378774128
COL2A1,-0.01793209162341923,0.022144827894023462,,,-0.016869083297184086,-0.03256961845794262,,,,0.07914591429542722,,,0.013343255551090042,,0.025456402500883865
SHH,,,,0.09359383359165686,0.0192218849939609,-0.025603677523538836,-0.025739081336013568,-0.016442657445064363,,-0.013717286111226402,-0.01548881420965264,,0.057514042025389296,0.03134131672583336,0.04818188746261073
PON2,0.02062437747387018,0.022061048461253528,0.019837489482726893,-0.060374102275323256,0.05171885401696698,0.15411142073569536,-0.023714021486843224,0.027349221717226146,0.07321998678782335,-0.012907909422295223,0.04689446543604722,-0.043087810671921745,0.0018203232475811316,-0.012714170889558833,0.046592989192915504
