,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.14466581333792625,,-0.007548002637749201,
BMP1,0.039142373600568096,0.0010424368304896162,0.02727223309761084,-0.012447667742036204,0.056656693111814184,0.06501453199033892,0.04070756108758351,-0.04559263810044338,0.011490314292170073,0.04956632930019048,0.10402906923398962,0.016858014218933678,-0.012635923841826763,-0.02144053290453695,-0.059107108433751526,-0.036949556344497626,-0.022368055651666045,0.06843001289166302
NDP,0.012611821471651689,-0.05965780621117225,-0.0021415798893693887,-0.01902448036441264,0.009310167853301783,0.06044955313342143,0.001425301399591716,-0.027728151584768157,-0.03511032495678093,-0.01773295576402376,0.015737460547348914,-0.006260195956368822,0.012171547767345879,0.04878508234581044,-0.017883298352082213,-0.033181873117612025,0.02890369971282317,0.07602375617873386
TNFSF18,0.04272538475450078,-0.029448343766773317,0.0692926413136587,,,-0.01682865457672663,,,,,-0.002782026588082772,,,,-0.02831286827967387,,-0.04166708926359656,0.07914637957053762
IL36G,,,,,,,,,-0.016478489768286055,,,,,,,,,
RTN4,0.015199037481902307,-0.003420601856336266,0.029075619630494643,-0.012872949718102891,0.03469997375843443,-0.08674162672136661,0.0118974785914761,0.02972691221761134,-0.010029436838655289,-0.060011451076816616,0.12644927444009707,-0.055727597360264614,-0.005900123011557915,0.005155435584307241,0.03897259806659842,0.04473283370698679,0.008950511839158936,-0.10623833984959336
HEBP1,-0.05016046180290374,-0.005140578989424543,0.05066231024559379,0.00807648865707309,0.017431378018175302,0.014389103220863734,0.025763897772601865,-0.012425852788354204,-0.05584687192811786,0.06391765511921538,0.05715825043732058,-0.03600721813990425,-0.016308105175712722,-0.021492809922181205,0.030562477845342446,-0.042655458095469015,0.03576023661741023,-0.003000230791760457
WNT7B,-0.03691632357556629,-0.04358031860178012,-0.0077441219765519214,0.02116912530208844,0.06782561977910621,-0.04498180737345658,-0.016890627762887654,,-0.018111759259568674,0.014073881537093916,,-0.03925395442743904,0.09058288770808252,0.06407506760434611,-0.03270124661091308,-0.002217075000281264,-0.03678474093449572,0.024694187523376352
PTMA,-0.0424598999255246,-0.02032246964649862,-0.008108908939967064,0.03310445462816858,0.03777491032141014,0.1279024186161463,0.015096884483370116,-0.004105918618598111,0.0019430237544195196,0.014347526184504496,-0.1560539419800276,-0.09997226214617223,0.002720695632474486,0.019839391896394207,0.06650601067790361,0.04740406871875247,-0.07801711825776567,0.019868881691232645
FASLG,,,,,,,,,,,,,,,,,-0.021423641053496326,
CEACAM1,,0.03491396783631059,-0.017018618794050273,0.06658061340371091,-0.014122259450180284,,,,,0.11371744527369586,-0.043854784041677565,0.046348791725859775,0.0022526165244563137,0.030976136793318967,-0.040682635814434945,0.12453506059595766,-0.01555743698736024,
PDAP1,0.040635840588253216,0.002778401619332059,-0.03273016316474986,-0.004295779684559896,0.02577625213265641,0.00174105893457008,0.027260928518805815,0.028936727526380084,-0.01321291280226967,-0.02006264651167792,0.04102715264339213,-0.038172007452916004,-0.011361666751230532,0.009004719845874597,-0.033009490337067515,-0.012237487025304685,0.0027821908830830827,0.06270130280560478
QDPR,-0.060449764100612244,-0.03916973893515478,-0.03417228366166709,-0.005944816337047421,0.0027007555119759738,-0.059513171887849735,0.0687133159443396,0.00361473326386727,0.003293769493367633,-0.017450259099215756,-0.02833877937344855,-0.032469552369572156,0.05802422890546729,0.03671299239921482,0.03815870026437325,-0.05037746359887452,0.07183719138583086,-0.01542693025338853
POMC,0.09191388030915168,0.021857443097822313,-0.008886268360884115,0.006024672472273618,-0.02841732553460163,-0.04439738495168178,0.016556106276540195,0.004803818029998112,-0.0052852603948976935,-0.026273698164059386,-0.05496607955048232,0.05855666626003413,0.04190139014103732,0.023121656428336235,-0.012545347416174664,-0.030773520311905847,-0.014331986057702433,0.026718968627921346
CCL18,0.056193088071800026,0.16958539900808114,,,,,,0.040778035532546955,,-0.03815060945993713,,-0.02495991353031896,0.002583622840276227,0.04022678985081283,,0.00912764756600599,,
