,UKF243,UKF248,UKF255,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.041781577292501954,,,,,,,,-0.03821691171926643,
BMP1,0.12941978112420435,0.0030083100579370936,0.046494570427447916,-0.05308174001231978,0.15925427424858363,0.12101931280852604,-0.001684259728638482,0.03051890666779404,0.012321397347708861,0.05118609474652932,0.06503193047241417,0.057752571005053474,0.03438391242562065,0.1519997466932568
NDP,-0.0474572414966393,0.030883666158449966,0.07352160665819898,-0.012583083282048957,0.0049467220841350875,0.08782231187362245,0.12807622710091607,-0.09778186487394043,0.024080450818842223,0.07472469430188418,0.11877297609749267,0.008064971952420383,0.11081482418467699,0.05283948377292184
TNFSF18,0.036914685782532757,-0.02788413987505187,,,0.14674808961136313,,-0.0252577245950281,,0.005550155907662186,,,,0.0484082396599102,0.07032779653322507
RTN4,-0.06084577802247369,0.007939754765931402,-0.000727522656182563,-0.06250462701801672,-0.15747923537592948,-0.028881770054452936,-0.001055746841844077,0.012511695519341668,-0.01435626154778774,0.09313748517092803,-0.005760207485279797,-0.012968585725453197,-0.020231468085907457,-0.25212121633295553
HEBP1,0.056196137863001726,0.03535591762399068,0.02891928385939263,0.04903030366276934,0.09861421065228618,-0.06330700522165163,0.060877577744331494,0.04994496249929601,0.021814874350966216,0.060848566186705096,0.09859208010945879,0.04448001548062504,0.11368534834782555,0.0780637605297526
WNT7B,-0.08343808318915164,-0.02308677675412521,0.08385609697339379,-0.030909553394387126,-0.0604493879007925,0.00785958006777646,-0.027806289488564614,-0.025718303134324057,,-0.06769973466552631,0.0021158119489298947,-0.02630354974619848,0.08386487843328223,0.022426529215652212
PTMA,-0.0022062733448245816,-0.023557419340012434,-0.05303917779512641,-0.03171985815085123,-0.15582552222680804,0.061996542277434584,-0.022577384359718376,-0.023305370971718045,-0.006611251954254876,0.013338766509817768,-0.07167023570504881,-0.02120337266899417,-0.13726683734033437,0.09519811630948441
FASLG,,,,,,,,,,,,,0.03624177593861086,
CEACAM1,,-0.0278310075159904,,-0.045138614780407225,0.04353793764859398,,,-0.013645766738697133,-0.06408404772745725,-0.04392719339890163,0.03373723612362284,-0.009423846072297124,0.03623862516370581,
PDAP1,-0.03465311256398406,-0.049457871208080255,0.03491169716017288,0.025145837173648395,0.10891949491022962,0.061634323559301755,0.05643222562611297,-0.18404757933936833,0.04369781443253925,0.13497162886976297,0.030573810672921725,-0.023347719004659342,0.06969333664528449,0.0262518046212192
QDPR,0.0187497461649616,-0.045518378835319624,-4.660747469098359e-05,0.007874876031337292,-0.21052263300634902,0.07350749744857053,0.04490653970810275,-0.03515350779673804,-0.0011566276995835696,0.032017760031891294,0.037428017359965565,0.07098629864848713,0.11705040392794701,-0.20193312445047037
POMC,-0.05767629124171829,0.05046657072756205,,0.0424852849912339,0.018761834334159722,0.018499086998781406,0.08923533423336566,0.012408260969032971,-0.08003438683100898,0.08469599605998393,0.052382854974398284,0.0669364823024581,0.0748283675589783,0.0720122976538906
CCL18,0.010537604349553411,-0.034730467794285756,,,,0.01102360908742363,,-0.046925071567346474,,0.029905893465128067,0.08813489954261233,0.011391760991789759,,
CCL17,,,,-0.008764602912383042,,,,,,-0.042795391218862985,0.07391032116234465,,0.0583289128094684,
VEGFD,0.015161879004870859,0.11853146757009705,,-0.03274381813501096,-0.008347562484966594,-0.03014917848716281,,-0.05286633846921793,-0.07117239472471523,,0.0036732576533553742,,,
TNFSF13,,0.10787311691131234,,0.03762752480374215,,,,,,0.024096471895610632,0.08073758068378557,-0.027537205099022338,-0.036027957313398605,0.07964777213061806
WNT5A,0.03696652186663813,0.03396149612351023,0.036949509473732794,-0.012881112916347453,0.12595087695159415,0.04186661454647629,0.058093906017749254,-0.018251094664081813,-0.05820321185443329,-0.0030923326749119034,0.07895885509715898,0.04322823391817679,0.049447283194856216,0.11984802591971117
CXCL8,0.14535347174084287,0.0548721743978716,-0.04465610783229415,0.04691905478599887,0.11257105652423656,0.023273066942269043,,0.08284019146759633,-0.046863252055712394,-0.07062425894959447,-0.037901204052195374,0.014901774518696823,0.020036773258936758,0.09368528637769225
