,UKF248,UKF251,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.018835951737618768,,,,,-0.016603069796319224,,,0.10267651503844065,
BMP1,-0.017705242786435878,-0.04405119880898277,-0.019322770356440675,0.0407629867204813,0.029011800761520684,0.04935637432133391,-0.07756750295565869,-0.005854887771696841,-0.019636864150677738,-0.04009261545510209,0.007467777588866743,0.10673696051353812,0.09067788423380253
NDP,-0.004729305949032549,-0.03873993217546161,0.09845400542551426,0.00784371969441783,-0.025371651664398844,0.046159657128203045,-0.011157273083806131,0.07827468846558328,-0.061391533434351706,0.018081097324677116,-0.11780227128279705,-0.021679285236276165,-0.058181821724319474
TNFSF18,0.022968405217842356,0.013243355580079245,-0.013463317488501426,0.11397653603948583,-0.015563756552388558,0.04859196295085858,,,-0.01712245281955207,,-0.03551432534353975,0.014970289668335884,0.01883589223858618
RTN4,0.00957176172799234,0.049974577226599315,0.008031878615945608,-0.035114617068691456,0.0027181655058991453,0.03633028616159815,0.0012348660002757693,0.004097735966975115,0.11544345726666318,0.0639770744974387,-0.005839430839247933,-0.0003864279805103206,-0.05406336218383951
HEBP1,0.035583869702490625,-0.02962771577552476,-0.04963958044203916,-0.03749974108903134,-0.034233318835335105,0.01594521246708847,0.012040677781035625,-0.013682277699200161,-0.05141036985371403,-0.01327478053387006,0.025506371230046575,0.017079491242503353,-0.029941314092159336
WNT7B,-0.0033539563588350237,-0.018628564235715756,0.06926872971101972,-0.04741156476968586,0.0011658961184443037,,-0.05011063897815613,0.04030875971024712,-0.035804434016073874,0.04500353058596177,-0.006633817124152018,0.013918118308013257,0.029471489313877504
PTMA,0.010259647090575842,0.01601996041541229,-0.003120110171521852,-0.06343069797014046,0.0009616628382570063,-0.09894034268837434,0.013748353503157975,-0.03542724616175775,0.02606297487996192,-0.027208129145665536,0.04266757043227099,0.0006271665698957842,0.08462356370943083
FASLG,,,,,,,,,,,,0.029847352646450553,
CEACAM1,-0.017332503079847284,-0.014296302618219332,,-0.015423630510702047,-0.02447808124034631,-0.029222894136514767,0.06743854706396907,0.06061005669533203,-0.02460317709342677,-0.03203453195513661,,-0.007894553083516437,
