,ZH881T1,ZH916T1,ZH916inf
IGFL3,,0.05109161205443143,
BMP1,-0.1009057927226509,0.053639943488101166,0.028306905434814098
NDP,-0.033495631756231,0.027634400193942074,0.01808451996453731
TNFSF18,,0.015001602500447431,
RTN4,0.05653943828827774,0.04863426334886403,0.009372377195415246
HEBP1,-0.03252366679339668,0.022473253417436993,-0.04732827364431923
WNT7B,0.012816162793874004,-0.05667741239196234,-0.04256280537400505
PTMA,0.016044391464133584,0.05924519301163264,0.028076861425876887
FASLG,,-0.023030331110120834,
CEACAM1,0.06002412422426988,-0.03204332319979005,
PDAP1,-0.0795577721844625,0.014440425534134667,0.02956798595785043
QDPR,-0.008437960827145126,0.01600514047842885,0.06373113643983475
POMC,-0.03723064580017262,-0.0241972869675297,-0.06372690435853778
CCL18,-0.011434212655683397,,
CCL17,,-0.0208744083933106,
TNFSF13,-0.025556770918505396,-0.03401310616082488,
WNT5A,-0.0007826339683223222,0.01866732825028538,-0.07118306735501499
CXCL8,0.02944183324252681,0.08029573012325072,0.07237633894927249
GRN,-0.04435283020583602,0.05375111667259659,-0.012257649663305894
MIA,0.03579605576692664,-0.022889220286616534,
COL4A4,-0.045867142271185435,-0.046062214200135954,
TAC1,0.0009896142065282051,-0.027441532432192595,0.006628641324012888
RARRES2,0.012626813826625704,0.06846686801034647,-0.07410238669603209
FGF7,0.020744364124743914,0.013724299470627024,0.005600038046945007
HBEGF,0.015901768986020824,0.07420283001993423,-0.06637296569127416
CSF3,-0.020295550859866472,0.015712084110937566,
PI3,0.0819203325835595,0.11051402016223484,
PCSK1N,0.03988434846670235,-0.002780295545110863,0.01923025901621179
NTS,-0.06341778163872741,0.006637495198289816,
SFRP1,0.007566479584280876,-0.03178944742537774,0.03746058720168024
CXCL13,0.051108042209097426,,
MICA,-0.009282743866260261,-0.002731377108783981,-0.06328518376906385
TG,-0.026853392979116354,-0.022721945841227945,
ADA,-0.06290967279038961,-0.03301054086070389,-0.05967291344803107
