,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,0.006859946003876714,,,,,,,,-0.017771228792480855
BMP1,-0.009883056569877617,0.02957961732384423,-0.013798033300288007,-0.06412486432352954,0.0813010103310578,0.14748307472405411,0.0077036297157373765,-0.008133587449787472,-0.0017891428053130884,-0.05817340608671478,-0.0821202454021767,-0.02266439033242553,0.019768930340390595,-0.05611748925264029
NDP,0.020595258847450126,0.015770176654708354,-0.017193183368215303,0.012785892481368738,-0.006396549275396569,0.02564833193408543,0.027705086411791167,0.018666489224253662,0.0033725159978412666,-0.015029747225331944,-0.0908598671776917,0.007523960283729959,0.06904961787809494,-0.0597377619992309
TNFSF18,-0.026440677417662244,-0.024921963039354567,,,0.016948223793377428,0.05525608304230438,-0.018156244563265454,,,,-0.017723270633950718,,,-0.01832715457307641
RTN4,0.007113074218768593,-0.04379272439625227,0.003735983516570501,-0.06999978419406633,-0.014721885099709633,-0.1384331229035871,0.007057296490575825,-0.051246065567788844,-0.02933706003457513,-0.05008879517853528,-0.032771635365342104,-0.01654592855501819,0.010712920560459758,0.06931298371935828
HEBP1,0.014357992892211647,0.011609087516148003,0.010585912622673064,0.03235822526241888,0.06618273983238243,0.0704046573434987,0.037037677085702395,-0.003541992896796449,0.12222739170812616,0.07799400948464275,0.046886446526391554,0.03218332062591058,0.007898299078235275,-0.006768130212481738
WNT7B,-0.032450873149732364,0.06720462170934717,-0.030400212531904447,0.06704628288798996,0.03529255977429553,-0.03571898602092274,0.008595402475696734,0.0128991679226606,,0.006000839271669162,,0.0004139092488643915,0.011825895058619302,-0.03832356284052925
PTMA,0.020977975405970458,0.002425659849516659,0.06615493359213018,0.10376098496730692,0.02270356736297423,-0.0028677232066494484,-0.015550926701826276,-0.04390939439206032,0.056409304300542154,-0.08141098213497146,0.017275065044540683,-0.07478805908236558,-0.03689503228409699,0.040051451746819504
CEACAM1,0.005900192994450539,-0.01188054520374727,-0.00249784883420415,-0.014777320781550952,,0.0660959334727651,-0.008512960039700092,,,0.041766090451149734,-0.028749528798633125,-0.020334241488373463,-0.016893070866904305,-0.02633420774067586
PDAP1,-0.051784091277860655,-0.006364558346331789,-0.04318294954159489,0.015733929435045528,0.05490234118299865,0.04727851989514085,-0.05196114374715147,-0.038528142540980616,0.10612127420773387,0.045461937417115336,0.1490304000521877,-0.06460195939526549,-0.05933145634686951,0.01666849646352731
QDPR,0.007781793880240822,-0.012142811243417833,0.0386971282864611,-0.021345231886365806,0.01890231813414032,-0.08955331488921146,-0.003588402564446246,-0.0191424162190253,0.07204659338190915,0.05153352574108202,0.04080266170498963,0.08638654757048923,0.029267498887396142,0.010684526915972851
POMC,0.001561643683378625,-0.021109833374016493,-0.03268983128631697,-0.029735463837070805,0.004612256773958018,-0.019102738033672722,0.04419340038219905,-0.010698569021174774,-0.024943525384107795,0.0038023633002285265,0.09099892430052253,-0.0021110211842692264,0.07399290378410386,-0.03493758377508292
CCL18,-0.005822599334385504,,,,,,,,0.1147776506483969,-0.04089328238022735,,-0.01458453454791274,0.07186065313051766,
CCL17,,,0.008735443648072043,,,,-0.02264437188262999,-0.014510831726957042,,,,-0.014426160131047628,-0.024386208333802093,-0.023430338607515384
VEGFD,-0.028863563635731945,-0.017016497418114625,0.02936607783539144,-0.014138103859097145,,0.0159134476042653,-0.024125662953617268,-0.01064387055738605,0.03151207019928641,0.0013876633964956728,-0.039084354389517906,,-0.016893070866904305,-0.024711775472878193
TNFSF13,-0.006296018404592019,,-0.014034519004776957,,-0.012024540985810009,,,,,,,0.06490334218779241,-0.02650697472090541,0.0169590773627752
WNT5A,0.02865611513273949,0.05082625413481412,-0.007786475408786696,0.007442639448868245,0.025336808656544686,0.10195453829359208,0.029620678035380002,0.053047282475241944,-0.003377324597141122,-0.01992054156220518,-0.08570915584605479,0.013576490869698622,0.01304102386377971,-0.010140412348814359
CXCL8,-0.031609075139988445,-0.01593323958235448,0.0768280958092679,-0.04277630474840149,-0.017104129650739996,0.11712473322581565,0.009766685551739117,-0.009912035073916,0.002953712820341367,-0.0032079355098234993,0.01812342118335724,-0.05197041797090114,-0.05805350385824603,0.030836342076757534
GRN,0.013540207315436351,0.07779803603184562,0.026313262133279905,-0.0037840602293209742,0.007770234112108558,0.11687855361304088,0.047305056539332375,0.0509490100214555,-0.010505144816972407,0.04866395089588315,-0.03400649559815812,0.0032880557249695785,0.04518307692724907,-0.06598714293273271
MIA,-0.03011506061774093,-0.015133282791960998,0.0069051492337741825,0.12414188102922301,0.04573171780782242,-0.0402636874907775,0.029595150284056206,0.034391139981856125,,0.01917475231021821,0.00122134622707913,0.1008702647161436,0.016928232910233973,-0.019693276661318676
COL4A4,-0.023848778429604804,-0.025449674260243024,0.015658409986634526,0.06494626921285981,0.0518483546285502,-0.02485197313801271,0.0004361377600469829,-0.020335708092142007,,,-0.030603819223312935,-0.015768536778399674,0.14102066757416867,-0.036092542632849174
TAC1,0.025988165254816096,-0.017031954157703,-0.004063574064954753,-0.06821015210193389,-0.0322489740651349,-0.12392775767042903,0.014971973313005798,0.03458349541754649,0.0003167168052204453,,,,,
RARRES2,-0.01474294724820079,0.04738117935725473,0.016523959880509437,0.03601456689485966,0.0026022633027752507,0.059611025741752796,-0.009954349881712198,0.03758575128531488,0.09834673066592149,0.03457229583836487,-0.06241671388421748,0.002039543032514389,-0.021876486981643017,0.04196748357686017
FGF7,,-0.019206263821692084,-0.0047862701088192475,-0.02707035713408205,0.1518688502204496,0.013903972197696663,-0.03744164262096714,0.004570262102757467,0.006865597408709294,-0.03459862422867836,-0.0968750061728043,0.08109028501590114,0.01223957061129677,-0.05001051575257974
EFNA2,,,,,,,,,,,,,-0.01605573332270715,
HBEGF,0.04190787818743878,0.060454329948915586,0.027096204394746685,-0.01257114717223526,0.019826973698400994,0.04414598400239053,0.02661828789133981,-0.015646745936061992,0.06578831921061586,-0.09327370773326567,0.09556685721321811,0.01743904720973626,0.05026431542809651,0.029629386549580937
CSF3,,,-0.0009292958228338701,-0.04710443648436542,,-0.0262929092389336,,,,,,0.002407000739546733,0.007341695688757403,
PI3,-0.03036567624074097,,-0.020566228565633435,-0.043370005844215784,,-0.0028626146510738804,,,,0.002695591543326754,,-0.06470333268248783,-0.017158619153481585,0.05657586784928124
PCSK1N,-0.03369602967647962,0.02332782797161652,-0.02294027081406642,-0.012132080568163109,0.0051253134353363055,0.005774127481371807,0.06587953898166193,-0.061519839128755985,-0.04395064620550266,-0.03117639065849577,-0.03703644544691053,0.026387292278441908,-0.012497970176871823,0.017843640287615217
NTS,,,,0.062268858245750576,0.06746543954017341,-0.019580451142400715,-0.016427373965960283,0.03898902418864419,-0.018120718657493,,,-0.03365472987780869,-0.019560864262791276,
SFRP1,-0.02242233920589867,0.052344648607017014,0.014942202901687315,-0.016129128111250647,0.023966301502334315,0.03446505728223132,0.015925397684332675,-0.014510831873093037,0.08503707028274989,0.08378477096523876,0.023315694081657432,0.07729977333238905,-0.031229758134922164,0.031411522321513514
CXCL13,,-0.02872817757283193,,0.09999723341691724,,,,,,,,-0.03240411343158252,-0.0314782183464186,
