,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,0.03549865556826595,,,,,,,,0.06438234392802976,,,0.07880319761107145,
BMP1,0.07134534049864857,0.04086399819906163,-0.01652022475135167,-0.06299625597323127,0.016203397388936395,0.00772411333484302,-0.015869756725239367,0.045418150579045774,-0.010003747440105976,0.11106225800906794,-0.014222361972180258,0.02058357280257712,-0.05867842953514725,-0.038599388451931844,0.03534733022202556,0.07406468160447299,0.07066481168049557,-0.01409583127002251
NDP,0.0015174640499563234,-0.055137125689660234,0.010144210289959963,0.036017172737036765,0.003325926497818687,0.03884053446875279,0.04512849951607232,0.02554090175580018,0.014484739323461174,-0.07728948415528725,0.04664329825176351,0.03409106588021355,0.06595476325630445,0.002358296138362728,-0.03899149358941626,0.06797225093724689,0.08350976931905345,-0.03177103686123403
TNFSF18,-0.016790569542778546,-0.012770728178697604,,,0.03973633361284987,-0.030532237925649516,-0.01588254220315409,,,0.060287892016021076,-0.05071180123631157,,,-0.0236927853295859,,0.06707161183699581,-0.02078861812554439,0.018252071660001198
IL36G,,,,,,,,,-0.015082908077056293,,,,,,,,,
RTN4,0.05123543347874982,-0.056699201636240294,0.0018991882989328743,0.011119499522618743,-0.01975086869830289,-0.040707757096841796,0.049610459464112605,-0.027731850434316294,0.04535423404775597,-0.0062731423141808035,0.014602498104764055,0.07758167020585874,-0.0017227777754153211,-0.04002363395862478,0.02663168945182682,0.030081957465990603,-0.01822893858482579,0.03746596728636523
HEBP1,-0.013925959514250354,-0.013858884372901375,0.025195596104510214,0.03968201267887105,-0.023142476932838784,0.06193947889166352,-0.035504536500036946,-0.0060729565593116005,0.029273530602096375,-0.041625696017378165,0.07403512108414767,0.060329688618517265,0.03826674625559848,-0.015068197829869791,0.02008247409668382,-0.05567232261482446,0.025175074076287485,-0.020110206623573483
WNT7B,0.015988991063854364,-0.015709239525174813,-0.02697617800253322,0.057648866878733634,0.0737328663806552,-0.032749191304226453,-0.031971233683247786,0.07030483064730549,0.10557061096508756,0.05155520565179911,,-0.014923365654912823,-0.021672827815359615,0.012859429161142884,0.013043914910213941,0.061670122296159154,0.05612890931711339,-0.01228363312214198
PTMA,-0.05739683446037622,0.04535205366371151,0.03280511565922327,-0.06667303144654536,-0.015085298345977922,-0.014188180360555537,0.013320709578739081,0.005067753475413817,-0.00017613318490283363,-0.0326908572369914,0.021102689113194274,-0.005321345814010652,-0.0289983577935002,-0.02438683639234893,0.0514428866580429,-0.008628778309469438,-0.024213415054859258,-0.01046547421018
FASLG,,,,,,,,,,,,,,,,,-0.0244228528043518,
CEACAM1,0.14105652865589338,-0.012055896488437145,-0.031149751641487713,-0.0004876495840325855,,0.008156452117958372,-0.024979455123407844,,,,0.06711127902754987,0.010269683987551816,-0.025676707481679852,0.104055521184633,-0.03383765948393851,,0.016510668953186505,
PDAP1,-0.014969019230498233,0.02393619651488141,-0.004177443102091149,0.019928714348875425,-0.038494916373792,0.019095358761568617,-0.01338004625690172,0.010052670960810143,0.021177185432560596,-0.023603972639852217,-0.07009528617059811,0.001113413438129976,-0.0007154789054744033,0.003084064107040635,-0.029559801098605266,0.01335174741523343,0.012903064873662577,0.04125787094346782
QDPR,0.005506990809027038,-0.006435927266788737,-0.0008308507151989233,0.06641159294474042,0.013142249623926293,-0.031111564146033763,0.08094452397666205,-0.0646287291561283,0.01925157091253022,0.07811898125607429,-0.038300563693779544,0.04511611715132838,0.026664054967616438,-0.047465205326204074,-0.05889252158619303,-0.09292383045952918,0.07646922630297066,0.07163306902795981
POMC,0.032316119613235966,-0.021421404630910947,0.05635255878567088,-0.03910709637978128,-0.01168503383298019,-0.01956714956480729,0.011759594833687954,-0.020359909296176804,0.013219736842675979,-0.015307190389429381,0.004850720388228491,0.00390653645939838,-0.017721253863866228,-0.013794084192682297,0.038178237340522184,,0.06832325024673196,0.02338786580887007
CCL18,-0.02906277824845889,,,,,,,,,,,-0.019624697217620612,-0.0033239138807153222,,-0.026009774953228797,,,
CCL17,,,-0.018054781324662213,,,,-0.019808622363318866,0.05214475801415008,-0.013778664732006046,,,-0.022212021194936496,-0.0029445169653607374,0.03457509262774587,,,-0.022136572901624935,
VEGFD,0.04148918642334849,0.0012436807452830263,-0.020115020180128562,-0.018593965551523567,,0.009557601215857633,0.030153464432440463,-0.012229759350939189,-0.01476702176451373,,0.028067816143308052,,0.05404814655759465,-0.015039612010612484,,,,
TNFSF13,-0.021931712049714076,,-0.012453784079814163,,0.04230141269530916,,,,,,,-0.0011040913243706904,0.0039031934307558786,0.031978891011497604,-0.037997423714737355,,0.010858172031849932,0.039804362461525675
WNT5A,0.02990351833568203,0.01834897155652947,-0.0008860334358278082,-0.017510366628283536,0.02514939884414406,0.020114974441309323,0.02097535703634268,0.06946146726055383,0.006262468440872141,0.04204882609307254,0.021362676256592564,0.0600458756037222,0.0036421494056642716,-0.06556523004037015,0.04878268006691343,0.02887553685220848,0.06566283016504326,-0.07647223705265556
CXCL8,0.008194792549301737,-0.016168406738585335,-0.006464881800445379,-0.056627173028676106,-0.009934010221311738,0.04759072104995316,-0.04467524499532654,-0.011388883675209913,0.018354369130377468,,-0.028158386362387166,-0.09090983793909513,-0.07700243872173451,-0.043005233718920316,0.03588030230426429,0.13966978957684678,-0.03692770913034933,-0.059897653160971
