,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.018973589600326565,,,,,,,-0.02619474632878853,,-0.017760865047736246
BMP1,0.09013547863681552,0.03728551414048055,0.08222928265093879,0.014050057643400924,0.021439045031244112,0.02053757418435031,0.062534122086189,0.027120043096476757,-0.04663204307886819,0.12488657501419169,-0.033256884561606595,0.06112020867134346,-0.02449583221220873,0.010646368317648808,-0.04184152885757228,0.03397850835798576,0.018736044509771375
NDP,0.06663538745237947,0.05143028373404022,0.02303830824020191,-0.00775454651085791,-0.013083984935170268,-0.035652559759582224,-0.04027795304526917,0.016677239327639124,0.04715291473951133,0.04289075141321363,-0.017298279989920177,0.011605071944690102,0.052727159160793936,0.020097362536003832,0.02058585814337163,0.014301108239971005,0.0039071878162075255
TNFSF18,0.04579326345033333,-0.023606118723376153,0.062088999005525,0.00789864073332933,,,0.0022042154307232702,-0.014673769444825806,-0.011674764661574738,,,0.009590406033213693,,,-0.008323625084214262,,0.0408056497096625
IL36G,,,,,,,,,,,-0.014714570897985722,,,,,,
RTN4,0.0519756860723463,-0.03349838214970744,0.008177160393822677,0.04810724170402638,0.005643008929288601,0.004310652267853521,-0.13538584119662242,-0.051497449309117996,-0.011985811437660518,-0.0442138406488315,0.07474996753177619,0.0011663001819803697,-0.019053749174610966,-0.041884459802125816,0.06577338127524787,-0.0353045912892455,0.051327106991915956
HEBP1,0.0213154442532965,0.017671627746025743,-9.82194856823646e-05,-0.04611141117667162,0.0021662047450485113,-0.013967503658227208,0.03751731673795682,0.021689265477932703,0.007375701560817478,0.05623498023801449,-0.002921043570227024,-0.02748526872961834,-0.01481807200009424,0.03676250768473353,0.036764211202336756,0.060675707870052234,-0.013633684591773054
WNT7B,0.08263015666714757,-0.05509694350993811,-0.001958584681240449,0.02430879329032161,-0.01454030890004159,0.029906300048884737,0.0008939471571965366,-0.0570288406907842,0.04679741789440484,,-0.016173009144629415,,-0.04254488147252064,0.005827555062696806,0.017112833744466892,-0.013038047603721752,0.03732793090650891
PTMA,0.09643868810889697,0.02120183159736475,-0.04031016952655585,-0.017021423857431467,-0.0018964574488640619,0.03579008265856984,0.1651515198390716,0.0018730155431300052,-0.012170253633332977,0.11514637862474608,-0.006535046496418102,-0.0245805786064257,-0.07257235385967566,-0.03636716712889296,-0.019298199189337728,0.04751681648717078,-0.06030108869651588
FASLG,0.03288537514703983,,,,,,,,,,,,,,,,-0.015403992196694976
CEACAM1,0.10300184080578804,,0.012304079729330496,-0.0029493183245233087,-0.009197099262153844,0.04771614447312153,,-0.03707697287506548,-0.01836162348633581,,,-0.03605282355633979,-0.023839995482033145,0.05871840128969922,-0.010409412683097379,-0.01777927452544476,-0.02143239270706045
PDAP1,-0.01958074877575785,0.025101095617080373,0.0443700449736651,0.06186918865977744,0.007721161310216998,0.03889968489628989,0.033052924057562064,0.05160569285202081,-0.0049138988771824845,0.04700725697700822,-0.03742841640206364,0.16391367547530003,-0.018124366195476162,0.0017558273818706308,-0.03494464213333791,-0.02899421782685699,-0.016982255473315506
QDPR,0.08688353384508407,0.026443264322876473,0.00152428969956603,0.05004643244796743,0.013540713049663445,-0.036881059891205235,-0.05601084595718658,-0.029829275007641657,-0.04085646000915935,0.11297039878423029,0.03601894089170128,0.023728964605432296,0.088227732679712,0.09441548022375801,-0.04454628258566067,0.006934738167459884,-0.03159004796917764
