,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.01995907297158132,,,,,,,,,,0.006637580779058293,0.135555056532733,,
BMP1,-0.062203726907770075,0.07981586191468623,-0.07671787925133479,0.04726863887422443,0.09991537079506048,0.01193459183447892,-0.046166381167359924,0.036180210246133125,0.07903747729129482,0.01747665909918114,0.026651927778010728,0.040154237931841745,0.03388468485205336,0.008011359807317982,0.026585531710066165,0.0725488483438103,0.0043694404309812815,-0.013001062372933818,0.015775718621480524,0.045137259600075946,0.10657655862912369,-0.09444172521872679
NDP,0.033393159425853455,0.10452618462172954,0.015218428712185886,0.026002790663089165,-0.074173113891603,-0.001444886481076263,0.013472122630276648,-0.02330182437996918,0.05830153934923612,0.005576761661398098,-0.006516967907866437,0.09844562297304736,-0.0010212717046279504,-0.06299910501460355,0.07300409099718863,-0.0059092800311093705,0.049674740319417494,-0.015283085217623772,0.045236717526124015,-0.01140341064318389,0.059781244746219354,0.048598483270011615
TNFSF18,0.16454915748621904,0.09311146193052461,-0.026820959211301874,0.001816915678248851,,,,0.022503861067380337,0.026852198905842253,-0.003394440502555636,,,,,,0.09541490095437119,,,0.033895065134961294,-0.029435300605953993,-0.014517444127166558,
IL36G,,,,,,,,,,,,,,-0.011519067205920858,,,,,,,,
RTN4,0.06728902716868002,-0.02632646236710287,0.016263327696699102,-0.03989483609724542,-0.029572150364672926,0.012093582228484914,0.008864787868058955,-0.009795053253183321,-0.08981954194021849,-0.010375595178062063,-0.029707972296285315,-0.08719130671924742,0.01098128806562357,-0.012517140247267165,0.023472597589293744,0.027766792230381566,-0.09960761226826537,0.015707381476492567,-0.0015057670501422077,0.09820569948780818,-0.010406601818846936,-0.025874503942776735
HEBP1,0.011551960850695974,0.11206315447019322,-0.04064745754994092,-0.02302883976058511,0.05354086963443173,0.01988693511394606,-0.008673730993222549,-0.029618053490906075,0.07289153155356214,-0.04887424638665636,-0.004742439267158801,0.06037031931624439,-0.002811198465156835,-0.011707024703864706,0.013112729700949885,0.06683907305531034,0.058878058787961346,0.02755085169656435,-0.04285127206803306,0.05455893045485906,0.03653486100338449,-0.004346955045713565
WNT7B,-0.01794569055709095,-0.04550920282583309,-0.03215416163718945,-0.004844163075720117,-0.03528709995976852,0.005394277686471356,0.017812393285023525,-0.011692620884260718,-0.10712217272184116,-0.009570795940165208,-0.012040395559979605,,0.003100537802738049,-0.015205323289953535,0.05737376525095779,,-0.04426105341800017,-0.018382501055455594,0.07418145379378777,0.05432039329703022,0.13318544736365792,0.049380119713009006
PTMA,0.05505721182293916,-0.098716594699086,-0.04820007471244098,-0.029075107138949646,0.051652965091882636,0.02899356781808686,-0.023320194634297436,0.016222534944768312,-0.004710738269694857,0.043880113064913566,0.04914664878048479,0.14060806121502867,0.051023914097050566,0.020023331861367597,0.0874735476579664,-0.02603581160636134,-0.10785035637782228,-0.034490010334554747,-0.028180170804008104,-0.03639224413007961,-0.030999145144794318,0.011330773063684118
FASLG,0.11110037038748356,,,,,,,,,,,,,,,,,,,-0.008409258727191747,,
CEACAM1,-0.024917755437774906,,-0.027557966578070543,0.06419159752915082,,-0.01240868268966621,0.09621121155386475,,0.05599528520614217,-0.030669721343146057,,,,,-0.014368310324023522,0.05592096499859846,-0.03969402164996819,-0.018489876361412767,0.007455371278290726,0.09094327896025944,,
PDAP1,-0.07782992859456923,-0.04668724446361771,0.05797051306331621,-0.00407712424684937,0.019439413524811995,-0.044220361546093115,-0.016111213783256202,-0.03310659784104234,0.10298485833769351,0.029246419132137363,0.033312177960464,0.030977721656257638,0.02428360598692445,-0.005187571226744574,-0.028446944923846453,0.014684254440532984,0.06423751560856082,-0.042797634205874076,-0.042143973926991374,-0.008610362692505385,-0.033540352514767134,-0.08646382510568563
QDPR,0.08555620279151949,0.06617994698722772,0.0519934740616979,0.0505103146038292,0.05786030424005183,-0.03189738821277319,0.006095848155303871,-0.01142603631541814,-0.04834652160983378,0.0038050611544010954,-0.0034964196184618258,0.1413906815642116,-0.01817538051352021,-0.03035807177394411,0.03122789888886166,0.01217119533927134,-0.06411100687077957,0.001185432663306019,-0.06532384546854408,-0.004175836683492224,-0.027300901275814537,0.11025075027627333
POMC,0.06148033456478753,-0.00882903925948459,-0.002776432938635102,0.016577377992091254,,0.02976741980870465,0.03510179066209087,0.01582441971907607,0.021112465238577727,-0.02751345378832286,-0.034948168250121175,0.014744224892146034,0.09838442153351579,-0.039736289742897966,-0.0379157614377335,-0.021237414684568575,-0.020612391575448398,0.058757861282123146,-0.026390757108797454,0.04368953884492964,-0.03191001096381252,-0.0413894285762291
CCL18,,-0.008932203457800499,0.016552919774630106,,,,,,,,,0.08807545272981576,0.04716654856126151,,0.05992198294307438,,-0.028143713982147905,-0.03383624693357611,,,,
CCL17,,,,,,0.004853388658584394,,,,0.067240616804132,0.0008930387031121637,,,-0.022867277419734332,,,,-0.01311767234325047,0.0395439943990147,-0.022470349819905276,,
VEGFD,,0.00834758374094026,0.007977392039130223,0.0021862994724818614,,0.009525966441777183,0.08112039012085957,,0.04239335915614193,-0.013164217499940834,0.014498666596339036,0.005801114528537813,0.02810235250183911,0.01636525143087958,-0.040364403317408065,-0.02454968544452115,,,0.03634956332596293,,,
TNFSF13,,,-0.02595160847451882,,,-0.01966077673455601,,0.02367976862548536,,,,,,,,,,0.010968680530790512,0.04397223789377238,-0.03661355950764253,0.02801995629749579,
WNT5A,-0.042457314535428406,0.019321887715073413,0.03771207953596272,-0.06756029264099883,0.09286348279726123,-0.014820041699238217,0.02579762967662745,0.0031533591929587246,0.08845097402450523,0.04217747629450042,-0.004707974842091543,0.006907951493985428,0.06725223204941794,-0.01250278454397766,0.07842546350767472,-0.07213891411829945,0.07785687236348598,0.024062755783195205,0.05702486614661042,0.004690357939257652,-0.017159665067047466,-0.055419366758308386
CXCL8,,-0.0387129218807576,0.025272731389804317,-0.021221800820209583,-0.014926214982917836,-0.0027987991328529546,-0.008203284627810163,0.037474701816421645,0.005290145088657073,0.012918734520737876,-0.032307709388871016,-0.028754498298439787,0.059777390576916195,0.019563689554478646,-0.07231674238460664,-0.050213194207040304,-0.034772637877846256,0.026537964096021122,-0.00724025071432797,0.0005706080299355251,-0.007283407010300524,0.08240939434992406
GRN,0.02522661083494684,0.02375614487435248,-0.019782623252136314,0.0015566293100076724,-0.007147623184626022,0.033117455728890216,-0.05619662476106641,0.005687421088459904,0.11724796638565786,-0.011440262902675734,0.024653928149018615,0.08037008485937985,0.041370632313924786,0.029113091214348498,0.10541825332114345,0.02072087743613986,0.05660691116158717,0.02785330667593169,0.0045499927622650775,-0.009008277064568644,0.0028624451686761723,-0.07082710814389612
MIA,0.05426952678887196,0.014703633252378579,-0.007574674890307444,0.022561213935171447,-0.023915803988367623,0.010592876629680318,-0.030071157394753,0.083596817140211,-0.014676585955478274,-0.015087596710692338,0.060496971257435014,,-0.023045662461980605,-0.0335642395340346,0.055618694407965234,-0.03797677098498578,0.02091693231114861,0.04468003999941107,-0.013055256026792467,0.02365595828094206,0.03942728967543823,
COL4A4,0.002451399061290297,0.05591242563339455,-0.024897738258286516,0.018017531646790073,0.023711824761390252,0.028380787585144188,0.01977133204623214,-0.016763911129270042,0.0650093278034836,-0.009967599634589054,0.040488414921829065,,,-0.032558557551038994,,-0.06812209699813641,-0.03558244806894029,0.019572173530781545,0.02089017545965495,-0.04570447181587691,0.05514599300461107,
TAC1,-0.017945685866777104,-0.06603134407801062,-0.07164463991331499,0.04253218163645852,-0.005506903297779798,0.009101796174924048,0.035847331258116844,-0.033116195028434194,-0.10015392472527601,0.0036300901120102295,-0.022627896365504382,-0.08755800590969157,,-0.05770057790876929,,,,,,0.013658454321848968,0.006173914848007944,-0.0038774867302864297
RARRES2,-0.09269094062751215,-0.05049228827610125,0.041695423430496675,0.021392778843235687,-0.028920917711009676,0.08089439672466514,0.031367718299140826,0.06944097971307085,0.11070161978434928,0.04492994771593513,-0.027563467401901232,-0.003046486535324583,0.00876527699319855,0.03773374494828925,-0.02354191861908197,0.011746820402314824,0.08501626915104221,0.027898052144551475,0.03616297563099136,-0.05988400196769278,0.04898175992872556,0.03722836141799306
FGF7,0.048184515229208004,0.0034780328961324055,,-0.034669714550348694,0.044321526605861784,-0.03527217808662588,0.0413460673202342,-0.03239290518499768,0.028771260939362043,0.018719335623153244,0.007327067506848215,0.008080585198687734,0.06282522492283146,0.01647696810849609,0.030426805945995793,0.03764430787149023,0.004260645576837369,0.04690783152647209,-0.0014830436652929606,0.049271872285661114,-0.022459778555312546,-0.10935972961969975
HBEGF,0.070099846089533,0.06489908471202618,-0.003487001363739737,-0.009006819784594056,-0.010029988799358578,-0.018077104499299057,-0.06511223386841015,0.0056956211308522055,0.03965889299297595,-0.0011891001766524858,-0.02349417584354908,0.031965402591388775,0.003750163144423482,0.024174670229195925,0.09001639997819713,-0.004622482732064716,0.14164390954158942,0.01498029011570068,0.05766938672469318,0.03166063117077213,0.03953524653409008,0.08206392518017447
CSF3,,0.007969777853108513,,,-0.025047405437912958,-0.035573603157029364,0.008734441848702573,,-0.00031457725986228454,,,,0.16244803158695845,,,,,-0.004847760001424381,,-0.023657811899758376,0.0660064831050073,
PI3,,0.009596737762827365,-0.03617945483556296,,0.015665803681159142,-0.06930047753010776,-0.03388134606152538,,-0.00879268706618006,,,,,,-0.014781178308755905,,,-0.018059382170791016,-0.04107576214679642,0.03905983807388765,-0.049341675773393684,
