,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.034442158126242885,,,,,,,,,,
BMP1,-0.019364045944074426,-0.033332725863106615,0.08059792482664886,0.07116228542929677,0.014414962768389845,-0.08560674926703189,0.11925960966708905,-0.27253808641085575,-0.04559022858862069,-0.01773194556675554,-0.11280877695163284,-0.18221233026166037,-0.15557746408189288,-0.09277684061901857,-0.16633854524979627,-0.041327955158006136,-0.08552498975317932,-0.002240784882510795
NDP,0.0159193191915355,-0.039599446824874665,0.029588788689039473,0.010533002601481668,0.02364573041002253,0.15746584876256264,0.04967500339292703,-0.13958016889589656,0.02778908565008236,0.028152511406731633,-0.07300298982494338,-0.0235832954322285,0.09610755266150979,0.10401861002382037,0.14548696832233554,0.017301024386377387,0.014056228054462366,0.03301551042751426
TNFSF18,0.10751094825717696,-0.025285670636330408,0.005892398787379949,,,,0.00187853738113687,-0.051145570835549506,-0.02540484386999441,,,,,,,-0.04767351002109613,-0.07966416652599155,
IL36G,,,,,,,,,,,,-0.030705113088422047,,,,,,
RTN4,0.08370501553343498,0.22412256127360605,0.1286414079478602,0.030297063831071655,0.026286939173703238,0.2214106258195768,-0.10227792088329116,0.3288170232805879,0.10609919921993151,0.15372325524134378,0.33789770157677,0.2720550533154257,0.09207113807672287,0.0076544955852456895,0.17138486288090723,0.08309148371276738,0.2374056847389276,0.005609981604819993
HEBP1,-0.02119408168709153,-0.037120958653461,-0.0021200931416290748,-0.011347656812627555,-0.0655794373818539,0.025155912063302054,-0.018775510214307192,-0.15151673829586948,0.024064999013338806,-0.036398948576927354,-0.1095026284991072,0.04353777608544346,0.07088459932974647,0.03996201828957028,0.059566200193167565,0.09546893212526947,0.0406567305235617,0.023807638125602847
WNT7B,0.08655765629550971,0.2578012166505623,0.017182914078476223,-0.017723099510847922,0.02128694210223194,0.038210166114135795,0.02448279100152449,0.2565889428239464,0.020569536777605285,0.05700994700208711,,0.11530333427076343,0.04902478188978595,0.07396330102725927,-0.011106721141302935,-0.04767346058724746,-0.023688592496271477,0.14838090665923964
PTMA,0.026483187666841743,-0.012195356585547929,0.08550816310257933,0.20700754741153657,-0.05538997164007886,-0.12825175573485229,0.16723222427136591,-0.010176018907376828,0.001163861289872342,-0.14012690292872007,-0.37574505122981733,-0.29592448745976785,0.021041807232890834,-0.00036915133963738393,-0.0641849309179818,-0.0348286816108523,-0.05876594170822503,-0.15224841963554267
FASLG,0.05048361915533778,,,,,,,,,,,,,,,,,
