,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.029443561965797158,,,,,,,,,,0.07642344752748477,
BMP1,-0.020126847531918336,0.059731321541101105,-0.07277357702680652,0.1021343162672809,-0.0903809444193786,-0.0005063732508192833,-0.006033200308125096,0.1839049819748248,-0.07909545337207631,0.05613993653422679,-0.09013148186251886,0.12335442315643985,0.10519896644639609,-0.005269173919045123,0.07448533723129222
NDP,-0.0014241108483419352,-0.019340952935342565,0.018332918187513886,0.018559868148285242,0.02274762855551505,0.05387257986400844,-0.0821718278572824,0.11814882620816719,-0.03654310425422528,0.06242213324471384,-0.00375278232941957,0.11802956520908103,0.10244152383922342,0.09785466938209153,0.03405747595544056
TNFSF18,-0.035173575319853344,,-0.004428486955636237,0.0744305411685851,0.020554771767809413,,,,,-0.03451443704204344,,-0.008981158171120905,,0.08601456439087572,-0.014769764602238108
IL36G,,,,,,,,,-0.01631018189597467,,,,,,
RTN4,-0.003499987794358352,-0.028944479672506813,0.15688277186188965,-0.1543275523546852,0.022115623786436618,-0.22904122618581485,0.01634815313247502,-0.08111421473231202,0.10484199881718,0.08745074951745314,-0.02025523714148338,0.06314799627805234,-0.036293580756976834,-0.045904549824568625,-0.007919087097901152
HEBP1,-0.0033948864494248807,-0.022278820532826375,-0.06745945922497638,0.07046069717152688,0.016964968218056545,0.00834077550130759,-0.07069999463049542,0.02807368862928077,-0.026446706466320642,-0.048460106301622445,0.07624981503600012,0.03427524709058672,-0.015964438236823978,0.1354228666041662,0.020888630160324995
WNT7B,0.01757089525282246,-0.022423415378701413,0.11877710701022126,-0.03391064670126156,-0.027973390151107235,-0.09392562700891843,,0.04018461159383692,0.05867234264783499,-0.018431102241676628,-0.002006714148895822,,-0.021209058344242082,-0.00452704913405165,-0.022706193466124097
PTMA,0.002180909456386263,0.05972315554671204,-0.19002726216486146,-0.07680770654174006,0.08625313830662824,0.08162790215244717,-0.03384956088247837,0.12046097307506913,-0.13689814642914047,0.04777738869628727,0.010076288455646842,-0.07586237922981816,-0.21829081484763466,-0.045475347415364714,-0.06115973493348792
FASLG,,,,,,,,,,,,,,-0.024791103564611738,
CEACAM1,-0.0006815424699883729,-0.025892616067957192,,0.13663807480312837,0.059764200405366175,,,,,,-0.07123068262882622,-0.02482620232296845,0.12091669774738835,0.014381700697567721,
PDAP1,-0.0071071346026551985,-0.037771345326140106,-0.04591709381719732,0.11638146860609021,0.02227789290035153,-0.008544472148660824,-0.06988625177318582,0.10331030022852657,-0.06791057842058383,0.036809641771459546,-0.026139496099234404,0.06569888631609042,0.04748747317124008,0.003170254519849837,-0.03457066300911191
QDPR,0.01845127939120512,0.01709251617920229,0.06556423391928194,-0.16628346631005528,0.07362500607340136,-0.03619784999094015,0.012567237973420875,0.07765186904669148,-0.025940998100376814,-0.02840737594139691,-0.11353144825227733,-0.015380043753752109,-0.25929891720029,0.036140568678871554,0.0017175303179372229
POMC,0.04067508239092794,0.013900786211822292,0.03266677338500469,-0.009339005075999515,0.027014207068117142,0.034491024518323796,-0.03422266756139298,-0.020575699587399243,0.04889000542419395,0.03942158036149025,-0.0363818091686372,-0.04879393174630569,0.043638757378891814,0.043506421058074854,0.021493208900217255
CCL18,-0.0220690363776,,,,,,0.0506621664645648,0.056563868397078096,,,-0.07430359746275585,,-0.06387566752425862,,
CCL17,,0.06454146747415239,,,0.026860119084603774,0.05615683562507745,,,-0.01489981420787989,,,,,-0.022470350854015508,
VEGFD,-0.039991723888014565,-0.016720213397451188,,0.055918973876846745,0.07628064998864208,-0.016419184281320248,0.06667087955460131,0.0013721939865635928,-0.015968592383548006,,-0.007629624523643057,-0.004630566784300438,,,
TNFSF13,0.02617727250761575,-0.01035196214349223,0.06644285831648547,,,,,,,,,,,-0.02484136594922997,0.06859716459595618
WNT5A,-0.00524146555774207,-0.0008319456952047366,-0.0809892405022461,0.11079195175327002,0.057024799234856934,0.11212456556686368,-0.00712328015249439,0.05101313379300344,-0.005699361975530225,0.08120855897415993,0.03895058490765365,0.003498866893940867,0.14371734774795242,-0.028092682785767497,0.0016189653442287327
