,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.024348677238312154,,,,,,,,,0.0674581748788179,,,-0.01619049091325293,,
BMP1,0.000647212743404538,0.03111428930252275,0.038726733233272366,0.032337367817607446,0.07506817277374411,0.13737787173023983,-0.07245547158827413,-0.11613285456717119,0.03506779955152559,-0.10587586393029702,-0.06664326942653873,0.12046670509051363,-0.060292798713599806,0.09423413984576602,-0.03562891955580755,-0.01587921624725929,-0.024349644503468534,0.03769341686007578,0.006553937636867631,-0.009514788197229403,-0.013343909830432231
NDP,-0.01962697476041177,-0.05848869450270983,0.021157474474771065,0.0579872088698463,0.07977536387913277,-0.012282787532942863,0.056553225631931416,0.05291894760048909,0.0075840133934549385,-0.031198831216558875,-0.04129255374234345,0.04841767195999842,-0.05478654343405117,0.09546572571819684,-0.017879992500429667,-0.03148296444491629,0.01609173067508332,0.04396855178323079,0.009578696803737099,0.0797285248692989,-0.014385854292777781
TNFSF18,-0.024830499023525597,0.007428156538315903,,,,-0.011711589127912694,0.005329122772335576,-0.023677541546927628,,,,-0.03394626160516776,-0.02947662914644821,,,0.034858928318604106,,0.07131379048195878,-0.02731046360800258,-0.048925371345261405,
IL36G,,,,,,,,,,,0.00044109447285996776,,,,,,,,,,
RTN4,0.002501715482587681,-0.03169846056425072,0.0276700403418009,-0.0013034061164355916,0.04682183134960115,-0.1660803967627034,0.07087752373651522,-0.009502059206626381,-0.09004050196412301,0.23739440293222638,0.07572687008106344,0.11699124464030139,-0.01737558026773272,-0.1477472466925443,-0.00771486146214838,0.03854973137204244,-0.00854984170656769,0.03385613075009395,-0.014383175334694614,0.15633022594034623,0.019553102953614048
HEBP1,0.02794304220707465,-0.042672579076953265,0.026061519577452508,0.0103894592951637,0.024633132461248305,0.08059810939200994,-0.04835421837136697,0.02105269716779994,0.04306232453282867,-0.07782233029424415,-0.04961043301058394,0.11813623622972337,-0.07565396195163049,-0.01677000997143695,0.015105908372296665,-0.011474049226148917,-0.011901741844910805,0.06544863902660249,0.04329091574050459,0.03907639739324929,-0.029720031040979727
WNT7B,0.018904131790340686,-0.024005141197673545,-0.01946238452238972,-0.014920129216599772,0.057047651469480536,0.0046933107187275116,-0.0037299925256025555,-0.026043273109769227,-0.04615647328660097,,0.05461401706192308,0.06050258918489243,,-0.021881085359323885,0.0035907358593039317,0.08163185732991018,-0.0015362956332303265,-0.03862775421687017,-0.03455723809024875,0.08303436822041518,0.08635980172826675
PTMA,-0.030320407732485958,-0.0030697468314278865,0.1288430538806776,-0.019941015287588876,-0.038003729287265836,0.23081125920982093,0.035948266737680624,0.08892038229261562,0.061336109153723666,-0.27786233618500306,-0.1123113333838966,0.09058116493356412,0.03584074860465261,-0.1993903520072045,0.004813279968502107,0.04733334994482489,0.015460316022371598,-0.04436257979240769,0.02227394455768313,-0.006568572942974277,-0.10647244901831904
FASLG,,,,,,,,,,,,,,,,,,,-0.014042007245598478,,
CEACAM1,-0.01580393213134017,-0.03128117786467774,,-0.02557503271360276,0.04032708416212186,,-0.04758062467489471,0.002267725892886518,,,,,-0.02690185977571647,0.0018149068178737033,0.08152080762051912,0.0053685704707358405,0.02080053753390418,,-0.01953739068678744,,
PDAP1,-0.009275726224587623,0.03222404830784218,0.023149425062144832,0.013982394462326093,-0.017459047598262552,0.10830843672355278,-0.06170680551043226,-0.048155186820225446,0.04972108655181379,0.02084283893589675,-0.06461562672304656,0.02240935687477793,-0.014985503938498373,0.02594345127344224,-0.030559888601496527,-0.027218520759858245,0.012979133900820707,-0.010817643584255134,0.03821258347543639,-0.059412764809433506,0.03566268011765439
QDPR,0.003885081526314658,-0.031012936496589795,0.07980075467925857,0.07402184928600006,0.1319402079840108,-0.049954016238698565,0.044205835357742425,0.07813486264387302,0.016721388763071828,-0.06968209991155787,0.04633177388457408,-0.030491876112781487,0.003883482604348088,-0.24932701806743945,-0.05775012805745726,-0.007198685608593926,-0.039423934657501825,-0.04746335239489315,-0.033267455934753276,0.1285940812298896,0.1371136417316782
POMC,0.0258163101266563,-0.018325655556309852,,0.010834693496788717,0.0030479142515317382,0.039127324174321056,0.021148410820046412,0.02583731702690961,0.0032806349884860154,-0.06300646272404961,0.0637397932924891,0.08310037722051812,0.035142774936199876,-0.0100432190936935,-0.03811212669812461,0.041428490976435105,0.059077349397072265,,-0.00981855803403525,0.05483290587393052,0.055075434338565425
CCL18,-0.019721814080759674,,,,,,,,,-0.10738121427685329,,,,-0.051328419506484396,0.013217925678973744,,-0.027222065923304235,,,,
CCL17,,,,-0.008841255331785655,,,,0.018637431259628936,0.021409280436850683,,-0.024098765310431886,,,,-0.023485118443737227,0.014059000297913522,,,-0.012727502375232297,,
