,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.16712452225863011,,,,,,,0.00040475705031432617,,0.010239424927232468,
BMP1,0.06334362256183784,-0.007805544421472042,-0.03048199807677472,0.03171019207102643,0.006513844479234254,0.02089121124637136,0.05965822374505427,0.05739933758867766,0.06289882799799146,0.04171443259683738,0.11754925190593062,0.15390381485772262,-0.09067575295152906,-0.015167944690224687,-0.02885642526948489,0.006097295279216853,0.086500198807211,0.008582292263016912
NDP,0.11281853828990693,0.09135980925864666,-0.023620340754540153,0.08500317437243314,0.001896012817151757,0.03342652757952262,-0.035092997722974105,0.04238206910038938,-0.06447780561274587,0.04710069889850808,0.06627875474282575,-0.023507713838355242,-0.011873115919137055,0.07699578124890775,0.05646620042248302,0.02572585798583961,0.001385530917776017,-0.04926912771588365
TNFSF18,0.040831422435872275,-0.0001037674425852357,0.01548586986744621,,,,-0.012582394267413612,0.014072351088056781,-0.02547474089725718,,,,,,-0.022940968945981174,,-0.0197011149902172,-0.03618261791351583
IL36G,,,,,,,,,,0.008095278784974158,,,,,,,,
RTN4,-0.10691086335176063,-0.011556210906600363,0.012312207344156105,0.07933235283199892,0.049771624476048375,0.020527926213702107,-0.08665743451742292,-0.08626138621253716,-0.014743528688561621,0.0196564298610322,0.022780646508445256,-0.009060368208455948,-0.018344817664897876,-0.017981300842972513,0.05030277314273287,0.09770265505398282,0.02325115233765465,-0.045489774723934145
HEBP1,0.04140571303823533,0.023359763826692508,-0.007859344863397316,0.11164019723789533,-0.01394698141246728,0.046783498692265474,0.07339166266952535,0.012409198758258877,0.025118197526334114,0.004214354626851289,-0.000953930972371604,0.008608475193094916,0.03258495962412101,0.03507268015307079,0.061660951999716884,-0.0031482506187087895,0.042912898840302395,-0.016274263168974887
WNT7B,-0.024559171280546438,-0.033790843580627804,-0.0054614077364522505,0.026498167474403807,0.004508403469988953,0.01836744981372096,-0.028838448539117253,-0.08640626635541371,-0.0215524901483609,-0.024320114247075936,0.052710815389880136,-0.0007933357942872857,0.06097412918488047,-0.042886286640385025,-0.015852813320366598,-0.031441506903840094,-0.035418281918857646,0.004426709928449138
PTMA,-0.1459873702520059,0.08711613703627402,0.008796450150033726,0.09979114777141794,-0.018080712179283982,0.041635052533458144,0.0970795199253752,-0.027108410153725514,-0.07629585258637588,0.05888523725045573,0.06256506542492248,-0.022685284842491556,-0.03741962377689652,0.04046904002525969,0.11461052126622204,0.06579688741851425,-0.035192057705605226,0.03476539535508671
FASLG,,,,,,,,,,,,,,,,,-0.00036623018112651504,
CEACAM1,,-0.015178122385663144,-0.016377436086338026,,0.01145254587222804,0.038073661286588546,,0.018522579829002773,0.003991589922677311,,0.023971009851478455,0.0904955863480612,0.03571786060885246,-0.020776409252711597,-0.017260519428325,-0.020868185407936682,-0.029225824088129106,
PDAP1,0.0027551575290456357,-0.018469502646853462,-0.0004854911876758148,-0.021802339763054335,0.0022539592256760822,0.040453344025170423,-0.0005508874839079496,0.11461555484472748,0.024767875040767044,-0.011995071540935346,-0.008582802378852498,0.028378518070408455,0.014116312447878107,-0.005949253538211346,-0.001731300497527057,0.04765055977342341,0.01700429900997308,-0.005279810012618139
QDPR,0.013553294231941623,0.015169188215035519,-0.0354610654631803,0.07623420835868683,0.012114115222433778,0.001581989447536169,-0.037349287127682596,-0.02470924349563374,-0.04263133307772861,0.08098587190326133,0.01958090939760626,-0.02345683540306614,0.027316076044719497,-0.007116584139076292,0.08506530294950655,-0.04230730290129969,0.09191941309866444,0.004246867820479702
POMC,0.02355386057819589,0.017559348842287055,0.0391898853703508,,0.04222234368623147,0.04584435513712092,0.013000146651556563,0.024325015252348103,-0.019997515259615,-0.02588014776870577,0.059590243768101354,0.01495796588913911,0.054189652072188586,0.0357926029662771,0.015726862849607174,0.011481326115058478,0.04424674973521395,0.12048123976480835
CCL18,-0.0881143595482784,-0.013826091197473758,,,,,,,,,0.13219980579083918,0.005131285411757461,-0.01681512672945782,0.10026917313439088,,-0.03874496647042947,,
