,UKF251,UKF259,UKF260,UKF296,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.014307571910630331,0.10488669007647901,
BMP1,0.04750281716675148,0.017375395823603604,0.0350155756570513,0.017146758845864984,0.04597447832881311,-0.0367289003552699,1.4028804469739766e-05,0.023507051727245997,0.017637290845759494,0.03656515186791685,-0.017523277616799844,0.03489328118400518
NDP,0.008649583054770297,0.0023355796236348182,-0.06464770066806211,0.003194285776361839,-0.05827185621586925,-0.08374116099526255,0.06955415916136701,0.08816585213017987,0.045143482597019044,0.013485108856676895,0.18567073700541267,0.0806128064915219
TNFSF18,-0.014448353090318564,,,,-0.02562518763780405,0.05474021752469627,,,,0.049740967059467386,0.05630423726233393,0.024372139073953733
RTN4,-0.0655461058714412,-0.040197782699324,-0.10552273932396385,-0.08620011363744076,-0.11975875039137503,-0.0858466092772264,-0.046655251226442034,-0.04500742510123231,0.019166343770435256,-0.06348855877642168,-0.051695023900407984,-0.10498135071168083
HEBP1,0.007746700032526811,0.03938072368138338,-0.017222379937344996,-0.011443447142116325,0.020953769143174584,0.026576949591539122,-0.048200128605347066,-0.04896111771735636,0.030191170383389487,-0.040170604477447885,0.12461623381645527,0.035197901241475656
WNT7B,-0.017018619659303135,0.019752117871869097,0.04768128669067184,-0.002573433991287627,-0.028210830432280034,,0.11380399672809,-0.02256358535147337,0.03245086672408951,0.03442658925791072,-0.06210001243015322,0.08914594480504127
PTMA,-0.015040855986943847,-0.029079359668959193,0.027160109285082553,0.08274655093782728,-0.034061855081378205,0.14047479961902917,-0.038987866636023744,-0.10714854863127606,-0.06368510644219344,-0.09689859654271094,-0.14458963336526265,-0.014041694346474202
FASLG,,,,,,,,,,,-8.045749613587043e-05,
CEACAM1,-0.013060766987468593,0.005427045680360438,-0.020405119900013886,,,-0.029222833750988213,0.051406797762311954,-0.019823715515179637,-0.015399746388770199,0.0446792568351667,0.08677726448015935,
PDAP1,0.06515846874726582,0.015341506727219255,-0.05210182876048816,0.024611381898314418,-0.10447819815136182,-0.06185909050329499,-0.0350587026496015,0.018198902774017565,0.025976978286898007,0.08149987311241808,-8.650865983743876e-05,-0.09326112001531596
QDPR,0.03700368710579768,0.004597327458649852,0.002830996555064502,-0.021075114521794416,-0.011291474361652742,0.052090354166890986,-0.09586667180562233,-0.07806917801110223,0.01758005446525738,-0.0593056629246858,0.0507717584087249,-0.04399263561361485
POMC,0.004000538135863242,-0.0009175288397408284,-0.021336339118966943,-0.02694785507875705,-0.04156666443872154,-0.07644880777214078,0.032681647405854754,0.03354467095259844,0.043594939437255946,0.07685162359788134,0.019628249213423606,0.030575100791701122
CCL18,,,,,,,-0.024231823776860145,0.013435561226383117,-0.013092309347528436,,,
CCL17,,0.02173015136080778,,-0.009021472214985714,,,,-0.014063966663218295,-0.022230500699550158,-0.0336805083775652,-0.01122276054144416,
VEGFD,-0.018706928336147077,-0.02757567405625806,0.11269158098619673,-0.021310205377677412,,0.16703373326572596,,,-0.015399746388770199,-0.03552254087236361,,
TNFSF13,,-0.0002874541350881788,,,,,,-0.026986639586514233,-0.024163794223772756,-0.007781802801774614,0.03623183105902635,0.005066329874433598
WNT5A,0.0015548122416139925,0.010899757068964308,0.005517538344069952,0.030366213858353436,0.05921931115691381,-0.003697007614268488,-0.004793180460419561,0.014283249721222649,0.038596249218907336,-0.025674110692647904,-0.017915822837713462,0.05941516817467104
CXCL8,0.05858048349097571,-0.002250187091962369,-0.007828355482006843,0.045502404489803756,,-0.005418418245878727,-0.04266394089584463,0.039181948686223246,-0.01799768447315275,-0.04781898006340873,-0.011854335961531178,0.03244182943542285
GRN,-0.03406232729522554,0.0338941824404732,0.023975437706151494,0.00022356081006092866,0.0773633380827482,-0.10387966664866813,0.038571583586554624,0.05886966376665058,0.049424062542413764,0.05424325033109187,-0.07010724966382388,-0.014168304678432402
MIA,-0.01663663383385207,0.007016876937317459,-0.0009633201611955708,-0.026412740934373242,0.10715297259446127,-0.001098062063241023,0.03126896735471068,-0.005610110275946892,-0.019161930956069145,0.14320007574415997,0.07352900361709598,0.09535835623598274
COL4A4,-0.027977862944805816,0.005726739873537448,0.05467422572555396,-0.016615538523947974,,0.09354374936053717,-0.007305638619509768,0.03890817490129311,0.041425454282233785,-0.05188210059087203,-0.014641702956014415,0.03878384893048666
TAC1,-0.010281564708632913,0.0024872841535292884,-0.0360090696528815,-0.015374240324280003,,,,,,,-0.012155860176121436,-0.04592359381599834
RARRES2,-0.06348804527981661,0.05793652078431485,-0.020466128478060022,0.04042584427124805,-0.015767091766980844,0.01428961649662642,0.024268634054935644,0.01777830726510487,0.010727126790937522,0.05060978401808869,0.0699550240191833,-0.019973660830740148
FGF7,0.08594346811206634,0.024416979968982584,-0.037379839770871254,0.045222510824090886,-0.03611116748013024,-0.0360490823659299,0.007931481628707469,0.018696566445045235,0.04769571552880928,0.030387322369355173,0.0789372853465161,0.07232831580639888
EFNA2,,,,,,,,,-0.014636428344109985,,,
HBEGF,-0.017152914750950654,-0.014523125161632561,0.010499184173741401,0.006151819490590581,0.010995983018093245,0.015358233776287727,0.005168524832517122,-0.01630603565283061,-0.007126261207550334,0.015506126578266726,-0.09163064862655891,0.061541216215882176
CSF3,,-0.01945991138619899,-0.04642256015228485,,,,,0.05363700076909481,-0.040301953743788456,,-0.028696932858306937,0.04243130204529071
PI3,,0.020828553421034793,-0.05367421146148593,,,,,0.0460157209277916,0.005618790023529295,-0.010724591817986687,-0.04817237831196901,-0.030132943328563214
PCSK1N,0.0626425297367376,-0.05657483711570764,0.02577409420210825,-0.08468987588562514,0.020072556060764937,0.05061885212808605,-0.07282087746576645,-0.016363784904718393,-0.012481678281806576,0.027395145042252416,0.1273693946274038,-0.07836393146262012
NTS,,,0.10631264667113476,-0.002593540166077353,,,,-0.03280977022031334,-0.017831710478542828,,0.07289298277882243,
