,UKF269,UKF296,UKF334,ZH8812bulk,ZH916T1
IGFL3,0.09071248003506575,,,-0.021494340840629095,0.006420493747892187
BMP1,0.11040414163854992,0.01111700273174041,0.04739263829461261,0.0016438843175365764,-0.01571220841106313
NDP,0.036079871219330185,-0.048194053649210006,-0.005217260390223168,0.019643431625416905,0.03175294876370316
TNFSF18,0.05947096737528459,,,0.0009555449752822771,0.06823233232852212
IL36G,,,-0.018234106100350648,,
RTN4,-0.15154243091506658,-0.012520008798591319,-0.011111079557800734,0.01894056435240405,-0.015813486722215605
HEBP1,0.0744445676358882,-0.046231748418147006,-0.03350230432035909,-0.03252969535675874,0.048063878723334647
WNT7B,-0.006394923871373385,-0.01333340202912025,0.09594192994383002,-0.01339212296773395,0.0538196987599884
PTMA,-0.04155197405341685,0.04952524778811884,0.060711418133153304,0.030240163017697927,-0.025490405195520364
FASLG,,,,,-0.015026691267533821
CEACAM1,0.05456706322814927,,,0.0622591995696034,-0.020907433879552368
PDAP1,0.08723722045454634,0.016898568828264113,0.0653740678421946,-0.0072624850283778165,0.002454774328691535
QDPR,-0.16336114946610483,-0.04866126392447256,-0.017010005633749537,-0.07068999725799333,0.013446713971187081
POMC,0.013554487383377615,0.04392047884644264,-0.03906676775558324,0.07537548723294542,0.02396222327775684
CCL17,,0.05371969861124639,0.06601239154153563,0.044983666459045474,-0.013620007841782583
VEGFD,0.02318210884854766,-0.012105160337205614,-0.01785222320952329,-0.029888947522631718,
TNFSF13,,,,-0.013075705481615492,-0.022192665962321306
WNT5A,0.11303562104254977,0.045088208888557794,0.013713100448873727,-0.03363902032316977,0.015196651124454383
CXCL8,0.019184839354905166,-0.011272851655875975,-0.020053529919672117,-0.014629240559042285,-0.012803486803819333
GRN,0.10364363473394025,0.015826995252740658,-0.012331684737839415,0.023333044412485265,0.002459902507145018
MIA,0.03546926119379973,-0.01376707056054181,0.018312293949948377,-0.019621409719336624,0.09650498660101096
COL4A4,-0.01758575504859614,0.029308823486782452,0.004995651780349776,0.02791480461224746,-0.03999768140131366
TAC1,-0.0801509930930787,-0.0653178642694023,-0.04203124249870984,,-0.01790488524871283
RARRES2,0.08472766971256683,0.007218921874827775,0.007405446055567528,-0.04849297254451193,0.007605327424464111
FGF7,0.0066300556632891096,-0.01783755844650109,-0.0272847396277005,0.006096301378370862,0.1106348333289047
HBEGF,0.040548025003159696,0.02912273007309493,-0.0030292679579079097,-0.027935099474547552,0.016344641186590927
CSF3,-0.018605390357661993,,,,-0.014339767123193133
PI3,-0.020949915107300075,,,-0.024078642231477026,-0.00454861739459141
PCSK1N,-0.045673488791293224,0.060658239963204214,-0.007115708231295556,-0.002290536509095994,0.012771423455435464
NTS,-0.02286826281736528,0.05771403126690729,,,-0.021235239721345646
SFRP1,0.019970465197857105,-0.016503014152885655,0.011180406464880051,0.013713519824327128,-0.020741786548467173
MICA,0.0006146102734103618,0.021852742790987246,0.11662239664179444,0.07003009485569163,-0.031102520929846236
TG,0.06295806347399892,-0.011943159555827977,0.04288375913205355,,-0.027965281091529116
ADA,0.10231003242748636,-0.01939665158819539,0.05960865061208675,0.04530973733405261,-0.011094322399413032
LAMC3,0.10887018208951932,0.002906968295396476,0.045116074841445065,0.03949636805557354,-0.013239286198931815
CCL7,,,,,0.1782493112681862
NGF,,,,,-0.02540378996678817
TNFSF15,,,,,0.03947330713333254
HMGB1,0.14288868312538547,-0.03446645187171178,0.024111185705506497,-0.04622664493521088,0.01789638183671168
ITGB3BP,0.08801384307735148,0.05972540876462768,0.026117860791644597,-0.004171621383802356,0.06366060652058722
AANAT,-0.01678256560020706,0.027128282365315386,0.022974913981236293,-0.020025344362798483,-0.015898860353360744
RELN,0.028962845432297095,0.0036295109145999577,-0.024737039238724647,0.007517636696419791,
IL15,0.0010671993184427936,0.01324454098868808,-0.02072328081918237,-0.03192609381867163,0.058276697230324755
UTS2,0.08897969465820889,,,,
BSG,0.005301984719878132,-0.004461340037010654,0.0061685812121642074,0.046525063421324404,0.0482909854163299
ADAMTS3,0.12132507415481414,-0.023673408141084828,-0.034435404441282076,0.05834121752659162,0.09426625076160108
CD34,0.10203590284804392,-0.025757816646715843,-0.03387202594496174,-6.490190754271159e-05,-0.003677890498327983
CCL23,0.12337091436057775,,,,
PLAT,0.13641398708200633,-0.022475613507829936,0.03519414072876964,0.07908615768710167,0.005289695124226185
NTF3,,-0.022223337317779562,,,
LTA,,,0.15539460815791242,,-0.021397470019863734
CKLF,0.1390274097228515,0.016492886098922376,0.02376655683562293,-0.0224454388644909,0.055706494587860464
CD24,0.0637820244181295,-0.018231757448858858,0.02879300854776319,-0.017699487315637186,0.06160515540618277
HSP90AA1,-0.0931201936548807,-0.025879314512258438,-0.03574660405142289,0.02533439710834179,-0.04568870851035295
BMP4,0.007328679350021907,-0.020678949632859617,0.06022367138625519,0.09908548512697712,0.05263959969668173
SCGB3A1,,-0.011612659315184754,-0.014460433086700688,,0.021236859247052355
IGFBP4,0.1281941914437543,-0.044154429983826626,0.004394505488416842,0.01632643327876366,-0.007392624974789596
RSPO4,,-0.011612657616570632,-0.005251717508843726,,-0.02822102313452036
LEFTY2,0.19997034780270279,-0.012733421102492896,0.07018202120372546,0.008981300816684383,-0.031189185265553886
PF4,,,,,-0.02139746506833046
ANGPTL2,0.09560039624994124,0.032389632447909565,0.028597544101251867,0.036442558006485486,0.04389689612459128
LRIG2,0.08165387549907796,-0.04557041454044059,0.021639873175177286,-0.006775392352050888,0.018866171335789092
ICOSLG,0.08634842710539192,0.0035490870630708556,0.002778167313384389,0.03795087040925219,0.030989038993652317
WIF1,-0.054389253994961834,-0.02185261728863955,-0.05956125544180927,,
NPPC,-0.019936956111206716,-0.01613875222307932,0.0262893960688169,-0.03325648936974476,
LYZ,0.12284726914249317,0.01185572154565799,-0.03236812319943394,0.011456870468244878,-0.01777074327006781
EREG,,,,,0.07036261007101302
SPTAN1,-0.07532405962287779,-0.010453894300762455,0.05191700295677037,-0.013701009571351036,0.01609377377258517
LIPC,0.02087178924169068,,0.021536347396210652,0.0268885862080389,-0.027054494738178798
COL8A1,0.01562786072972569,0.07011179931388199,0.06476264280238934,0.06109115426667074,-7.832279867310389e-05
GSTM2,-0.05505961296044016,-0.034323249297006156,-0.0174726985113741,-0.05876099070080279,0.03631617604112591
SPX,-0.04472283512553784,0.0114575474760731,-0.01867667465887064,0.03381841542183407,0.04580124917071573
MFGE8,0.043132463272011694,0.046601221274660515,0.05629700684479963,-0.019972092229594413,0.009930973936994974
TGFA,0.04336351034253316,0.016222652562649927,0.006230323837634143,-0.04649380111184167,-0.0032405807032254807
SLIT2,-0.03506441887435204,-0.02121163558027571,-0.017386685155950814,0.02311314601460576,-0.00753503293874647
PLTP,0.0673789011556822,0.039050630345835655,0.02212481829572903,-0.022866550510657804,-0.04118159089515963
APOD,0.07196968137792749,0.051178390303376134,0.03454739164487924,0.04055847358322402,-0.03364727049058282
B2M,0.1711931699191469,-0.01209317502734677,0.006305306607613405,0.052981629447065186,-0.012125857406164819
OMG,-0.01106781432110904,0.02258181104393348,-0.007831906445444526,-0.04458218717651353,0.026749516852957966
CXCL3,-0.0049382255838807095,-0.012423089004626117,-0.014924516736197335,0.017124288589750652,0.01513812776572607
CXCL10,0.14273343488017953,-0.01887158146503974,-0.02371686322541956,0.027969088269744154,-0.03661010994685841
RSPO3,-0.027557862600608104,-0.030167031627459106,-0.015595832347442594,,-0.015249147888027396
CORT,-0.03963819362583993,-0.008508706108618265,-0.03299133778232179,,
NCAN,0.05623965061511393,-0.026458630598041065,0.05971960397000868,0.04067087205023942,0.06906446060611562
PRG4,-0.023872596121898477,,0.0003769781616669522,,0.013007811471161536
ZG16B,-0.025774303821773075,,,,0.06996921388584702
TGM2,0.05579663910932141,0.006642022667634628,-0.013479069862016368,0.0550368155916907,-0.008514390854976444
VEGFC,-0.03147451912706918,-0.013566125252104365,-0.018608632084384902,0.06152362494646196,-0.03250446658572477
WNT6,0.010672959553564025,,-0.016240674404526416,,-0.022963368742247418
NRG4,0.02204481982968654,-0.05554075966293221,-0.021709139822490606,0.05280432517442326,0.011761548311882574
PMCH,,,,,-0.03288295953320513
COL9A1,0.05717102672305543,0.025174763515205072,0.016983083964246883,-0.0009445162592742937,0.06416641087591873
GDF11,0.12035183787399409,-0.01737408381919066,0.025869972548161674,0.005014005707202747,0.004332106033734157
RAET1E,,,,,0.032878608221468035
SORBS1,-0.058538889548863715,-0.02297296831052646,0.00807845250107642,-0.04371053048801192,0.006735593211174327
DLL1,0.068481409892088,0.026549172272939865,0.04105815400259943,0.0560715679982837,0.08641348379006143
TLN1,0.06987651608455787,-0.04824605375620003,0.0787362556495623,0.03099861605437595,-0.05481076019948915
COL2A1,-0.022034713881750278,,-0.015151448535543887,,-0.0221926642467516
SHH,0.026672586450963955,-0.013333403923550246,-0.014460431822768816,-0.0037125875759550808,0.03266164699915246
PON2,0.07917858983741384,0.07761091252499244,0.022790450508368594,0.010202175827908094,0.04366414153792905
ICAM5,-0.04305798422046677,-0.026978220434766706,-0.02824044224110712,,0.0731782275804254
HPX,0.029443302409739948,-0.011612658131302106,0.036323040435689194,0.03983712326828889,0.0260889016248508
SFRP2,0.07147468832609634,-0.03540041561350753,-0.01647579808246384,-0.001628351803504586,0.027569858591039033
CD70,,,,,-0.023265333021985447
HP,-0.034017042276354985,-0.028571789650693777,0.020177658524716837,0.07609011668759767,0.05104041705048693
CXCL2,0.08609483413847649,-0.016138750960010745,0.01981559219634349,-0.005629498467739527,0.015013154161884378
NPPB,,,0.016834231948369954,,-0.01546856396509918
CCK,-0.1190119136879233,0.020481721082741773,-0.0379153097336908,0.04276627495700502,0.0428183590669867
SEMA6A,0.0925476756143425,0.019298548827790075,0.03481745230997304,0.022740954669101192,0.025103354384398594
