,UKF243,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.018133714808170723,,,,,,,,-0.02635490158071991,,0.0330787900373187,,
BMP1,0.052401781208693286,0.011217392228919322,-0.04841393586887953,-0.010283833759399072,0.0471253646515563,0.12249559127062609,0.07731848629495401,0.00816800795821192,-0.008503974130945299,0.08292034633545678,0.07330904357620932,-0.029406501369278127,-0.047861426055078246,0.02237881580651342,0.04673118898422922,-0.011256706685316357,0.024834222508127224,0.1489523511991856
NDP,-0.004037138706059204,0.07121669842460727,-0.0684276577503325,0.02396649641268326,0.029123116241964956,0.010806543445434021,0.02276499585920984,0.03034801430330865,0.08782467924334625,-0.07138233699513928,-0.00809550894124997,0.06426871255990171,0.0760719730345636,-0.003972224195219149,0.017373600616109673,0.045362676000344854,-0.04654225509662969,-0.0018261472876100464
TNFSF18,-0.036673849338477726,0.03170480803932706,,,,-0.012500165546199373,0.08301200189657282,,-0.034795627130969856,,0.019619115807947927,,,0.04678353684835403,,-0.038114654298907605,0.014271951559972346,
RTN4,-0.06535249490603456,-0.10551650619500712,-0.03701811499972425,0.012058133370910749,0.07158767642257674,-0.09961870839216692,0.016959125091506357,-0.04773926901693647,0.008382045893769228,-0.04396368875010036,0.041663953137077055,0.02414275629272105,-0.04278681550645795,0.040444976250389744,-0.0441144466416402,-0.045997428946529334,-0.09135356714621096,0.036286383623656264
HEBP1,0.02103154435412587,0.0016740570255219325,0.008954816627181162,0.026196460972693784,0.03176835693878774,0.014760446150452541,0.026495668387426664,0.1193060166946463,0.14540300629460973,0.060850491422945074,-0.025209258336873517,0.04676739080328914,-0.021800395364830465,-0.022722233804986485,-0.012616681964812174,0.05618847182944408,0.07863947476856178,-0.02762490822819393
WNT7B,0.04793864064085481,-0.03406512218433288,-0.0325537579907666,0.007283166142197884,0.02085504957449002,-0.04845300762451821,-0.042617033704405484,,0.12358865869002542,0.08201447309652003,,-0.012396747540847373,0.0005955747258983187,-0.0015687559126519738,-0.02415945712353435,0.05170161433921914,-0.022438145067324864,-0.04381236989894669
PTMA,0.08784994332378898,0.03766596324778879,-0.08501701792674735,0.007641479222452751,0.01874914451603765,-0.06635895011359148,-0.022989550571262368,0.11514791303154578,0.04022890206747525,-0.05513701362384966,0.03951377664855473,-0.013881371030383182,-0.051098847509473334,0.009809645314928858,-0.028699277142123628,-0.052146020531317366,0.013823210474377784,0.003474278624966898
FASLG,,,,,,,,,,,,,,,,-0.024299058754831855,,
CEACAM1,,-0.005898991499143477,,-0.03430901041975545,0.056405308386974065,0.00934495167215606,0.038375416124333914,,,0.11686597649961118,-0.00238907893678961,-0.009595966502499937,0.09164516122846933,-0.02573377478672519,0.07586199992290253,-0.03380857137523282,,
