,MGH258,UKF243,UKF248,UKF255,UKF266,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,-0.05214658588496319,,,0.051934741616976296,,
BMP1,-0.007850707893594084,0.030248323503861085,-0.06117189231100837,-0.10216093573435846,-0.008515064351802834,0.02994859722065737,-0.055006528508567916,-0.02918978333169916,-0.12237219722286581,0.02261727296726027,0.05900293211064947,0.03047454848731345,0.02277470511938113,0.029077939430452053,0.025765149844084265,0.10319007756709009,-0.06773325232212501,0.06251158928042538,0.10115142772150117,0.10267015346969047,0.05356686630811774
NDP,-0.010944233213259836,0.04700859347038053,0.05296123377614441,0.0020874812895632783,-0.05041883526649771,0.0009705890170307839,0.013497600038256398,0.011400928619941493,0.014151368823175539,0.03554037646414045,-0.018688798916455092,-0.01970273082910176,0.042136628173783414,0.13468170122722878,0.08964267773262363,0.1440995162563353,0.01679023652627102,0.06113410123478406,0.16484061702144048,-0.040261485667502026,0.06532861214520255
TNFSF18,0.12554696425799403,-0.04506474956352584,0.08557338505457822,,0.047648789635099345,,,,,0.12748526075492278,,0.030064487234556344,,,,0.11810097734885655,,-0.01816547164608024,0.02534055760219135,0.024884286146766226,
IL36G,,,,,,,,,-0.013752906020907986,,,,,,,,,,,,
RTN4,0.028601587471668934,-0.05399071870473171,-0.05286236305427661,-0.06395614214716286,0.07730758806476491,0.13564110249363803,0.08631476899105765,-0.02860165617053345,0.146216619984745,-0.01412862150670373,0.10430530773033253,-0.0014872784406206247,-0.04319332075787512,-0.0922831879900928,-0.07073312020000092,-0.152462128176013,0.036774100449465955,-0.001800292921540296,0.0059187041568006344,-0.20806075892966816,0.05436675774435417
HEBP1,-0.007774006926922044,0.03044827082684596,-0.013622583229908489,-0.04818093621652164,-0.025523908506073573,-0.015533252034534543,0.019425269358326006,-0.04131754787110273,-0.05201199727670944,-0.04106487082479774,0.025808773982373533,0.000726089166388658,0.07703193153494399,0.13270660699848685,0.07837356203947146,-0.014081895985961627,0.007017502928887707,0.0786296559655517,0.14619614799535244,0.03282324588998426,0.0031049052241255825
WNT7B,0.09204642834900167,-0.04811440003915572,0.02799459367190636,0.019777653432226344,0.01878425207202004,0.007952109212119363,,0.022123112089746707,0.07608773631816361,-0.0011329462102120471,-0.0028961416522327007,,-0.05039198620490235,0.010599530637071447,0.08521472336017683,-0.019344036586136818,-0.024156371624044493,-0.01749327781022945,0.12119595177744241,-0.021426650211540787,0.09991797913914946
PTMA,0.04186171395294851,-0.03184042118137709,0.015697432733683413,-0.029936862254385924,-0.07482971646833914,-0.030496424812669874,-0.13390098518710256,-0.04674725141959871,-0.1547420035729652,0.00869601638719879,-0.06616802907347089,0.08213187874154435,-0.14124909122427398,-0.11826258959593691,-0.015314322467396675,-0.2191403927386431,0.033826319704258354,-0.0007455786935132541,-0.12953079396100844,0.04283870661897263,-0.04051796439959728
FASLG,0.0952898681686679,,,,,,,,,,,,,,,,,,0.023899673653846404,,
