,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03928802393621025,,,,,,,,,
BMP1,0.005103094283047786,-0.018400172915197303,-0.061922839195521086,-0.043398304197330324,-0.3109915640074231,-0.10169167992462244,0.029352244593169857,-0.04971733501197972,-0.19513923850877038,0.02409448140018569,-0.06356019125488638,0.03162336819768791,-0.03809424980570118,-0.012736389962638475
NDP,-0.05163134027804901,0.00948344655479872,0.23385174732982128,0.03662900419339317,-0.10403774095057806,0.07664278686568485,-0.020946841428681643,-0.04343359913961096,-0.05182659827150781,0.059961827806066695,0.052309101243513144,0.026545551996481388,0.09617032525988854,-0.010752974687461801
TNFSF18,-0.02982607233616594,0.10068311528384835,,-0.02537868338794169,-0.0583415360864729,-0.02730763363440895,,,,,,,-0.06364483279404608,
IL36G,,,,,,,,,-0.03011833786093886,,,,,
RTN4,0.24165541906157612,0.10778789748910209,0.24037372038523241,0.2541261616876628,0.3697659987075095,0.062406610949595986,0.060316169616063765,0.3116846377885556,0.298772982408944,0.0392501201076104,0.024539048592524274,0.10147925181408925,0.08829420344442217,0.13687463662967722
HEBP1,-0.04848527302676942,0.03930407621079171,-0.015427019821999262,-0.05189748384735775,-0.13252652473588222,-0.0003339517130358717,-0.032923342014356496,-0.12971248610490774,-0.05267561615003187,-0.02161125163386438,0.02159041742412351,0.003351913396582969,-0.027581432755729093,-0.06787679296879448
WNT7B,0.30677119000779884,0.011076951725175647,0.05966338157069303,0.1484890954584672,0.2765787538020826,0.0547557723836315,0.09637132103143477,,0.07373845776531548,0.007692964063186647,-0.04578184244462632,-0.03624422554144576,0.03363003058663569,0.24766835526571337
PTMA,-0.029127696300052672,0.05811041020009342,-0.13921762707480367,-0.2167241297630836,0.05455978330918051,0.06325391623351731,0.032525837717417204,-0.3169350952578826,-0.2842854447600084,-0.05768147404168095,0.013578532367224817,0.02591798155657033,-0.1587569141435069,-0.07004579274493578
CEACAM1,,-0.006046110819028882,-0.03388551814752895,,-0.07677413860436398,-0.0363128003730486,,,,-0.003023270418037805,-0.0188038084476683,0.013007150332870736,,
PDAP1,-0.0689128787755362,-0.02423472198424888,-0.12818577043187637,0.023340050262416628,-0.23827677015896886,-0.027254915987582277,-0.010005612629982593,0.002424326609301629,-0.13506336014557652,-0.0007406430831138813,-0.05522090568223155,-0.006488368947817468,-0.030694786589458015,0.03675768280068543
QDPR,0.1356825475687955,0.024068664757752364,0.23260270617313972,-0.04239503889444266,0.07881805906786447,0.015225567537516256,0.012267949912178668,-0.2555232209923489,0.07056052483057595,0.030256173000948735,0.0533343320841782,-0.044343271135154814,0.08463179622314845,-0.09656347018822965
POMC,0.11865993269882029,0.08358916962589229,0.12219028220590782,0.04645716725488237,0.03983161599785352,0.02151255528975454,0.009870285747043612,-0.03933450645257626,0.06989891586315748,0.04737463800341367,-0.05090171785095105,-0.040460740870993495,0.005308736627106524,-0.04216918404703584
CCL18,-0.03999921542852791,-0.05012754408202662,,,,,,-0.04875955490617637,,0.0029458147063571804,-0.05439654949343569,-0.02076603120315563,,
CCL17,,,,,,-0.0010118158899067827,-0.027294616080069476,,0.009409308008982688,-0.022694116378362286,-0.010093943465560709,,,
VEGFD,-0.04506742462711396,0.029699878475786878,0.013613137097940509,,-0.06581797886059874,-0.005382854464710625,-0.005380993390430667,0.030739584579146974,-0.01789750383586108,,-0.03180777620054188,,,
TNFSF13,,0.09817026951733086,,-0.022145686069572026,,,,,,0.03046604660073699,-0.014664706017473623,-0.028273671739124765,0.053653811265055786,
WNT5A,-0.06770583073338153,0.002364908400552295,-0.10504531356375998,-0.1095784164904559,-0.26384730866517553,-0.010076665879996565,4.1565659238102244e-05,0.010378028280677921,-0.06353885927489886,0.02953152629254934,0.023083051398110697,0.006438142473539717,-0.07355156208618206,0.06359669329356048
CXCL8,-0.14372015295427223,-0.05084087053703985,-0.10457140999500958,0.033940362937558644,-0.08194455998725786,-0.03401478648051419,-0.018644361467725065,-0.11606607346410552,-0.0886578086823806,-0.01057110181757283,-0.13847401827975003,0.02672370983650582,-0.08614173758485502,0.17640003282382463
GRN,-0.09977605123477389,-0.04455362218575936,-0.09821854467907297,-0.10371707082756255,-0.28433045148615993,-0.03329146528865793,-0.040116579426822084,-0.20503577000910628,0.023728816762500698,0.011931442323948334,-0.039689091113808805,-0.05187768506196233,-0.07023626617029896,-0.06190839463346881
