,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.016113803628957958,,0.1028078707201706,
BMP1,-0.019982346671697387,-0.005499070165881757,-0.024712631802448384,0.09207258947333012,-0.0010894996648095944,0.007110147830364382
NDP,0.008178271271995947,0.028028800178085535,-0.01203712324288068,-0.02027722873599199,0.0501184285502726,0.06326491880153283
TNFSF18,,,-0.0166178812572074,,0.029023051427166772,-0.03090682691162913
RTN4,0.01314069232776014,0.04517265336783442,-0.006408707529955583,-0.04604767387703014,-0.055985374948907485,0.027493340423372977
HEBP1,-0.03534441637260718,0.0536793144268176,0.04903468504233875,-0.02629336678641886,0.04441498172778153,-0.04126407346364533
WNT7B,-0.0020764181336649645,-0.015571176210986921,-0.0347493340604339,-0.022338912311980718,-0.042679709363829435,-0.025980758150320776
PTMA,-0.03274544617662581,-0.030224978032283467,0.011205159577528757,-0.020730387833972887,-0.029564877455917276,0.032744903316204846
FASLG,,,,,-0.017342496716948028,
CEACAM1,-0.017353588170405852,-0.002584475485111633,-0.023878160436321585,-0.014826660991910582,0.11272094697011927,
PDAP1,0.00448909898463045,-0.05093204720168701,0.02020326088088572,-0.040997786726797644,0.08155298776953324,-0.06373799512320223
QDPR,-0.011917527433026424,-0.039316042534302216,0.02262006752795258,0.015245877587962989,0.02778986157453283,0.04409160948531366
POMC,0.0006930035787600761,0.019432556171133982,0.0029172568574284056,-0.009145735017392714,0.10602870509670026,0.02339458209865253
CCL18,0.03815090932952674,-0.03354945695457059,,0.011745003059876094,,
CCL17,-0.012311530869625461,-0.030954208109279645,-0.02124511927060667,,-0.015719025371290985,
VEGFD,,-0.021442924790163017,-0.02240704353889927,,,
TNFSF13,-0.023623978518504073,0.07801217230200068,-0.022782642932821777,0.09433147228518113,-0.025612839828780702,-0.0020845408276792166
WNT5A,-0.023467144815206783,0.01864392930789571,0.0013303174221434022,0.03997286838521559,0.014788490409968743,-0.006532863173696532
CXCL8,-0.003837259429460848,-0.02030288483961017,0.004261055145257912,0.01900415289696973,-0.003731125786572871,-0.09767201127335866
GRN,0.021714043218456713,0.02014609483799448,-0.059325572358984766,0.07261568998529012,-0.06357032746249314,-0.03463515964369484
MIA,0.03301108038246296,-0.04474270831057656,0.08035984331654139,0.0650525397521376,0.02159686254314863,-0.03375535362390304
COL4A4,-0.017196349806658143,0.03653608676327946,-0.032726388886603,-0.016925049871656724,-0.009894286243765125,-0.023643065719379613
TAC1,,,,-0.025580214067182718,-0.020664257228337608,0.025557692416515874
RARRES2,0.02745077169405509,-0.022621814133199317,-0.028078622955994448,0.040964111727414626,0.0019560809359468034,-0.07130671979592122
FGF7,-0.00017855339213138915,-0.03842620679010231,0.07800795778301954,-0.00249143290824631,0.10876729490349729,-0.05243548327260538
EFNA2,,-0.020380064986539305,,,,
HBEGF,-0.06015816774317513,-0.01458447555790515,0.024165044277051795,0.053482979570776516,-0.030076247482060843,-0.04451301176093841
CSF3,0.011420344751669401,-0.005022880552807626,,-0.02125604383401487,-0.01654970877009245,-0.0395276732680506
PI3,0.019861255860745795,-0.016685302863515727,-0.018051193821052244,0.06210926837692888,0.06562148098842434,-0.08059886915110288
PCSK1N,0.0011354196814158596,0.0023018335152216016,-0.021330894563742177,0.008492743302747447,0.08436884139116019,-0.007576403571214226
NTS,-0.02872151993570436,0.1612358250049689,,-0.033558552312119835,-0.024507861950069994,
SFRP1,0.0769155286112328,0.025022202240397192,0.018642670853586642,-0.03824203587305178,-0.023938361327594165,0.020753814444254892
CXCL13,-0.02765422255068243,0.003555526072144314,,-0.010695808720115255,,-0.03206231241694159
MICA,0.020995137133309073,0.002356137412284193,0.024180365945905623,-0.0394119797447012,-0.017565734554684558,-0.007104673078278963
TG,-0.016358946466605656,-0.030579925514750115,,-0.0174940507081097,-0.005255290997185159,-0.03533283420398155
ADA,-0.03583681050559429,0.02473777655036791,-0.001052595295083322,0.06485241891772803,0.04911326042764803,0.07064849393660244
LAMC3,-0.008165462498740365,-0.032240577693655424,-0.06347411261360435,0.056705863914406796,-0.0364447220477467,0.07146367144840056
CCL7,0.027639962158099808,,,,-0.0173424905501632,-0.06693322973982797
NGF,-0.021310752530489693,-0.020106122625994757,,0.04811554702343724,0.017104988924795582,-0.04479698580817111
TNFSF15,0.030184804321472972,,,-0.013199638299676601,-0.04582186259362639,-0.04374708953982672
HMGB1,0.002889956931270321,0.00680431121595613,0.011805681801630939,-0.03209832184351318,-0.015897414300829058,0.01298756124612271
ITGB3BP,0.06988584252009424,-0.00805713150272656,0.043680457896943324,0.02272423755117452,0.025292091037672857,-0.025564719044420453
AANAT,-0.016187739430910984,0.04945349507996446,0.15541416861293983,,-0.01834907822170395,-0.024135548613265893
RELN,,,-0.03286417386720611,-0.015943732590478505,,0.046921764982247836
IL15,0.09030663242411086,-0.01414701439539554,-0.032726384739306044,-0.01922997585892882,0.011016866958967935,-0.02174646909670327
UTS2,-0.013785044867029687,,,,,
BSG,0.038531320305438085,-0.050773008618553855,-0.041246440343285826,0.026267949979261396,0.027994496910807905,-0.07427770992337088
ADAMTS3,0.09418081994468694,0.027456394468275483,0.010527756214576071,-0.014277066565579874,0.07237705896384243,-0.016319055605190168
CD34,0.043271204511608576,0.00790892300094223,0.027227110690001565,0.06294557935023173,-0.047657409180229884,0.10376368400346778
PLAT,-0.00746238146990759,-0.05023863485091344,0.03747693966844166,0.06075054872180946,0.005117062764723678,0.034887038707523244
NTF3,0.08929830570649158,0.03638389285311402,,-0.015833846541778947,,
LTA,,,,,-0.024695094013958745,
CKLF,0.06110529057750474,0.006600450533391463,0.012994140850838286,0.04767489428073036,0.06736176745961016,0.07813483457077738
CD24,-0.0010597638540872868,0.03897259126556591,0.029268003508948853,-0.06925301492333091,0.001230079228480778,-0.000845743919002705
HSP90AA1,-0.041485643791362034,-0.024191129523114054,0.0807155063207854,0.015821541919832045,-0.0015950736919493147,-0.02764993339120578
BMP4,-0.04758482355587886,0.028435338208364847,-0.02470245615981061,0.00592553105212818,0.03770969773941018,0.020151985023122505
SCGB3A1,0.10115361252776041,-0.039012681621899255,,0.001010690995519306,-0.024449862121519485,0.0948648459661946
IGFBP4,0.04257594882365792,-0.008945765975989957,-0.04069535628629673,0.0941457271019451,-0.038468730705511614,0.05387039236402335
RSPO4,,,,-0.018460467690813387,0.019917845236230934,-0.030433970770457067
LEFTY2,0.012136638417906204,0.011291851424272454,-0.02865607227476121,0.004235962984491289,-0.0179170161214763,0.026606927483288974
PF4,,-0.01867974053779336,,,-0.007756367291791592,0.059370647293370916
ANGPTL2,0.006241675504771099,0.02557969147139759,0.0059354552652189545,0.022240439167793825,0.023765209415361185,0.06451516962036202
LRIG2,-0.030754329584325574,-0.02973561667573802,0.036128427966382076,0.031238776076147674,0.02701646169302017,0.0762025490628247
ICOSLG,0.041123570050509636,-0.001108738652342532,0.020713887641024716,0.022845519699788285,0.030110541512107028,-0.047968522270673344
WIF1,,,,-0.01716079283469864,,-0.017437647211019713
NPPC,-0.027545727865446103,0.009753292012711554,-0.024931610746566652,-0.012956609474197503,,0.01232773618910724
LYZ,0.03589630984364594,0.07802141865432191,-0.004468075018933272,0.0019910504164943788,0.016818377963883444,-0.010729006689113077
EREG,-0.0030845131305096713,-0.016144422428534796,,-0.022992823753694432,0.011432414679047405,-0.027447652145540128
SPTAN1,0.03615126126694473,0.01298073711478309,0.002309333653770587,-0.05704222406390602,0.04635005333444552,0.04068762516282775
PTH2,,,,-0.016381129847650753,,
LIPC,,,-0.030602294546323135,,0.03763852017435797,-0.023855536368359957
COL8A1,0.020746236265617286,-0.04649146399981225,0.055630271719100524,0.03653072159881227,-0.048138011190337546,0.01652135086484036
GSTM2,0.04831227162952028,-0.003104480284011018,0.03300799353491397,-0.0071269669280448296,-0.046568113307519705,0.0305965159328983
SPX,-0.018604304550261387,-0.023193285495713215,-0.015037396193143643,-0.04543020570890702,0.07033594947498534,0.03918996139038178
MFGE8,0.0027444591654776605,0.013813304030284324,-0.012911858733154754,0.020692394176487543,-0.018847356825152387,0.012410532637472892
TGFA,0.024769292760293552,0.03566068160922162,-0.00599162476170404,0.08271028205337362,-0.0025112182664149838,0.04171457981560664
SLIT2,0.021235742348584177,0.04531309611377885,0.03846258309818176,0.040705999278562846,-0.043201199964141894,0.016267496399960467
PLTP,0.07004858153732818,0.007612950456326998,-0.0082967012477947,0.051916093240359895,0.05024392003342821,-0.0480671954578127
APOD,0.010333357614742177,0.024653255349391445,0.0002450019279721672,0.024204137805315287,0.007367966515571581,0.0002863085501771801
