,UKF243,UKF251,UKF260,UKF266,UKF269,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01149073341158494,,,,,,-0.017771218108929333,0.06495731774167454,
BMP1,0.1370226206066904,0.014002136098092689,-0.07105187118244526,0.03069830079830898,0.1957646579961812,-0.04609900633594062,-0.16587580127120266,0.022942533243232095,0.07297101487883811,0.03869057575467653,-0.057559443384092954,0.01985851182437897,-0.002925996037155574
NDP,0.16663422633304878,0.015425854460331068,0.19739109114482023,0.048127579855517647,0.08422202179630353,-0.10890320476036228,-0.023469499747990914,0.13692041702026855,0.008199401162942438,-0.013421502424122062,0.008323961973777338,0.09100786322061429,0.08084803164331247
TNFSF18,0.10985303071319563,0.03332824765378751,,0.0013443290276647138,0.11891820829428672,,,-0.005186849743382935,,,-0.018327143555318306,0.04772188384792638,0.042284126232981195
IL36G,,,,,,,-0.0286094677906347,,,,,,
RTN4,-0.05877140973988065,-0.028470687249835945,0.21862062502651544,0.08667317213817129,-0.29479100537611674,0.0674561774172469,0.2317626333471634,-0.007223631600313737,-0.15000068759854984,-0.025876041465169634,0.06491006098624906,0.052416537991829465,0.08518061476443112
HEBP1,-0.011072976130176515,-0.031115508664165268,-0.05901103157532922,-0.014624300234324612,0.05905982832555087,-0.05444700339700938,-0.030788703481686053,0.08040972008482544,0.01288987411027638,-0.03384866803972993,0.03910977162330817,0.04555636845289178,-0.017934048873289334
WNT7B,0.023659446553449596,0.04287467866291639,0.1002276839021416,0.08877761465877809,-0.056345376742430675,,0.07132653311476234,-0.01587609940543827,-0.048246448405627564,0.03368942325812891,-0.038323539801505734,0.0198265210682752,0.10126766396403204
PTMA,-0.15113877221887914,-0.014577148179180443,-0.1812920339104192,-0.05972792708498637,-0.17771255584672344,-0.1063615688282208,-0.2649607380790087,0.02395695063716785,-0.1634486830282818,-0.08055072017623129,0.01913421880223497,-0.050730134460351635,-0.06046139576390482
FASLG,,,,,,,,,,,,-0.031333189083711833,
CEACAM1,,-0.01289846711657877,0.046189656383579664,,0.04302884400935916,,,,0.034609122135751826,0.02010881026012343,0.1308715889239091,-0.04922049566921756,
PDAP1,-0.03867444238746878,0.012348705810239736,-0.12131981002992558,-0.015009080016252976,0.239885544240582,0.03445796541604431,-0.12580696328879698,0.040320589760038654,-0.004034771994118958,-0.02389818647164104,-0.05451466474917418,0.0038624890832037752,-0.0056667166227124715
QDPR,0.1515076721204567,-0.06255579849205066,0.23102021731158084,0.06230710508586423,-0.3025313222534055,-0.18338495205934247,0.06269967863650983,0.03085745750320087,-0.0680930493940017,-0.03910390300461673,0.02201499064227731,0.13747823547330565,0.036105431026695944
POMC,0.026405104991431845,-0.022918518211211963,0.12035622079251677,0.03224041860141207,0.09788241488574921,-0.06830890899233165,0.0751509559545045,0.15542103461498355,0.01887779788506781,0.06917252637270391,0.020455416322261995,0.09044193433691167,0.030479846705750862
CCL18,-0.046530207898879766,,,,,-0.07739403913239475,,,-0.010267654997653676,-0.020541358566679255,,,
CCL17,,,,,,,0.07007950612299171,,,,-0.023430324521869838,-0.03739801609561182,
VEGFD,0.013495499416549487,0.01696474531957372,-0.002336877281542062,,0.09623157618694997,-0.025253454633944558,-0.028010290282025726,,-0.10094191001285224,,-0.02471176061686967,,
TNFSF13,,,,-0.019736077921852842,,,,,,,-0.025125992967261677,-0.024515423386815356,0.015868092687214428
WNT5A,0.05894171521949809,0.03035169418306955,-0.17579357641171833,-0.013406216619298169,0.20318515984469507,0.01488676956845548,-0.07450326671407462,0.07502531990578956,-0.03575817844023973,0.031686280271619245,0.052315695024084445,0.0963310679439965,-0.04984600377978312
CXCL8,-0.1493050186507158,-0.017298395257883344,-0.11815895106166202,-0.008665200119237748,0.054444278606920415,-0.039126583080617144,-0.057679014729862615,,-0.15113060929815816,0.001501951455973795,0.015082727968364934,-0.021043136836393646,0.013002909943627218
GRN,0.12959846977332126,0.004264271378168553,-0.11653423939807135,-0.03648232289635402,0.19900832654290684,-0.07640406602362797,0.07916292431242944,0.12549532044085707,0.08216792065085889,-0.01986906518520077,-0.09655163973658942,-0.09003235608158576,0.03216330947688661
MIA,0.06962220889963822,0.0033109028183452905,-0.040541602339728505,-0.04344658308436485,0.15041721674543918,,-0.03836137618449979,0.16729777342056695,-0.02339816382989686,-0.06516083037618352,-0.03742879032815027,0.21534256828010026,0.03450510390394012
COL4A4,-0.06108842618769983,0.03295502870171493,-0.14699285668684053,0.01427728553604955,0.01135040290905056,,-0.000820068710681848,,,0.0023354950020642233,-0.007174970713387047,-0.024013390311486242,0.025924897758931285
TAC1,0.06714781802616857,-0.015267504175001225,0.3407971146277785,0.03473166132782261,-0.11092314028679441,0.1626061892725725,0.2289139410279901,,,,,0.14328976951305072,0.07079282517916492
RARRES2,0.023067871635057594,-0.002051526855552176,-0.24152113021200974,0.01562507783341664,0.233230193687901,-0.020058388025441836,-0.16447391963683833,-0.027309713115860848,0.08264390583021045,-0.0026372130948195496,0.030993596273944286,0.027962082384474344,-0.03988905520553009
FGF7,0.06628881090154003,-0.004674714662865908,0.0955706461392249,-0.041912819195499294,0.09957920069045909,0.04996277222551004,-0.007365340178591979,0.029300073079961478,-0.027591461231612862,0.04627763332720266,0.009257678768398423,0.009680953220929454,0.04889267040141704
HBEGF,0.036006514820126276,-0.02952047564477872,-0.06829047436547167,0.008365414901372801,0.11843871709258523,-0.02817245966799152,-0.0718688003454592,0.11667845426703248,-0.10468290700559424,0.05132686403844954,0.03784461141332656,-0.06790164195322812,-0.04286037257827928
CSF3,-0.06925734485850857,,-0.04028247188810961,,-0.013327904927669209,,,,,,,0.11238461699480994,-0.017208293859889746
PI3,-0.05567374679683691,,-0.04511437903139199,,-0.03371695851086493,,,,0.03487800944456157,,-0.019907882080925036,-0.053843223258819385,-0.0069614301154104314
PCSK1N,0.14716292559733835,-0.021300724906704857,0.02871965859287399,0.05250164553032434,-0.03450040173481174,0.1286382725203846,0.22685731388654767,0.03671336601610548,-0.03615361021348798,0.0057951846521737405,-0.04193536000959461,0.13310357171613232,0.08227224388018343
NTS,,,-0.0419586499662995,0.027991707150643842,0.010221392277193353,0.07069274359430039,,,,,,0.029938939919711045,
SFRP1,0.1045200432490223,0.06009884951746755,0.17602797297891448,0.00386633629073567,0.09635263633546186,-0.00993036725833787,0.02145964305747903,0.05964252301775041,0.017859981770683674,-0.019468747287269047,-0.06092325779012674,-0.016380243720780917,-0.015361511321030216
CXCL13,,0.011945769162599864,0.03047576616425154,,,,,,,,,,0.037448669485446055
MICA,0.003987751671729309,0.06502898824448447,-0.0017365541709061087,0.015251082680960436,0.14512060832575552,0.01243077170796423,-0.0602978912714003,0.05845229391206854,-0.04302565297286888,0.09708038826866296,-0.015279662875558627,0.022682607894324573,-0.027620883491575886
TG,-0.01201454241837994,-0.017539316439862136,-0.04680936603673686,-0.02957032422214205,0.02093495175820665,,-0.029867778166668645,0.10138738221624778,0.00911505601120428,-0.03344613427215102,,0.059514758029620835,0.10513795102672634
ADA,0.02757884764516717,-0.036233892532944414,-0.008143437370406023,0.02183119232734361,0.16282468897702074,0.010640760720981107,-0.07887367407036376,0.035517516669203414,0.1552993542163188,0.04316189760933947,-0.009213897474124872,0.07364580817891699,0.005990339450780337
LAMC3,0.10706193463137081,0.010670616332014818,0.0666063154332626,0.013383116730566256,0.22587384157971793,0.0025550983377212017,0.05446863360099967,0.030949743170851376,0.009851894832477757,0.02042364808018435,-0.003859068474358452,0.03643864854138213,0.12078622108785
CCL7,,,-0.05465242146446998,,,,,,,,,0.00011187873076788814,-0.025302770709232186
NGF,-0.028461403809375143,,-0.0028721802286829808,0.028370600137948246,,0.0007938541816973828,,,,-0.030525755712025357,,-0.0015354057195367855,-0.01631936496326688
TNFSF15,-0.028694776585775104,,0.04322330954264275,0.0400595722982361,,,,0.009391348503895227,,-0.03082843236261955,,0.003645682950856339,0.057502746433184655
HMGB1,0.1324327822936391,-0.01770922376472988,-0.023625187634229484,-0.05717874572639838,0.23225056347851394,-0.026261573204550963,0.00955644712116612,-0.07231254475812417,0.02563355219730648,-0.012172121371132104,0.05783209856660519,0.09581014976029546,0.0365156063968163
ITGB3BP,0.03673288213873901,0.04253798607099786,0.013974936247822726,-0.02456596569616253,0.21798395622257163,-0.009121528977413132,-0.1094214816865111,0.08607670940058851,0.12111230469198282,-0.0449026439413656,-0.0760551588235359,0.04950083189640809,0.016697518061883274
AANAT,0.028782195018295823,,0.0003782081190838863,,-0.019961020634245496,0.13233375708834855,-0.004435735737112202,,-0.03857384041570614,-0.021394686002747437,-0.028982559740053298,0.1309037810450372,-0.004028108717986307
RELN,0.060247309314199,0.06686331126623042,0.041334550882530637,0.024080123165260585,-0.049432140508045216,-0.020134131107930445,0.15553229333871793,,,,-0.0362444780395815,,0.03214846336176569
IL15,0.0018198585977407932,-0.022344820808485225,-0.014854577778034875,0.011567019937001271,0.05704237345666064,-0.04380298100188357,-0.011746191472606925,0.009479356742558155,0.15484733623351213,0.11880607502098198,-0.03609251636117613,-0.010993416452813721,-0.014977639803164633
UTS2,,,,,0.08998454089558247,,,-0.058183291354012026,0.01046776336955249,,,,
