,UKF243,UKF251,UKF259,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.006034079472319424,,,,,,,,,-0.019607125246463096,
BMP1,-0.045501206496281615,0.014369988588658532,0.015482115952376035,0.1357147459094683,0.010295556077182563,0.05893093860790973,0.03401116452791841,0.045421304741600506,0.026926804422378662,0.02401747436555388,-0.0017968483459760783,-0.01991498613532047,-0.016709104263034513,0.04308013771838082
NDP,-0.02452221025183962,-0.016385873761172173,0.0130229258368921,-0.015169524545594457,-0.039104785618976234,0.009145288235499559,0.03640490567579897,0.019676878714161707,-0.028109683954318978,0.00717586529218872,0.03944939907772404,-0.01766274995616553,-0.007036114053250499,0.01588479702988959
TNFSF18,-0.01958115322186589,-0.024921959962190893,,0.1103781914052666,0.10695843187914379,,-0.026346396545273727,,0.0486635152033666,,,,-0.03307371489660979,-0.03062211375930464
IL36G,,,,,,-0.013349798039920558,,,,,,,,
RTN4,0.020047218798983732,0.0019625120143096793,0.059125055936012326,-0.21102300083059614,-0.05790179662181644,-0.04060535427974422,-0.10438355084403743,0.1355256283118405,-0.13992746743740173,0.017586834200646908,-0.07194392053348855,0.016338054129541327,-0.020161578982317456,-0.12990522645651273
HEBP1,-0.0965744315544909,0.03735154118076481,0.008058859536923028,0.06399349806373171,0.034143194587763916,-0.022377532096616574,-0.015498025828005309,-0.05950457368425491,0.011810703928781856,0.08200574124196144,0.027857857486764732,-0.030589130889783517,0.058337024804697594,0.017725361975735467
WNT7B,0.006437410378095915,-0.015480748978744753,-0.0074285570064498065,-0.06394730542925428,0.040518745189075694,-0.014672966495281657,0.049101666437588364,0.010423621498835368,,-0.03641433031830292,0.06677196037571485,-0.005594485480627107,0.06911330387916413,0.018510521998467307
PTMA,0.07562468295974101,0.01829237782467008,-0.040588250837968354,-0.08884171275171579,-0.040282333692961594,0.03125936204499312,0.008377198825118174,-0.033374866852272214,-0.04330948456136522,-0.09022585147396023,-0.05549334961944947,0.0002861757378279741,-0.06997885564477044,-0.02806354951318815
FASLG,,,,,,,,,,,,,-0.01700525303719001,
CEACAM1,,-0.011880543736833045,0.022919930643553462,0.05141354257571904,-0.018139270473976593,,,0.005315316103994723,-0.030603842339149787,0.00712458574051919,-0.01769327936386176,-0.014826660991910582,0.04756905872700373,
PDAP1,0.06702072092591382,0.01990586071869329,-0.04369373897738592,0.1661139093957578,-0.02862870755466635,0.08040112179056025,0.08949444270473858,-0.09341074186431415,0.01961961898218056,-0.03688468674350037,-0.005866972826921146,-0.01845165718745032,-0.027213538632673503,-0.024402333442140055
QDPR,0.03284791323828156,-0.03999598164946993,0.037672327052822925,-0.180824320938203,0.01593623878689677,-0.04553520065016513,0.055016020016172944,0.09401190742014365,-0.07002853289683314,0.009728880030038986,0.04857309607051338,-0.01232729579562518,0.011976518820844545,-0.06647055942428853
POMC,-0.005022234932878398,-0.021109830767543948,0.0002450589055188682,0.044365876677062446,-0.013382430507776513,-0.0051132235543506505,0.09007113833626991,-0.0025669762879741106,-0.06770120708043575,0.0004719368117448007,0.01827193332915627,-0.008594528286504451,-0.020490145684869326,-0.004648664417446471
CCL18,0.0633110641326957,,,,,,,0.11719576935905342,,-0.03899752546835849,0.04532852276793263,0.09451753081784467,,
CCL17,,,0.08620481510107432,,0.004797349038805789,-0.01219541951010528,,,,-0.01868496770978725,-0.025541359535796615,,-0.015413351854671931,
