,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0711764690193909,,,,,,,0.10075168562983114,,,,
BMP1,0.039025956681602435,-0.02200306330688273,0.04125981171113982,-0.00573287161741813,0.007371704365380531,-0.04005827388581737,-0.06398905209362173,-0.2490858680306497,-0.08409257497333651,-0.07582190989954854,-0.10572869415277172,-0.26634967802918497,0.012268722919970615,-0.004650096119042811,0.03536202654358938,-0.04635864053236964,-0.05747905772556032,-0.023904473027746516,-0.0496805437353046
NDP,0.04360727064404422,-0.06778172502387282,0.039414674307855675,-0.02067855856571237,0.06484560877767404,0.14251454839538064,0.031463942438986654,-0.06338779232942623,0.089773675513059,-0.03635308195892876,-0.13363708601987218,-0.013759292012683054,0.029664885583284725,0.05139855307597485,0.009179327702152814,0.06585200312820837,0.035985653719225096,-0.011528309781568652,-0.005244387739845591
TNFSF18,0.007314440611265541,-0.02977884220002965,-0.06967849379851893,,,,-0.03931118315872873,-0.029190707899760335,-0.037045040530787055,,,,0.012271741801614408,,0.08187372465570339,,-0.0377602658392158,-0.051639007982783064,
IL36G,,,,,,,,,,,,-0.008530100213509242,,,,,,,
RTN4,-0.02711406733730635,0.2968789351352277,0.028840524996879485,-0.03134864495933339,0.03174201383674017,0.19977176209703681,0.15461439198884214,0.3299993639700826,0.12037323067052294,0.16386987847377207,0.3555432472704887,0.35549999298664314,0.06834828984353626,-0.05351173436194465,-0.0775970102031116,-0.08449131452999813,-0.07633898895585792,0.24091859612003214,-0.017375620502942536
HEBP1,0.0504463809070318,-0.10318642550700738,0.04352504220486481,0.03960906224229792,-0.014626161260203139,0.005605512861767097,-0.040669964871222306,-0.11444480372678474,0.003659202124811817,-0.07265604614319532,-0.1801592131546833,-0.013129417579470769,0.0013631131657538377,0.047760412472747114,-0.00999043936851458,-0.0068954856144345005,-0.09294929884848126,-0.013891891769743106,-0.04994295111221514
WNT7B,-0.04134571396568789,0.2739414746071178,0.003755389432167107,-0.02470134241781466,-0.012666544421124007,0.08077381539806591,0.0823458801249192,0.21510401250113667,0.020599861813547657,0.05604273754529926,,0.11152995178831066,,-0.04445059068121202,-0.03452838857838993,-0.024159450517226556,0.07078850805583062,0.0451085934582624,0.19363627792261853
PTMA,0.01356111492798671,-0.020220629085358502,0.05852902786954163,0.13311702611134812,-0.012028284276267048,-0.20253281194728728,-0.12027709269473676,-0.022109737367826197,0.058997680128810466,-0.07992594453522918,-0.4703846531550393,-0.36685960873064427,0.14496888874455666,-0.02877747596759671,-0.10704087823103815,-0.10326935702289787,-0.1661202202587942,-0.10673480051276239,-0.21575367819733945
FASLG,0.012192614577458735,,,,,,,,,,,,,,,,,,
CEACAM1,-0.02893332987367076,,0.14251147840325548,,-0.024468292172612597,0.015793874227394006,,-0.05451990376076771,0.006544439396994719,,,,-0.033632030186094286,-0.024907858344798806,-0.01567840579874335,-0.016034978676094557,,,
PDAP1,0.07272397429010907,-0.12220758589379449,0.046411560211544044,-0.0034680854400906667,0.044780425218630134,-0.09803575338115737,-0.02718439022778449,-0.16132475996305287,0.0491509523019061,-0.006870457137320692,0.07120498191920745,-0.16075690597533657,0.06924612038761459,-0.04742490727007782,0.025151487245091766,-0.05270339023487982,0.010695115247472457,-0.017648658676831894,0.13446036835864858
QDPR,-0.098185824127173,0.20905954817019437,0.0026526215700840446,0.01569602088923841,-0.05520956755014241,0.18936123492498677,0.02129749229908471,0.055931624403705596,0.029199136035455438,0.015718283179548126,-0.44454913200737434,0.03031633238706282,0.08121618353321619,0.0334586239316649,-0.02428652089385674,0.0887774339702779,-0.07854487744486774,0.17006885763414298,-0.027037355866621482
POMC,0.04601669158142534,0.1725810405510085,-0.03866412905573506,,-0.007622684986361684,0.11298211791002609,0.027006951269037488,0.08703854720475715,-0.01592019954955589,0.0018814639453300975,-0.0963463467657755,0.058103805356124125,0.027392824767589568,0.06943259427620477,-0.026642614755921057,-0.026231118668990357,,-0.011297287401089018,0.08927551323629859
CCL18,,0.09197522934229399,-0.053375714255755866,,,,,,,,-0.11205452616766091,,,0.048420749153807355,,-0.030270189757250005,,,
CCL17,,,,,0.054566108419374336,,,,0.040050282429319496,-0.031264077625210974,,-0.028254734156611932,,0.03226995017638756,0.035260231811767094,,,,
VEGFD,,-0.04749613487659734,0.006494427955065067,,0.03610732325363963,0.018892219302053946,,-0.05914349802237353,0.0023225155777266727,-0.022932579027887187,0.01507778274112078,0.038292801705086345,-0.022901530997578606,,0.031538276079503894,,,,
TNFSF13,,,0.03122541889322059,,0.10276367171546263,,0.015376787211864088,,,,,,,-0.03390784111627953,-0.025311975109028623,-0.01800620634833061,,-0.01880190575713893,
WNT5A,0.05615630287758433,-0.06467469344021931,0.0028948237934535116,-0.02131502970551079,0.06867455226454476,-0.06768067731870363,-0.11665799102784033,-0.19211388728968098,-0.007078289384056812,-0.051626356194607016,0.054652357748531936,-0.016129905268420123,0.09172357460396564,-0.018469324285168474,-0.063790955063808,-0.00039650482077242994,0.07375837668177684,-0.053382668555803134,-0.1124169770103763
CXCL8,,-0.20343428057650922,-0.09287107368240953,-0.03993831864421729,-0.018285058889754964,-0.11678958533155126,0.011010868200221702,-0.03339932884803674,-0.06769486011726217,-0.021355814732454927,-0.09454383690709396,-0.07510505365452431,0.03435811962904436,-0.04737989800415057,0.04203453230977206,-0.00748584861849129,0.04201126842106175,-0.08902089814117331,0.09521358927355891
GRN,-0.07007579898295202,-0.09502957735316414,0.04349296557287922,0.06021385048682221,-0.03405438783829105,-0.08532409380138602,-0.11230376992700969,-0.26137553277158465,0.021656996394484564,-0.0744952724766293,-0.2663387377604229,0.026674415266222218,0.09019392114717031,-0.013539712401258317,0.07288237525073313,-0.02633824747498339,0.07352749760773834,0.09368216354079581,-0.060696293470924825
MIA,0.03066194789801162,-0.0659913922949068,0.041378919092435226,-0.007328996692080368,-0.023537511643585314,-0.07356124180925705,-0.021551838099282353,-0.0568282967578658,-0.052115717664145404,-0.02608097908804771,,-0.03132328974459734,0.07250372103039283,0.07380567881345741,0.0897969259464074,-0.04919819636026913,,-0.03593255021273448,
COL4A4,-0.01658623079881152,0.016331883925556734,-0.00222387779848682,-0.02510447562217203,-0.012315679724952571,-0.09807459025181167,-0.005330413642922311,-0.05140716320383145,-0.0063024373665605165,0.037234621248958,,-0.028847873794015873,0.019922046522608858,0.12484419163589026,0.0188664802472895,0.029330666915251536,,-0.033989529389910206,
TAC1,0.019752619290114935,0.3283849524766813,0.1064131452419243,0.09634892557479098,0.05190599748288836,0.2690866068931969,0.22741441353969608,0.3642022428370903,0.13175430329824592,0.13786029319743437,0.24811858890552382,0.3487757293945713,,,,0.11451907109120908,0.011746747151086956,0.1378287590758713,0.2737477222857499
RARRES2,0.09423690560209631,0.04839995953794237,0.009111878325644758,-0.02005867280935058,0.0035178475164640115,-0.26762497147524433,-0.09803982134033652,-0.26647801520991476,0.12888861966467552,0.022213333941321873,-0.07816431705920607,-0.14706362470803366,-0.05310103007972169,-0.0008350477227577729,-0.023112527511752752,0.0388955118317166,-0.0655841979145893,-0.16597337540363935,0.11635476982824604
FGF7,-0.013986216010988041,-0.04967514092693335,,0.05757293925374706,0.006092380666686023,0.17051624106116411,0.03530814844641797,-0.006231440132122666,-0.022686879396035094,0.008979066440079495,0.029349182006126923,-0.007999427990362039,0.06041874532642444,0.0008635213520274815,0.004459294725093726,-0.03730931136295059,-0.00952839105152719,-0.023793363750532728,-0.04081392585861436
HBEGF,0.03179010349334599,-0.016522877609012946,-0.039776188932931576,-0.07154627642054737,-0.03784544058657067,-0.1167481778815701,-0.035557560731224985,-0.14344538929499787,-0.12459284679350077,-0.05321906407081432,-0.17988874975902924,-0.07689251436887297,0.11529144902334815,0.017609935748381492,0.008390318953495715,-0.03198792928395431,-0.1252254993608645,-0.06216024845197899,0.05565571992698577
CSF3,,-0.06558060854870335,,-0.027437571595612036,-0.021095821112805644,-0.06768568997692298,,-0.009011217009622005,,,,,,0.005425922608166454,,-0.022988332288876225,-0.003829053678488323,-0.0638278588275984,
PI3,,-0.07769001027077269,-0.039385305692665976,-0.06500344447342793,-0.040051861227103865,-0.07796133996541815,,-0.05940764308537613,,,,,,-0.06112463604148807,-0.030927454414892745,-0.02107850699814668,,-0.05917436004018264,
PCSK1N,0.10874922841736047,0.31981729768953937,0.07841314395982932,0.07221362668615622,-0.006208795808502414,0.12088571753091469,0.11980792905046973,0.20401274268363556,-0.06830420234275181,0.14549729983234497,0.48682181469315833,0.33438469181954983,-0.053099797598315644,-0.07160148243000874,0.0016331145003453404,-0.05371157228315624,-0.06484808765250857,0.17283427328078804,0.1787019370276904
NTS,,,,,,-0.10623923111676632,0.004271343629945678,-0.046108344005241206,0.08738213044904153,-0.04176438429206589,-0.06665668888449656,,,-0.04122441670166177,,-0.053152211530093675,,,
SFRP1,-0.01061305578927626,0.12317073019924474,0.09576976707985005,,0.06200877862851441,0.09904307576941782,-0.043279783540141004,0.01701171281777058,-0.02574708281023281,0.11134182625383791,-0.1353724926005964,0.023799939641742984,0.05718750192665416,0.03100325353889665,-0.020987702820569405,-0.07211433381892338,-0.08200118376509585,-0.041665677866383206,-0.0838431391801905
CXCL13,,,,-0.01992292346849787,,-0.029425442713767628,,,,,,,,0.07599420007632267,,-0.037498753740150555,,-0.03140281166420461,
