,MGH258,ZH881T1,ZH916T1
IGFL3,,,-0.026554070663757035
BMP1,0.00961250350557384,0.006166553341026917,0.010499167439751456
NDP,-0.027258269692848464,-0.08187024128508609,-0.029045479187058257
TNFSF18,-0.022403035978319566,,0.08020824073244952
RTN4,-0.07562432691082048,-0.04379160321727235,-0.054973184751499024
HEBP1,-0.01550410472701909,0.07927839662773262,0.009728439357695103
WNT7B,0.07604248124447122,0.09601302729102561,-0.01204077800568077
PTMA,-0.03885860419968035,0.018500890406945438,0.017827986716601997
FASLG,-0.019736378593722445,,-0.02303033642762437
CEACAM1,0.007210295979207565,-0.014826660991910582,0.0350609902808566
PDAP1,-0.04162236768539023,-0.023554394508027744,-0.018085244669990196
QDPR,0.02133572313088121,0.030325919852201004,0.03087279248525126
POMC,-0.05584748956408346,0.00818167611699054,0.028913703188894586
CCL18,,-0.051059250181526475,
CCL17,,,-0.020874413213030293
TNFSF13,,0.07497314087164259,-0.03401311401415583
WNT5A,0.023440789792795295,0.04748467336956019,0.061094685024224764
CXCL8,,-0.009496471301961457,0.044745352991283995
GRN,0.04713959666428061,0.09249733086257526,0.07475345019085018
MIA,-0.02583321727402917,0.10727927349647402,-0.012369777522170528
COL4A4,0.018680218391276978,0.03166574566991662,0.05001866219436471
TAC1,0.027084635784955218,-0.025580214067182718,0.03214991826441038
RARRES2,-0.053318999284680556,0.00017701497234942314,0.03510796695930179
FGF7,-0.0075111837879295335,-0.05444583625562383,0.057591390777149615
HBEGF,-0.021553151849514406,0.01663572419248597,0.06410427390371345
CSF3,,-0.02125604383401487,-0.02197753685499959
PI3,,0.0069531234642396,0.022379403874131065
PCSK1N,0.00861007495726495,-0.01340974631256921,-0.023504122454146667
NTS,,0.02982308072477283,0.021369744960849615
SFRP1,-0.028716913766884813,-0.001580916054035837,0.023395430730011674
CXCL13,,0.09969707235925414,
MICA,0.042990431971066626,-0.029734331848795634,0.02927687755007154
TG,-0.02285712612550989,-0.0174940507081097,-0.003888774904953335
ADA,-0.013701355377802373,-0.0191679587597288,0.034853922400283094
LAMC3,-0.019114625871115974,0.05962197421837321,0.05140515984521086
CCL7,,,0.08675640092099923
NGF,,0.0943048399637268,0.10733832911603522
TNFSF15,,-0.013199638299676601,0.036129171951607114
HMGB1,0.02743897494767785,-0.006164960653124479,-0.08999399328083119
ITGB3BP,0.027310182381545922,0.019206824265166317,0.07961682548377917
AANAT,,,0.010037195521810186
RELN,-0.01894916354965711,-0.015943732590478505,
IL15,0.01222665281774531,-0.03219798027753523,0.08133651643025391
BSG,-0.035825488149944955,0.033816827359452704,0.04677573204272477
ADAMTS3,0.02272158427847697,0.0188308318712403,0.04624054100576156
CD34,0.02481143832805343,0.07328049077515651,0.04466286771516658
PLAT,-0.06279871429306592,-0.04822285247421439,0.00015744161632669356
NTF3,,0.008437953920439336,
LTA,,,0.01811210063727649
CKLF,0.020312368976799906,0.0006565390380918647,-0.01722873243831581
CD24,-0.015482081238880873,0.007088955294702659,0.08540787781988342
HSP90AA1,-0.01256245066947807,0.006186237643039756,0.03299848530205721
BMP4,-0.023523301075239682,-0.036808235255268634,0.042572216086306174
SCGB3A1,,0.001154704909915655,0.033398754175018065
IGFBP4,-0.04879462657276108,0.04074450440621706,0.08002342491708597
RSPO4,,-0.018460467690813387,-0.033462304003144365
LEFTY2,-0.022631131357038783,0.004384632442372384,0.014419935901584656
PF4,,,0.02013506052433326
ANGPTL2,-0.014798906521187932,-0.0271610595151661,0.04238067360381333
LRIG2,0.021747812477547025,0.07430595026681017,0.03627217061116445
ICOSLG,-0.039893572389694015,0.02587649121312205,0.023619035099388428
WIF1,,-0.01716079283469864,
NPPC,0.019572281699694907,0.1062366911965154,
LYZ,-0.007891891553697229,0.041490906997936,-0.002031591954039395
EREG,,-0.022992823753694432,-0.014676771913976906
SPTAN1,-0.0015278802479769748,-0.035587727447787695,-0.041109173238413454
PTH2,,0.024503509016307778,
LIPC,-0.02926396369901705,,0.06847728794639127
COL8A1,-0.013266604267684598,0.09539617916744723,0.01383086989280775
GSTM2,-0.04218125466213667,0.043329233959415146,-0.03352050347467695
SPX,-0.021739387091550044,-0.04543020570890702,-0.06874157121376037
MFGE8,-0.006861852381380575,-0.025018065193635166,0.005051010475969927
TGFA,0.03472778587006455,-0.004078221296863695,0.04078514752947433
SLIT2,-0.0028459058579566694,0.035613550603309604,0.08936980758098452
PLTP,0.021552763802719793,0.08662188099236225,0.0009831918849983608
APOD,0.01649191504505755,-0.037264793666112156,0.04498141053511533
B2M,0.023677860662671846,0.07271194433673157,0.058325737663464314
OMG,0.03985130817660385,-0.028069086475900694,0.011766461744370611
CXCL3,-0.01840691616344419,0.031358885931696626,0.11030848353007806
CXCL10,-0.02791187067756033,-0.025224530319683396,0.03815569540594636
RSPO3,,0.12117400311687819,-0.023371279800939584
CORT,-0.022857130908527847,-0.017983949134117744,
NCAN,0.019156810508081924,-0.07898088270901361,-0.048205576624031195
PRG4,,0.034642165213142694,0.12044020058429392
ZG16B,,,-0.014470994952132289
TGM2,-0.042146212150005954,0.019450493599682116,0.01382001248760138
VEGFC,-0.022857132380226283,-0.019768021369496007,0.010126984968719978
WNT6,,-0.009187165650073608,-0.02344943332183284
NRG4,,-0.02437752655526736,0.04964452437555994
PMCH,,-0.014035573300032798,0.05904491415378097
