,UKF259,UKF313,ZH1007inf
BMP1,-0.037532538826967436,0.006437837674732757,0.10504092542543635
NDP,-0.012340375087332475,0.08026872396340315,0.08095712300315148
TNFSF18,,,-0.003576449740628756
RTN4,0.03843628807553837,-0.040044258406692394,-0.04338735902575606
HEBP1,0.015237933331125357,0.020907770380559236,-0.00742001730938921
WNT7B,3.497315084421279e-06,-0.023051572557365986,0.01651475317112154
PTMA,0.017869711269650524,0.029980691817711014,0.007367576124967284
CEACAM1,-0.027750785210597394,,
PDAP1,0.05620720280387995,0.05983633420474677,0.02293577094793383
QDPR,0.028865957334816676,0.0525878446836085,-0.06842999130481764
POMC,0.03109780846289701,-0.02390554037146279,-0.0453754259872735
CCL18,,0.0009172232771995543,
CCL17,-0.016084698341468917,,
VEGFD,0.03221509091935951,-0.016151549419447967,
TNFSF13,-0.011094864929766553,,
WNT5A,0.008892118200939264,-0.056617868753142404,0.05268861010281645
CXCL8,0.11979790375952012,-0.06293333490117953,
GRN,0.018939424790701983,-0.036455559748630205,-0.0010118818991963461
MIA,0.029180257579598187,0.049678816661512505,0.01870394642588496
COL4A4,-0.023376739071582008,,
TAC1,0.0017757982713426219,,
RARRES2,0.008272736371276238,-0.04907344866903173,-0.02980956595388249
FGF7,0.014275885151234069,0.013365801967574585,-0.028456245919603676
HBEGF,0.08259629083512636,0.053647647506241264,0.11950364615569015
CSF3,0.04239844485681776,-0.024264896497321265,
PI3,0.10055758647104708,,
PCSK1N,-0.09072994105547716,-0.03884963880355844,-0.054481168931327706
SFRP1,-0.01403452103427446,-0.018727207839954234,-0.05596166048508554
CXCL13,,0.00926899541778932,
MICA,0.09185054994384495,-0.023155978362436276,0.08848438517629882
TG,0.003915913541478151,-0.009499673265562137,-0.036835489545587775
ADA,0.04933731156311075,0.015537895543505813,0.006477703095415274
LAMC3,-0.029900234473104633,0.049858739952838495,0.08716073803487187
CCL7,-0.010950151873058273,,
NGF,0.04475345238411,0.07917839736130987,
TNFSF15,0.08242227787234638,-0.015452363031696751,-0.03395299672481603
