,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.026336717741296322,
BMP1,0.016664929481650454,-0.028785894886479174,-0.0069875418075897875,0.07232989563637467,0.028432852532464706,0.0450637927677955,0.06397094012964616,-0.02300354173756236,0.02869743109120623,0.017915376675331343,0.08555711289092847
NDP,0.11625293880712792,0.024938961866414994,-0.00026688003483612947,0.036510806477010174,0.03831915670347013,0.018556155169137455,0.036409635689252776,-0.059531167478736456,-0.009837011229333243,0.1151044957183579,0.05679253543614808
TNFSF18,0.08807604568889653,-0.044291558445644766,,,-0.015129094590365622,,,-0.015700146520303066,,0.019652712700687084,-0.018655852789612012
IL36G,,,,,,,-0.025713358283350786,,,,
RTN4,-0.08211239418355384,0.0023743660116210467,0.011446214528237094,-0.018978953070051,-0.020733842389355297,-0.02236654979270763,-0.029492168472275825,-0.012962473685078977,0.04824626347917751,0.025982281601073104,-0.15594935800057352
HEBP1,-0.027217996559945678,-0.003339947612287475,-0.036444540974561734,0.034479241871548647,-0.0031343625894769225,-0.01937974133846817,0.048451751847172445,-0.06783056054495747,0.058861639452371856,0.1087873151001638,0.0268929452515498
WNT7B,-0.013939252261518527,0.008067235176617626,-0.008908395482624922,0.010334951128899705,0.044287692167511425,-0.011246853751667963,0.02076472727032758,,-0.02678752888772171,0.008190261683241407,0.0011220168006805247
PTMA,-0.0759365903103813,0.08524876534772846,0.015053517024810715,0.03275054783507603,0.00392121641211045,0.03307752185034321,0.04643013311789339,-0.042433762424169144,-0.029016184781399938,-0.15523728924730892,-0.005821890892650463
FASLG,,,,,,,,,,-0.009652924391233431,
CEACAM1,,-0.02111422207901343,0.0421477247383345,-0.02280967828817195,-0.00019845426503446528,,,-0.038344946377901146,-0.01777927251257676,-0.0011302572149083762,
PDAP1,-0.017929199314744158,-0.03235332125998299,-0.04199383275022713,0.04233964359218406,-0.005842857690466553,0.004942569816604563,-0.01888145114696313,0.02387549036204535,0.021766977666285933,-0.03966411491757358,0.04862418627083749
QDPR,0.011487537679376996,-0.05591362586846149,0.021818775396539005,-0.03432498453397769,-0.03804018514358524,0.023996404277831142,-0.07501045197079245,-0.14353333921685424,-0.05468563569419275,0.010200176106681624,-0.05382381998712155
