,UKF255,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.028816006181320637,,-0.023562648359418722
BMP1,0.05236781239286936,0.054740022612608304,-0.04389549712627767,0.1334982823609256,0.013860385132999312,0.05285677935321569,0.1382685123762701,0.039484528672574466
NDP,-0.027657456593817725,-0.004195243019897453,0.011864587463490062,0.0169306582462122,0.06872973875729624,0.01649331476756973,0.005258125088514591,-0.004441209803708847
TNFSF18,,,0.028970615120937834,,,0.12216704133405984,,0.14501191614014877
RTN4,-0.00890693137559207,-0.0894910400802203,-0.00766532353820839,-0.05865797693845737,-8.553463961723167e-05,-0.04020580939601727,-0.1216420234171786,-0.08554911135460126
HEBP1,-0.051037445833908505,0.11956304671753845,0.11338676449342883,0.045462006138705054,0.022090267360536906,-0.0014820173653037868,-0.006391950055878393,0.03746363271955202
WNT7B,-0.0023265278150919858,,-0.029004789835031897,-0.016431902580138838,-0.017214397526386826,-0.01865370067331742,-0.042588946261637076,0.008870225699435073
PTMA,0.04633275803849047,0.11126433834337159,0.034236595165828464,-0.14076693383596092,-0.0066607563975960475,-0.03508330280235151,-0.022886638794073218,0.06934612169442747
FASLG,,,,,,,,-0.02043587688361022
CEACAM1,,,,-0.04742613805128176,0.05478323682892915,-0.03117480178334122,-0.008408768822494273,-0.014082643223747292
PDAP1,0.03140239186264961,0.030883908757223695,0.02103480256306161,0.0037194599456827995,-0.07196079216393093,-0.02783191894315099,-0.01373498357196562,-0.05242458367443735
QDPR,0.07846441468652939,0.08019202976614315,-0.045172362338563705,0.020938845346283125,0.10715583563719236,-0.022351475467741043,0.03190071909805412,-0.02175630950263292
POMC,,0.02822217113707369,0.15043570818775795,-0.016552527980032164,0.10525996578505455,-0.013204822219298933,0.04612664385181119,0.003798811566459138
CCL18,,0.0888368209697165,,0.13351352129482721,-0.022855828486355808,,-0.020893470193704515,
CCL17,,,,0.12770297865326755,0.0032119151637297278,-0.012066972975520172,,-0.018522827045088754
VEGFD,,-0.022142150146793223,,,0.03357673787743977,-0.015314333921671051,,
TNFSF13,,,,-0.006091933727263635,-0.027272547164761497,-0.016434228113177417,0.06015031969548582,-0.003176009844712257
WNT5A,-0.0001290901830513445,-0.06490057803680449,0.03610428485247758,0.05475121468453369,0.04278738396535214,0.008668747906215662,0.04608219688450349,0.11529306736483289
CXCL8,-0.07109407793331371,0.18152675253730244,,0.013785877724087596,-0.08225519757072432,0.030682270491935885,0.0028462334815123765,0.059950900317038334
GRN,0.12070985262460862,0.08403882628169233,-0.002074429895654734,0.07079897793069934,-0.032617543067917906,0.01857346393739587,0.23191159810937004,0.10775452819020781
MIA,-0.0234363955545606,,0.02511844115939363,0.20612660512751235,0.1201800769732769,0.02390906108108161,0.4255559831239209,-0.024889455498714484
COL4A4,0.012393593807103398,,,-0.011085391092970976,0.008373261451606676,-0.0012903844135448241,0.06558000939788744,0.03709650417201941
TAC1,0.03610463464897868,-0.08201253572332581,,,,,-0.06083418529880162,-0.024350139631098965
RARRES2,-0.06203192474056626,0.05786185396538088,0.009630826391000524,0.11149327271129907,0.011002303739817818,-0.016458742137078586,0.1005351484448173,-0.002896302904485228
FGF7,-0.041481600881888965,-0.04099886359922769,0.06267694823301646,-0.04561724522735438,0.037067892779038616,0.03576083133736655,0.04077743600227766,-0.04433449073518333
EFNA2,,,,,0.07350232343147388,,,
HBEGF,-0.014172520374289297,0.11244462174592063,0.06954939038477605,0.08006239318764605,0.05423698376851,0.009920651045988882,0.15721786340035562,0.011228891481128794
CSF3,-0.0244165334652578,,,0.049926035095324596,0.015676743224121152,,0.08701966276053752,0.0013312652468483468
PI3,-0.05784618262631914,,,-0.042046343350142804,-0.07052688205292769,-0.032280603928477695,0.2141195893584161,-0.042370670527806846
PCSK1N,0.06092997485823425,-0.14647575010504119,0.04558232322138548,0.014221034270737148,-0.010705945512067116,-0.0210495683876712,0.05270583991571148,-0.027540765794736344
