,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.01382190357616693,,,,,,,,,,,0.025927541027577532,
BMP1,-0.05941625535531029,0.08412883114466234,0.03320858535667671,0.003097647349586875,0.002421315597872884,0.10331112417533285,0.10110283330961246,0.1747622730688162,0.0731339644936311,0.1222690211302453,0.08838133718168491,-0.05829160722493369,0.05044007222523713,0.08787756299723662,0.010986119766034306,-0.043645831948460195,0.008946323759129647,0.15154919356756538
NDP,0.005188863946595023,0.048206921111842355,0.0871380571195569,0.056841689602733274,0.0033858178809641265,0.04990256842028316,-0.007109521310716144,0.095201362859394,0.13654714508630916,0.1502652632806448,0.004142523529815459,-0.04088552602996077,0.01486954488571451,0.06038607785873423,0.07778792432738435,-0.024499493343170826,0.05737628169036918,0.015724943119722248
TNFSF18,-0.03094318721073508,0.12854562595511143,0.047045252981573346,0.004874690169679714,,0.01447368487449576,0.021022088948541247,,,0.17258465147705238,,-0.04782913482296696,,,,,0.04125733750072793,0.11326615643260761
IL36G,,,,,,,,,0.01768657525524955,,,,,,,,,
RTN4,-0.023123462486391473,-0.12733371825326684,0.03985878423599448,-0.026580934653647845,-0.0332181482721679,-0.1400065493906488,-0.09994170344304172,-0.0871149658959785,-0.09293164891298498,-0.0710273471498976,0.08233453511348998,0.018048003395413296,-0.10166603269419282,-0.025273294342368996,-0.07948741696002573,0.014563374334750799,0.024151805841966384,-0.28885874975371384
HEBP1,0.030096289757972853,-0.012743703604831508,0.01367655031390287,0.05450932360276451,0.012023272591017431,0.06467252882197987,-0.05737529872341579,-0.03534589394065209,0.022054449789988877,0.0003148944171197344,0.03987433934012489,0.011822264022691393,-0.04497237820835514,0.0930939225183086,0.07713048472345589,0.0746840904653566,0.08116563414267494,0.055423459412808476
WNT7B,0.0073387079746818394,0.014085014827776224,-0.04627796194368794,-0.02201106863712458,0.016503481059386923,-0.09224164296817755,-0.007860332760488099,0.00898345966849513,-0.03255832239091184,0.01672533134595074,-0.09366725927819418,,-0.03274975490221592,-0.010258516958308721,-0.0017803433641546398,-0.03941675411568264,0.043911293973065556,0.005474340511135518
PTMA,-0.0006251086484260744,-0.11455222543278169,0.02782761609142788,0.004825581158971521,-0.03791084850014097,-0.11706062188135778,-0.045002225030263805,0.1934205505341017,0.07814508882150945,0.013969188715532927,-0.1450648659587248,0.06322534997357106,-0.05041812751196618,-0.12369877798913438,0.06362341954972763,0.007845290321697763,-0.08972096060353348,0.09906512867171362
FASLG,-0.027259986471409783,,,,,,,,,,,,,,,,0.008276052293912787,
CEACAM1,0.05245091607440371,,0.05140857081373118,-0.01689217130236011,0.023416183569841004,0.010662716047902369,-0.034266374351002965,,,,0.0027960085780890567,-0.03363199907213383,-0.029370504760535963,-0.06475728189265023,-0.003750200395485785,0.056764482030514256,0.02542983031092267,
PDAP1,0.03519233731288455,0.04632728779062853,0.014288982901243797,-0.05395008974921344,0.0705278764804219,0.07352707106087632,-0.0025916719758554622,0.1948846461007385,0.035377962612836655,0.053426533132264864,-0.013153403234254568,0.08564085266527893,0.01283323284096588,0.032606480889798846,0.04379911873500513,-0.022177793063493958,0.024370952827783062,-0.008613020591779921
