,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.01087412517540039,,,,,,,,,0.06752300633489298
BMP1,0.07904206266061566,0.03717911798277946,0.0021438459356203097,0.06247033769894631,0.005929005088526382,0.06409502850735842,0.02245410102506695,0.15026124356580198,-0.003858028755962469,0.03429870152702109,0.03465834206741991,-0.03763360144628738,0.06814152684239126,0.009166171810375495,-0.011307447350105127,-0.0010270902426701056,0.021855388702921048
NDP,0.055682543110701394,0.016102798930951335,0.040858598590177694,0.057415270546948755,-0.006055978110932649,0.07674961128146042,0.08423662751247053,0.042588235648755905,0.005498699468076127,0.04814917166046167,-0.11379035007064608,0.06339527545931228,0.0431158271391311,-0.0073318264175509466,-0.006273171802860998,0.029484200386334175,0.10120727848435986
TNFSF18,0.052764942188981284,0.07115784361955212,0.00041663577127036094,,,,-0.02095661236652989,0.12669654611425957,-0.006022604645335059,,,-0.004655449981948822,,,,,0.04827436376309306
IL36G,,,,,,,,,,-0.013752911436744552,,,,,,,
RTN4,-0.011536506154814623,-0.031113247054983327,0.02720295747773344,0.07199823714901255,0.030017678990444902,0.030902409444415888,-0.053394322366154226,-0.22325698106548664,-0.013323464844360542,-0.027073003277394894,-0.0034127674735482685,0.07452683027133887,0.0015271793695920733,0.030356681933923668,0.009855917528461667,0.015024403555426917,0.014703017068523934
HEBP1,-0.03127102115190416,0.02144050801165782,0.03451665661308733,-0.05395242468720506,-0.01723727284417768,0.08426555381756937,0.049891121775445815,0.059824248518405766,-0.00951704604129,-0.03485196123867589,-0.014159208924709505,0.04468764417451834,0.023597343640312202,0.011477972684005697,0.0151441398964756,0.01634554316969569,0.08434133415388548
WNT7B,-0.006556349297461701,-0.031888997278926294,-0.022983453914250274,0.028396504763449522,-0.02697617862123243,0.018577331044977614,0.005454135304162854,-0.0806886170157905,0.023740673143038456,-0.015116034573743229,-0.05455764847322235,,0.04601084115666781,0.008603928251250873,-0.0033439372083019434,0.04636871906332101,-0.0009060241511098497
PTMA,-0.04738090008348801,0.013999951187331295,0.011055443491270876,0.13855231217293346,-0.0400163393938082,-0.023531998552348072,0.07939515309275241,-0.12117594193776629,-0.02767162031578753,0.029064640754469573,0.04182516911807142,-0.08834842477658661,0.013045440832235803,-0.04000653331452376,-0.007317934735666289,0.023431528313212432,-0.09397182665829804
FASLG,,,,,,,,,,,,,,,,,-0.016487528471435153
CEACAM1,,-0.023289245028324104,-0.017638418517517854,,0.006615848881245632,0.032477295369468744,,-0.010215350180958805,-0.04305223591168302,,-0.04108327743392025,-0.04497425220521763,0.040771134569305555,-0.018763785072176246,0.1618652334078375,0.016983614178535333,0.05159063237918866
PDAP1,0.04592829320406068,0.05063047075882565,0.047754478171227153,0.04908402505080891,-0.007288855642746875,0.019575287286577623,-0.011070842140780688,0.17379319777810065,0.04132834047401433,-0.051196057978291985,-0.0037685872184186568,0.01448255927663433,-0.01696343349499373,-0.021772201278573468,-0.013949618515109239,0.07811332474052383,0.0016773929079056627
QDPR,0.055561387151653714,0.034564154076559335,-0.024610681574905344,0.0736311266077373,0.019510366774482077,0.04182431159146797,-0.007926268707653972,-0.17261271192344,0.005410074524770511,0.006511273300812548,0.17091756181466244,0.014290330427638186,-0.06656317562901393,0.008659275755415766,0.04723605085016206,0.03261996383991858,0.016249598245312028
