,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf
IGFL3,,,,,,,,,0.0981028088285691,
BMP1,0.03655410960766708,-0.008735055980444504,0.00274083953498629,0.02987965970689931,0.07616578693158779,0.0488941106625321,0.04579196174706078,-0.0018810576352480117,0.04437526984562269,0.050970018577829575
NDP,0.026394090586934447,0.021842140657432386,-0.06503329192278183,0.048095041406300984,0.04128908526535604,-0.06318905468824007,0.05738273310414235,0.08283432667494474,0.02893954430202771,-0.02088275061127519
TNFSF18,-0.011674763952453069,,,,-0.04352269688758497,,,,-0.005650346082161353,0.0012539211325392145
IL36G,,,,0.01984897605439067,,,,,,
RTN4,-0.04234455477161957,0.04138727515073111,0.03781231819165926,-0.06783566770087177,-0.062319846663886756,-0.12091164827970634,0.01565174583861563,-0.08879621574508646,0.009363229732235651,-0.021982170327859814
HEBP1,0.01618523239418895,-0.0673116934185033,0.011617755179751539,-0.04658623209315601,-0.07220465569136947,0.09697311990611614,0.050452657958539954,0.047870750703025,-0.057981302246997005,0.059682675703695544
WNT7B,-0.03346462409320398,,-0.0070206029829575165,-0.020041383352788957,,-0.031398334057219666,-0.03673613807417901,0.01994890255474265,0.18109754110456738,-0.03112854930721193
PTMA,-0.008723272883663456,-0.03913375088278905,0.06412526663210923,0.09561158099210619,0.10048913391955028,0.026237021255885257,-0.04171597998997701,-0.05012599233490336,0.023941869694564973,0.06102144747184986
CEACAM1,-0.01836162237105636,,,,0.0627365224347425,0.020913591827500643,-0.02058507005787378,-0.015399751345296819,-0.036622503227019126,
PDAP1,0.009342542123979287,-0.004039385291384581,-0.0014810185167370203,-0.00016510508177595558,0.02236606003090412,0.04422655186952073,-0.006859175588070391,0.05652125627316442,0.04981523520235131,-0.0587327428066013
QDPR,-0.05882871118594779,-0.06346485967241125,0.009823068966565714,0.0201747948302565,0.0047586046826431595,-0.049493592419949765,-0.006598437069289357,0.01644569341877389,-0.010038153166844654,0.03799399760853727
POMC,0.026364077393278857,-0.05754512905778035,-0.02143501924119486,0.015434925720399123,0.09088008239928617,0.03224959866672631,0.02886682272057071,-0.03607611917939431,0.026382943876892426,
CCL18,,-0.05317154702020161,-0.0017500753978035772,,,0.2294145425564295,-0.03767042569720903,0.06490789277751925,,
CCL17,-0.014560703655432758,,,0.06579346631401765,,,0.19633422096774045,-0.022230507854607503,0.0005426848421590785,
VEGFD,-0.0155131981836042,0.005811781247631308,-0.022374595442468833,-0.017852222696973816,-0.04160525301274267,,,-0.015399751345296819,-0.034366216212496054,
TNFSF13,,,,,,,-0.028023095170509535,0.009471377134951473,-0.034942281946398646,
WNT5A,-0.010477599749350901,0.05549288609570144,-0.06103843725971389,0.032222701779607336,-0.03483730497055896,0.047489749843717496,0.03109472469820145,0.011104772809263684,-0.05901891330456801,-0.05334603189377959
CXCL8,-0.04263563224060953,0.006862564508188011,0.021980255282438264,0.010304816049540696,0.0268904316190138,-0.03515127929366678,-0.017339823826093073,-0.053786171173846216,-0.011685890996982404,-0.038437852221222625
GRN,0.026634632034285552,0.013513854317491403,-0.03489473174537765,-0.016607499000490907,0.0202621916748079,0.05265114195464626,0.037092111789716393,-0.003296157482556162,0.04343665597647419,0.05150124811072981
MIA,0.03147148011131828,,0.008513746928302658,0.08707539187247162,0.008567807838740081,0.023665122828554683,0.04507016845568935,0.10184655214497909,-0.03533477143858315,
COL4A4,-0.015201825105098968,,,0.01823012423415044,-0.032577732492458815,0.148081104325047,0.009607421523983821,0.043888618218256126,0.04639359980810478,
TAC1,0.027239448518985944,-0.04643695258950673,,-0.025968689416174546,,,,,,0.015684323762245843
RARRES2,-0.07134372251241052,-0.025461872185923835,-0.0017666806642143592,0.0444595974691647,-0.11729717604828688,0.043325547205409036,0.030568062190804216,-0.008679002211163156,0.024304943837904294,0.032833981938323265
FGF7,0.017588132950239168,-0.010529974066618514,0.006728247730435466,0.08200685350335006,-0.01044959041019751,-0.02141881329841365,0.026933730620452442,-0.007427723159253399,-0.0549400286150274,0.03854954252149529
EFNA2,,,,,,,,-0.014636433054956832,,
HBEGF,0.05322835855604144,-0.00227325610182293,0.004508251192693296,0.017996394865048043,0.06482589942297987,0.0040949847619283514,0.014139800975937073,0.005360947298502641,-0.014630518471257781,-0.04555619735755734
CSF3,,,0.03642499743362256,,,,0.01684702943503465,-0.033904376247667956,,0.1518813300264787
PI3,,,,,,,0.02519174754717609,-0.029873616429428426,-0.027685545782557462,
PCSK1N,0.07592769995552844,0.09349922682763831,0.018746928868020006,-0.022548567035134717,-0.023184097298159123,0.12466272976838923,0.040039941744003826,-0.023543766254568905,0.03770681171305459,0.026118825888073488
NTS,-0.017366318083614038,-0.018655738850842027,,,,,-0.034069870406015605,-0.017831716217815763,,
