,MGH258,UKF251,UKF255,UKF259,UKF266,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,,,0.011038632624540292,
BMP1,0.0741627983794833,0.007250723937395531,0.018906476567985688,-0.01587296557469106,0.06528288489521845,-0.009366263486649212,0.0536537058133061,-0.07392191456445489,0.10085707792130852,0.00620109901859983,0.06966325351722634,-0.0009463214703269333
NDP,0.010887041697246622,-0.009260997411189522,0.08357151288095477,0.0018298724099057014,0.00911612999994141,0.04513608170143571,0.07095303552906766,-0.05623585996482464,0.06347658787317755,0.10073695738330354,0.039200186056800736,0.02054136573174171
TNFSF18,0.01592858037658033,0.025167428550261203,,,-0.011440817886398193,-0.013506325325882383,,-0.003571071052818697,,,-0.018327149231130605,
IL36G,,,,,,,-0.028191283230812783,,,,,
RTN4,-0.03281872518294257,-0.02855616311244884,-0.04832438656166772,-0.03789592634531036,-0.08071733889452198,0.02963569161164596,-0.09050466433859505,0.00912921350922161,-0.043322990311716,-0.12925403251910764,-0.06729540272330034,0.11051946670674395
HEBP1,0.02583594772679988,0.026600111249314645,0.05036677558004247,-0.0210385233600195,0.0769789911014881,-0.027973831912278573,0.05783568141354529,0.029553806653441955,-0.023956149779258994,0.052322208569427986,-0.023482364772032725,-0.03128494744984325
WNT7B,-0.02057780395428135,-0.008471408360030516,0.11614502100544577,0.06579475378330533,0.009741366744523944,-0.031175905776555032,-0.03192490771545573,,-0.014175105804545455,0.05267121004271906,-0.03832355167008841,-0.015598232069449089
PTMA,0.015026166491244159,0.052593430732536535,0.0698631410488539,0.036276022113561214,0.12497704677069155,-0.007306898543209861,0.09850382743712019,0.08180552683257743,-0.13537906891602408,-0.05594989319095587,-0.025733735947431096,0.04593208175140272
FASLG,0.07104465545570507,,,,,,,,,,,
CEACAM1,0.06992178979114899,-0.017516057669390846,,0.026000069021109486,,0.006047750132871328,,0.1326255147147391,-0.014682215751306665,0.07862045498813741,0.04824176007043277,0.03630807062963107
PDAP1,0.05311446454149308,-0.009154233320538763,-0.04663232560889788,-0.059274822903983414,0.06239420516935571,0.013710504343620988,0.045875680664280376,-0.10403811195898695,-0.001165919010905737,-0.11821218634551205,-0.05005479704327364,0.0211581077527564
QDPR,-0.036880505186223184,-0.012460338790667533,0.0638804240811472,0.018723335697072994,-0.05017602312074934,0.02393642442466098,0.009358193199551619,-0.10233175814230516,0.06120768164550889,0.11736747098098314,0.03811281692459983,-0.07233039587688808
POMC,0.013662454461797187,0.033086115845844276,,-0.020737078510984858,-0.030183185087592886,-0.015671671853105917,0.00043581724767797163,0.05389899085154388,0.01156561267614184,0.037928142975482304,0.056805216742701024,-0.03717257201443472
CCL18,,,,,,,,,0.1113027457365018,0.02964885324492749,,-0.030932282472736838
CCL17,,,,0.0244249741778827,,-0.016845017282145363,0.018100700005203772,,-0.026450238323504585,-0.015644227024081837,-0.02343033177810831,
VEGFD,,0.07940637304330915,,-0.035826260219498036,,0.04512014436491554,0.0036356028512126988,-0.0536312866143574,,0.10292379227024599,-0.02471176826996162,
TNFSF13,,,,-0.022181061970876558,0.12008992797907425,,,,0.07391961165714453,0.028604694428350924,-0.025126000748639035,-0.03467129575071153
WNT5A,-0.047506288967531785,-0.057861856515302346,0.06051721580805293,-0.004062385072657689,0.11020905937450633,0.06121656638358361,0.05546491658101718,0.04561364096622599,0.007190112959298178,0.0419830637587679,-0.0033956289491931056,0.03775990328711433
CXCL8,,-0.009283548375015223,-0.07461030660349573,0.03904237149865444,-0.015782211848914273,-0.015627226261854168,-0.027349426647196775,0.07935819905995103,-0.025265464098630345,-0.1622247462617849,0.025739316157726497,-0.05032859896822347
GRN,-0.0489080060088552,-0.04376683965137971,0.05816434612953267,-0.07775924762175558,0.07608935371360573,0.01250392682944265,-0.06680694459861251,0.03299579756349107,0.0392545774945168,-0.05102762501542439,0.11101750941708172,-0.09009838399066773
MIA,-0.009907996638878149,-0.02231172472014003,0.009136194871820852,-0.02091159976577517,-0.020062273477306825,-0.016447714177453894,0.029586186377447705,-0.02767287053047976,0.18500499311206312,0.2555411518422095,0.07886344999544426,-0.030284319651188624
COL4A4,0.1108365502158114,-0.028648346830889564,0.011079111327201982,0.05612111322338723,-0.01055659894668045,-0.017586719205015824,0.0104767635340802,0.04829824716891133,0.11893724750120745,0.026709950614275398,0.024543722886350303,0.0013634168547482929
TAC1,-0.02057779857603421,-0.04854470442201263,-0.020060343165751365,0.025320615720490634,-0.054833247523782505,0.09508865894290977,-0.07209970596169228,,,,,-0.02045527758677003
RARRES2,0.005369570326106221,0.029775506620686235,0.005564021463073304,-0.023322327260452178,0.0821538354067212,0.013117023254386267,0.12056715615353415,0.03718962980006803,0.04232141955622616,-0.0525449329134946,-0.03462190129868704,0.0016998541617203177
FGF7,0.04659236459182785,0.018051568111045375,-0.016719602288188102,-0.045553301779416175,0.1306407628191126,0.015724674691125828,0.09303173755314804,-0.057840127263978316,0.022932610604644337,0.13209146303557576,0.05255067114420936,-0.030914040541034696
EFNA2,,,,,,,,,,-0.04909509559512655,,
HBEGF,0.00710278045099553,0.037302098532799824,-0.03784833283368651,0.035632649486848265,0.07891753592274921,-0.008428146547019844,0.10295105052236846,0.04081388947447546,0.028147711933975042,0.05986894129137246,-0.011099523463618822,-0.06407877064063329
CSF3,,,-0.029383922535993832,0.10184753578515578,,,,,-0.019331405279809442,-0.12251966274830944,,-0.0018826103405771538
PI3,,,-0.03644401386020367,0.004115205635836696,,,,,-0.04693349663921635,-0.20147740093443917,0.1528517749327062,-0.03612653597922542
PCSK1N,0.010127673659561498,-0.05552031609782015,0.05093646692905486,0.022136502852987527,-0.04682426883439065,0.04785519715200754,-0.10195645435615228,-0.015046870603779594,-0.016304797889586588,-0.019319164898364397,-0.03338017053486421,0.027866407712477184
NTS,,,,,-0.012887208768286822,-0.006630271196519745,,,-0.04859563852733884,0.003040178634199799,,0.008958095788815758
SFRP1,0.0777587098359483,0.009171326113210693,,0.015570050522631603,0.07813459550289228,0.043204652094446266,-0.0205412989516617,0.01961370108002047,0.05742035088891085,0.10138751941191021,-0.02377279345791666,0.0848873315930682
CXCL13,,-0.0348409325124388,-0.02133620454889301,,,,,,0.015552249758628758,-0.03294396940482049,,-0.00194805996082076
MICA,0.03281175098250287,-0.014667788238687689,-0.021816191625510465,0.04155642407104439,0.026612322510255974,-0.010100337594340054,0.06514738178836132,-0.07503690722988753,0.04488704382821231,0.0772000423354028,0.031200964352218297,-0.001988881319866934
TG,0.07142203324706606,0.04298452322205332,,-0.020596906386467523,-0.014875236157910407,-0.01697071743746214,-0.04425163229077747,0.01716673366921567,-0.025129463069622077,0.048237434326396586,,-0.03760130295946726
ADA,0.002201717080938903,-0.02881000547260548,0.0819501493183988,0.009089687621353294,-0.003063118658262247,0.010264793298253088,0.06183976336374809,0.029589729031450168,0.02614835170504416,0.06068025501171335,0.025394159769587955,0.026615750888178843
LAMC3,0.0850446252734241,-0.01930307695741082,-0.035124862637979135,-0.0468072631408868,0.0656342751023682,-0.03209245147863393,0.04892132582223282,-0.06307295410014382,0.08830259555922215,0.05156440383465584,0.04852142744980106,0.04825786104395304
CCL7,,,,-0.021891748914867244,,,,,-0.002349475986839149,,,
NGF,,,,-0.050159588179158755,-0.0141949650862164,,,-0.025223043897283748,0.08057422496382576,0.0517433502562729,,-0.06772837853415008
TNFSF15,,,,-0.024377533128428462,-0.017235799620264926,,,0.0076513622029234585,-0.04976600652371439,,,0.027039665454777158
HMGB1,0.019525614967404598,-0.05128568451656877,0.026367777540362652,-0.013801126874439913,0.03107011877979649,0.030856131988235308,0.04743373952599468,-0.038438123957915765,-0.041255880963830864,-0.05470317864104133,-0.01787037602128829,0.01907858721352132
