,UKF296,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.05899227664850084,-0.010832957672196756,-0.02362656325110653,0.054609835911154696
NDP,0.09311463325544814,0.043370753372099405,0.009723223666442187,-0.03905008677898386
TNFSF18,,-0.050146437201065916,,
RTN4,-0.09753401489571098,-0.09353077777844171,-0.00047411465830630664,-0.039466150328248656
HEBP1,0.02502456171745347,-0.10241522715666874,-0.005228615529479293,0.01695987128859103
WNT7B,-0.042428432126717146,,-0.01906034810036317,0.015995599060984904
PTMA,0.05902163299317683,-0.07727263259686219,0.015867282376785904,0.012660597845277143
CEACAM1,,-0.035261455923455635,0.0914105131746989,-0.01351765766452986
PDAP1,-0.011720516460918323,0.0625649305826459,-0.019386376869535205,-0.016598749666469233
QDPR,0.02318530390278196,-0.06302113680347446,0.035480605786064615,-0.035578173113974716
POMC,0.010551735594270585,0.08644984551848955,0.09318439282050421,-0.02211311218353496
CCL18,,,-0.03760517301942011,-0.046551375588747355
CCL17,-0.03607616854334376,,-0.0035819921293968903,
VEGFD,-0.008329313272393328,-0.04793717661446436,-0.015399751345296819,
TNFSF13,,,-0.006869765491111979,0.034350637244045946
WNT5A,0.12367250403354711,0.08179148186222616,0.011385609462871411,0.00027522248136881974
CXCL8,-0.001320108587007782,-0.07613219792952004,-0.07631603378572961,0.03351702765835089
GRN,0.047526091765053825,0.022710423768276443,0.016198229115386115,-0.017918415772716086
MIA,-0.014817922660462075,0.005728041927064758,0.06002043606993947,-0.02550821208548877
COL4A4,0.04742505061023479,0.06282004572953226,-0.024657409792196005,0.0016512845184225016
TAC1,0.004877701599639941,,,-0.02332181041532054
RARRES2,-0.014805700032460397,0.00019263556018916258,-0.043508425751326435,-0.011668155019535368
FGF7,0.026916220752150468,-0.03538242539735518,0.011492159808413022,0.02817893619274251
EFNA2,,,-0.014636433054956832,
HBEGF,0.05054895670758336,0.03956134983389796,0.016643672762877135,0.0022614607818104426
CSF3,,,-0.06288525189249945,-0.0006607376275278397
PI3,,,-0.06746621422640725,0.0073773631971028805
PCSK1N,-0.08524996957254041,-0.08257497096340367,0.07179817884605114,-0.028977380330984886
NTS,0.05723472986880088,,0.004732878824991497,-0.02590931834049907
SFRP1,-0.02511841461785336,-0.03178837021961628,-0.018389179328488638,-0.05524118660582361
CXCL13,,,0.007354216099989088,-0.03161184845612294
MICA,0.04997582903701631,0.011952460943896603,-0.006983324958175772,-0.014926752380175462
TG,0.0007519962939335288,0.09064965949595036,-0.021961707821728054,0.031360632539670266
ADA,0.01823493895555854,-0.010363716524478346,0.03659840554943108,-0.04315842202896559
LAMC3,0.03228329182026497,-0.027853573966814874,0.041975645829933114,-0.09747870922981329
NGF,,-0.03845532173406874,-0.01443969477057573,-0.03327020987398998
TNFSF15,,-0.05394120490051917,,-0.012034280134144542
HMGB1,-0.005524354399658743,-0.08468229593779793,-0.03280155691780245,-0.058584982413590614
ITGB3BP,-0.020541095431055527,0.0057782358111362845,0.01839364396327974,-0.04084907824682209
AANAT,-0.04068958991332585,,0.021306418467311253,
RELN,-0.020115744568828028,-0.04444499373549332,,-0.014536106219093087
