,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03280879183489037,,,,,,,,,-0.010384026580268034,,,0.08195174397444072,,
BMP1,0.011369748580296133,-0.02529454865825444,0.2605916339421884,0.052110571313828416,0.10320533439881552,0.023212047778448184,0.020775935906213537,0.09425824859181997,0.09028205842348842,-0.0718860695906256,-0.0006923685623768575,-0.028787054825294443,-0.03819186871773433,0.07290887640322206,0.1857105137853974,0.14063859394757022,-0.06687690191424656,0.1324013494117034,0.08529241550494226,-0.017753367342160122,0.06406869671545798,0.07252400822976457,0.05114424816385388
NDP,0.07263125509827453,0.02123648681905517,-0.02963005379939654,0.0024130978839375463,0.0023264970293082896,0.017352200403613346,0.03967620738242793,0.07231594001021646,0.08017466727138256,-0.0016192563452861843,0.027504550010889833,-0.013672367207927472,0.03906146594519769,-0.09016745270186788,-0.08460658093604762,0.024394030892004048,0.019762933940523347,0.06214487007768641,0.01760538708736433,0.06846355485825992,0.02917046224589406,0.11719520449109418,0.13643864991466786
TNFSF18,0.05152796101871954,-0.019581143031639898,0.1518337589213917,0.0069711812194903884,,,,0.010001526773223735,0.18267359764921182,-0.013917387972255656,,,,0.05033667230864828,0.04945101638562578,,,-0.03454810163676861,,0.19032184870257227,0.017658892120090117,0.05898239292971243,
IL36G,,,,,,,,,,,,,0.0026750198423626114,,,,,,,,,,
RTN4,-0.06778519778215703,0.042125813127096935,-0.03594334754887134,9.796645916517926e-05,-0.07831083046596078,0.01853470867331547,0.01499449514683101,-0.040327001454261456,-0.08396713875543879,0.00726136943451483,-0.06341306552373183,0.135351388436334,0.18430251670940245,-0.008661848141459788,-0.048068478194401715,-0.07662748895452288,-0.02971735829793928,-0.13666852201424176,-0.02386726934507245,0.021301602488358246,-0.1248364083864587,0.04667482125444931,0.01995336430917774
HEBP1,-0.01158993873326635,0.03769427341666322,0.06273281403992015,0.02181524699162169,-0.029891986238238934,-0.001088043137467509,-0.05548432800595224,-0.044998367659002766,0.01813075909216399,-0.039711470461019055,-0.03726501589939657,-0.07663734407906225,0.03350828537939256,0.027003138104551277,-0.05594896326580082,5.271367914185201e-05,0.047606313785065774,0.04649491931166605,0.010034207755636865,-0.00847726745963457,0.07108426716835724,0.028291559655175366,0.03792632150476307
WNT7B,0.11647283956416689,-0.002301042232773467,-0.01920237766255116,-0.029736560205693808,-0.03439831303891874,-0.01208219378149454,0.018975760177877502,0.05565320980832015,-0.04536812755333847,-0.017125647911173887,-0.02872817128194468,,0.06151668369022612,0.03988876323589713,,0.0075656292744560065,-0.018350310996999658,-0.023478184519206476,-0.03669046210927537,-0.02844584281292034,-0.04341996784822284,0.031999479757969046,0.028843992703482108
PTMA,0.018436098544399985,0.018792604419867204,0.12227906309388464,-0.023555225542451003,0.033013120561184814,-0.06789029392363613,0.015021384599082869,0.013908089962169854,0.0007291984491171683,0.0328280400403075,0.07209043624353499,-0.15205026759276985,-0.17391369136068383,0.18654485293662668,0.07012191392242295,-0.15528680998188404,-0.0688562356902415,-0.09238653105140848,0.028520734315532953,-0.0049930514002610804,0.025758433511867074,0.08101855074459377,-0.05669472192590754
FASLG,-0.007795717952859193,,,,,,,,,,,,,,,,,,,,-0.01728768975492197,,
