,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05671830939566574,,,,,,,,,,,-0.02168418107301796,,,0.04225270860183542,,
BMP1,-0.03961499632616956,0.012348857149924302,-0.012467546888728394,-0.028460983259669347,-0.05978303536311259,-0.06311289913812705,-0.11802466832972994,-0.3755030410729594,-0.12315254332761012,-0.04135049932753932,-0.15911085979999862,0.09090813221678097,-0.26458260200269373,0.014440407836814753,-0.016537077266413274,-0.04866570217566351,-0.07179483372394713,-0.13737710855788174,0.04439047998967568,-0.0010660050225913048,-0.10017003448593191,-0.0017039693992272086,-0.05440489162921916,-0.045005668739611204
NDP,0.028344947558480906,0.05442975374091531,0.02112685283293205,0.03576201591801834,-0.030878886312367293,0.19481020962628173,0.038831589564193164,-0.08261148654467815,0.06787161021690506,-0.025537451325334477,-0.08284139071571354,-0.008395164938575627,-0.0465906247381021,0.07246329468534006,-0.015098341374246038,0.04051583698636323,0.024454851091857646,0.1349966147746927,-0.019488233936382302,-0.09455861004089033,0.13207452236316666,0.0613425401602811,0.04537978426823785,-0.09045184471694544
TNFSF18,-0.028592013117958243,0.03021727554216694,-0.035962001753831276,,,,-0.044007218332638945,-0.08422498672225559,-0.04630429852042499,,,,,-0.028742987402802643,,,,,-0.022362513192330576,,-0.036035397839163145,-0.022170230572081562,-0.10424916769404241,
IL36G,,,,,,,,,,,,,-0.006671790082440971,,,,,,,,,,,
RTN4,0.07641581298290948,0.08136330314029828,0.08332320273651016,-0.03877977951681467,0.043037128873729506,0.21453149787603396,0.3575348471589763,0.5097481138914467,0.12974929945938038,0.1779007704855893,0.31770585463186407,-0.046079476968075045,0.3968624080607989,0.04627163675437708,-0.08181493457493445,-0.016715034545521656,0.03741697517798508,0.05313416461142907,-0.007566404355037598,0.17256017822168093,-0.01632998898015711,0.02131811950503513,0.35310762573189003,0.06400461955815674
HEBP1,-0.02399395765871768,0.02651569951632915,0.0968376721322696,-0.013109885347179214,-0.016449904795640822,-0.03398502641870726,-0.14506516322750518,-0.16620197999319744,-0.015306512768257617,-0.0305988651349588,-0.14374476410180417,0.005403612202663072,-0.026447937111168905,0.08768998815311486,-0.052866074404586356,-0.05899618774807937,0.14552219829488647,0.04928491828621951,-0.009623071356829093,0.07378905375879927,0.02661195772621329,0.09319229511187237,-0.018936577175020855,-0.029114642390565472
WNT7B,0.13808817337815174,0.006762799624333791,0.022534291839193844,-0.01045371367733817,0.06963909635699336,0.007202438296154411,0.096482031632941,0.3958412339708596,0.030115069782816896,0.034726323132390345,,0.03662802813533339,0.14950396128745633,0.1607226340282677,-0.041595466512950006,-0.028759195492610325,0.03839268045194514,0.04581608839947637,-0.0029976964339922868,0.02330525249718854,-0.0042677721765829145,0.005613087043821786,-0.00645445862878147,0.07938198900334194
PTMA,0.07159164011510534,0.08427530043289176,-0.02239944994108035,0.04868091288845444,0.062398157115362715,-0.17496173828564557,-0.37551724400005193,0.12436184085887915,0.08745302145463217,-0.07328915148533276,-0.4043368776914148,0.15931956997319469,-0.424496992348633,0.007897978177561108,-0.07076293474928896,-0.014055446527094787,-0.18508021615204434,-0.012335679095671591,-0.0037766365203337556,-0.01207203037234804,-0.09650545110141209,-0.08445033445622442,-0.1086031614327737,-0.08170312762690403
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.025514235156812837,,
