,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.013421989358510078,,,,,,,,,-0.01660306462394598,,0.0025059506220084554,
BMP1,-0.046316112695578886,-0.05841420858295351,-0.01108138873283341,-0.0016936648804233606,-0.014089324503684282,0.010734431866210207,0.06401407635319918,0.08677051809620209,0.014221712019716386,0.0005013719727951182,-0.047979945435974225,-0.0632336642349129,0.02387895303791321,0.0621251243200562,0.06242682592372719,-0.10116334049874262,-0.002971986794813237,-0.01820270103224991,-0.03003887967658801,0.05172832942020856
NDP,0.016215778107984108,0.01884275997358057,0.0498631859392241,0.0490594523861645,-0.012975671827484516,0.004627530907232874,0.00352478453502258,-0.005433951799951939,-0.04270677724035397,0.012455384541990262,-0.04061605140797427,0.02271292015766791,-0.011765839197989379,0.04936034370538213,0.051593439016434484,0.07724990478064413,0.012574226012487233,-0.07247107996202186,0.011360684094504069,0.0411080307667814
TNFSF18,0.10432816959360265,0.044416012398490724,0.03681934492940079,,,,-0.016264937687168267,-0.01993125125822517,-0.017968898929526786,,,,,,,,-0.017122447485374837,,0.00044099075366921383,0.058174543646248765
IL36G,,,,,,,,,,,,,-0.02982151319956852,,,,,,,
RTN4,-0.06053317932592204,-0.020668023622434906,-0.00477833333202219,0.033974040956804535,-0.0081284149306897,-0.052386774654290265,-0.06497690067394056,-0.037766859922015984,-0.006501439157804979,0.04781366847019766,-0.022304087404894802,-0.03061409275936694,-0.06728218936937785,-0.022665128720607376,0.011878293993674204,-0.015136357514943171,-0.029943761149691134,-0.029101336964357755,0.052985365382415425,-0.09927725729666774
HEBP1,0.10537939280475217,-0.02829834292830418,0.020050900635674194,0.04917458861177488,-0.03307031395930102,0.0002014100547030557,-0.013460908272152353,0.07027761924938028,-0.0020254493712725803,0.014898132869153804,0.015817051042091874,-0.04274404692382813,0.04571647829949269,-0.06004804133105551,0.037298961340507,0.04592691622277986,0.0063691010515079536,0.0009310182336040293,0.0283048611469662,0.09112794556345064
WNT7B,-0.08004238394763269,-0.006666623121043303,0.022961855899857907,-0.03394589893705052,-0.0446241995575763,-0.07212340672145233,0.030033656089584384,0.0038132589698262925,0.029166092943770896,0.0870494865770448,,0.05932307738587207,-0.0110065112831325,-0.03139837175171816,-0.017208596326538695,0.036776467018275374,-0.004960295702154236,-0.03366752341364573,0.004970080328886303,-0.027103859887359753
PTMA,0.0005944029463033441,-0.07624603649893884,0.04138282057903719,-0.06850319231510686,-0.01378102629638979,-0.015591713558094777,0.04687946286265945,-0.12233638557552452,-0.029104596724409657,-0.0005600703087342362,0.03240119907347608,-0.031533245232116446,0.04678365588240672,-0.13479666007894517,-0.03901065261802463,0.05781242882372696,0.0312955735429278,-0.05751192244007166,-0.005401785674900613,0.03013644208071641
FASLG,,,,,,,,,,,,,,,,,,,0.13127159180719541,
CEACAM1,,-0.026441406939079048,0.030259409919407083,,0.03535174304177018,-0.02838081577011336,,0.11265356205486149,0.032543182703581086,,,,,-0.028158562705595063,-0.022814248579994582,-0.030734804808826892,-0.02460316942877098,-0.014676372381958708,-0.00839761644983193,
PDAP1,0.03233160245230099,0.045402837987412625,0.03241108348731689,-0.0012100470461558514,0.04296714277805852,0.08055736816386358,0.056731432855650896,0.0811091448974967,-0.04811112942680873,0.005722218761113342,0.03740628653988411,0.02390235354292249,-0.02085738760494334,0.0001072803198510219,0.010145203035583302,-0.008098982738005077,-0.042199913780613184,0.03138615898081287,-0.0007870766570393245,0.007953429810933119
QDPR,-0.041878860442951304,0.04134010132793143,-0.03653030098281108,-0.025334735655059594,-1.5589076196672326e-05,-0.055866154982433,-0.04252735438137048,-0.08810308026791988,-0.01257860459571028,0.04187866607799483,-0.011989628801160659,-0.007556104520013064,-0.021400769617233674,-0.07375403944007336,0.07499800297109228,0.05857909747193437,0.03626504350958153,0.0031485446296665356,0.11338976820381541,-0.11304037048369464
POMC,-0.03917378414110721,-0.051159328084199214,0.14161561467629222,,0.06129980472752441,-0.017894524384887242,0.035053570788868206,-0.03380985068292053,-0.020849689370766925,0.01502569289278651,-0.051126073039349365,-0.032879171349540735,-0.030470517626678583,0.11004296054927153,-0.015084965919442401,0.0040098814026482375,-0.030645638277844826,-0.011254975428874447,-0.031750891217724626,0.014380462993355094
CCL18,0.013174660166678046,-0.032996377569359046,,,,,,,,,-0.02330752894557505,0.006837435497185421,,-0.019964883929448833,0.07071324831827304,0.050428109373469816,,-0.0039092192477325925,,
CCL17,,,,,0.01932428174272001,,,,0.02684002627339958,0.026043521667601002,,,0.025910333541145053,,-0.024876787129997406,-0.04436762025518832,-0.021890181630327653,,-0.02191167979886823,
VEGFD,0.03241583286326166,0.008845800656520124,0.03713835336774818,,0.03798224997655207,0.07353864653424884,,-0.004500050714094347,0.024941729952274786,-0.010357099465080684,0.02943638583934697,-0.022214497253387533,-0.029196951424682364,,,0.0764702185139277,-0.023087385230346997,,,
