,UKF259,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.060740038023132804
BMP1,0.011240814060493326,0.05770071098082958,0.021170276170107243,0.027220501718085002,0.030624712151695856,0.043570605447914974
NDP,0.012172899604826676,0.04115415596772907,0.0414215448368571,0.024664627539132594,-0.028750897413658622,0.028340524842521843
TNFSF18,,,,,,0.05427741383112581
RTN4,0.005404702713472906,-0.01767161241129575,-0.01958559029750665,-0.0642588548504274,0.0475154156677028,-0.0013723227278310463
HEBP1,0.045924985338458305,-0.04910677767525886,0.04339586550920322,0.03476465762120447,-0.02471778286735166,0.023984171701648856
WNT7B,0.02155517217106956,0.047580993310713325,-0.0334858786319272,0.009515429159162132,-0.024159455749945154,-0.023354141995286955
PTMA,-0.008633701987706159,0.06194619805479186,0.005341524817666754,-0.0898553047008989,0.02617464834878445,-0.017588557127526275
FASLG,,,,,,-0.017673826186108986
CEACAM1,0.024228907445890967,,-0.0187637893835166,-0.01808102367201837,0.030383396317103725,0.044110333040773185
PDAP1,0.033390406238825665,0.021985803479098925,0.006890705867789929,-0.005370182379046972,0.006058712228212095,-0.03132741762651929
QDPR,-0.032472400208562485,-0.007055347502555086,0.07460966500969547,0.03896846640907354,-0.0709329080973195,0.05892339532901686
POMC,-0.026829560451599503,0.04893463927662426,0.015829631555653305,0.027732352572426174,-0.012332364417855774,0.028906791601181172
CCL18,,0.0670555474827946,0.06035644422579651,0.052236309149907546,-0.048048639557405404,
CCL17,0.0010666099218788918,,-0.013312000374670204,-0.026101092786988845,,0.010118540589529533
VEGFD,-0.018604480703326952,0.0103851223076845,,-0.01808102367201837,,
TNFSF13,-0.011518565903562625,,0.041842239406743184,0.030313689985138077,-0.018006210248312143,-0.010219590191381698
WNT5A,-0.053328171900837995,0.05556555103356917,-0.01213190714519079,0.027754963501206893,0.029546298322253146,-0.06950101113040562
