,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.012409753512873968,,,,,,-0.015610213934037085,0.027372747677383482,
BMP1,0.06430346662369223,0.09342577805253614,0.041833558208539644,0.06033843484492981,0.1064880125865612,0.1366334740032992,-0.014393931835592056,-0.06570884397147943,0.08898335341479084,0.02547844181343563,0.04388807552083542,0.007637315841545683,0.14305555896102365,0.014438929844352591
NDP,-0.011534950520806867,0.007158773466681941,-0.03878690485247903,-0.022483987969666303,-0.005099284363906783,0.03944111756734796,0.0027285593174226673,-0.04483099341990063,0.09327252996446905,-0.06546766360249616,0.0027855774222749975,-0.01682990404819562,-0.026182813800945018,0.013477078431036304
TNFSF18,-0.024278988567158127,0.04135313908657024,,,0.2001165662696931,0.022419539958241967,-0.011245537284956964,,0.22348898094039646,,,0.015057239203347788,0.06866157399575176,0.0074184451323381015
IL36G,,,,,,,,-0.012722255093147792,,,,,,
RTN4,-0.07239878295139608,-0.0441525513819543,-0.009660032944283314,-0.014626629386722028,-0.0872318478848992,-0.16747220999937604,-0.0352540861449676,0.08985079093410278,-0.06188327124444267,-0.005716762550863077,0.02461021840277273,-0.07052112722745321,-0.007261617801630245,-0.02021788273689932
HEBP1,0.015333573403456372,0.04516074032888988,-0.009206826449167383,0.022353604077355118,-0.042728576396384145,0.04515780922378553,0.03936037391220018,-0.06321513018011819,0.05858186412578273,-0.06494083641091812,0.004449682824082451,0.04209617521085213,0.02300046070896887,-0.029109243035688598
WNT7B,-0.02138902848859815,0.03675462197087171,-0.03233863407390126,-0.009800904060566768,-0.005310493999646298,-0.05783069298866397,-0.03223428580653415,0.05888848207646697,0.058489240940874175,-0.03318913306998635,-0.02084338406947402,-0.033663345491803866,0.12561799762889658,-0.027113041244327035
PTMA,-0.028716587070015575,0.06105356470409668,0.01145136060257515,-0.023740460962840503,0.0823249755772232,-0.08097550858832835,-0.01631817846538632,-0.0720727417588014,0.14102957363480179,0.016461730950901404,0.014942339626831903,-0.01032896352171117,0.0855236916718828,0.0004054129368204803
FASLG,-0.02138903453522171,,,,,,,,,,,,0.03783781828595276,
