,MGH258,UKF248,UKF259,ZH881T1,ZH916bulk
BMP1,-0.01973217395947662,0.031092754693262673,-0.024197535055733604,0.042645665855228845,0.02195100476747351
NDP,0.02819136733261727,-0.02289531026291687,-0.0426548843573389,-0.03439523280954407,0.0028519861782980416
TNFSF18,-0.01842261712806748,-0.02537346892623594,,,0.11871956513064111
RTN4,0.05916010599786018,0.05773372892512197,-0.10490423085772914,-0.03695865631303479,0.032143894633839126
HEBP1,0.051577709740649826,0.05880380138116613,0.02805485296298541,0.0891349835836798,0.050445780259930344
WNT7B,-0.016229748677413475,0.04538648906918412,0.03062380115811999,-0.02036667112038005,0.014862878427529327
PTMA,0.11087270350992263,0.05564564733206529,0.07630852453059624,0.038164395270866305,0.03417806344590506
FASLG,-0.01622975326552185,,,,
CEACAM1,-0.02253515444690113,-0.02248078357123195,-0.010022733212016794,0.09423570606798434,
PDAP1,0.02044151426215568,0.0268712543273011,-0.07539884520369214,-0.011274736325924854,-0.002460050428287049
QDPR,0.06786745840718149,-0.05512619462068399,0.00523736263681339,0.0006330678702239748,-0.0027787547629822503
POMC,-0.05261568091702736,-0.03221752532342094,0.03729680075412484,-0.022113109181438335,0.04450324159189763
CCL18,,-0.028053893821931773,,0.026425726623628614,
CCL17,,,-0.017096749487707466,,
VEGFD,,-0.01513078593290868,0.04068086435905318,,
TNFSF13,,0.12598640988653767,0.1592222631080537,-0.015179421508807068,-0.017404086569774678
WNT5A,-0.044219147056953824,0.0700589870998624,-0.05413898300171546,0.025237947753009343,-0.04594955774004748
CXCL8,,-4.526489543138761e-05,0.16744993475094933,0.03999078768120756,-0.054080525849749754
GRN,-0.02593476883123617,0.03142713672849822,-0.08503669206549132,0.039289149811763506,0.04895969192037708
MIA,-0.021243347173400224,-0.03534207361755411,0.057709027944670296,0.042258447123555594,0.05582796919052429
COL4A4,-0.018796031866375858,0.031003492261499333,-0.04120547514256926,-0.027242748630446435,0.019402992008953745
TAC1,0.0124969060373726,0.09359170286513609,-0.03325526887524936,-0.023321807249129925,0.050412799394403705
RARRES2,-0.003941796304110248,0.009927445678397737,-0.019647021724710733,0.020541043625639674,-0.059821315311890964
FGF7,0.05091919847301339,,0.02052025392407802,-0.02875617083144032,-0.020857401045271267
HBEGF,-0.031461973466133726,0.061041281458144275,0.08398812939090398,-0.04152808254786554,-0.054979997520482514
CSF3,,,0.3109902929375543,0.01940304889687185,0.053168037266409986
