,UKF260,UKF266,UKF269,UKF275,UKF304
IGFL3,,,-0.023464761594786016,,
BMP1,-0.058073398358116354,-0.013063855604234776,-0.24338488741067113,-0.04396429056598739,-0.09767294601037953
NDP,0.18727742176886122,-0.03982600296797274,-0.09012816782359605,0.02103665880047331,-0.09658940440562044
TNFSF18,,0.0008951854663875008,-0.05101994501965468,-0.012358477718348868,
RTN4,0.20139348903752205,0.0751487062989064,0.33478848611825296,0.10176800363732237,0.1941005351144166
HEBP1,-0.017051864121041427,0.017350423789243362,-0.13020577480631704,0.025960299699719674,-0.11049434710973016
WNT7B,0.04116488395966617,0.055990692032843715,0.26908474040680536,0.03242648737091662,
PTMA,-0.1405720735252651,-0.06730693622972725,0.07624304857477296,0.05751126927735356,-0.2021299312550674
CEACAM1,-0.02008637592741057,,-0.044229885420555975,-0.019436941240919568,
PDAP1,-0.06662519919484426,0.020793662470506423,-0.2079037592214366,0.023805589334848453,-0.12289824539937506
QDPR,0.1545354074674323,0.007979022484095726,0.006170225403411825,0.061399054774560057,-0.17285784538361623
POMC,0.15127819944990076,0.07914115516034934,0.018458176721218814,0.023937764316536467,-0.0596163245454416
CCL18,,,,,-0.05175596734515858
CCL17,,,,-0.01541342783648628,
VEGFD,-0.019217507233729676,,-0.05755812904540813,0.10277315385705693,0.03654830705946582
TNFSF13,,-0.026513617188671013,,,
WNT5A,-0.13579259452471926,-0.01024352045668873,-0.216666979098056,-0.0213807657011237,0.02666660862669247
CXCL8,-0.04672481937177045,0.004471000919402336,-0.05292158546832538,-0.03819842906089352,-0.07026575033702008
GRN,-0.0650123127778138,-0.04418006713316328,-0.22435738423506507,-0.006722930343688124,-0.11057686851811963
MIA,-0.04583675479173004,0.10129727675273033,-0.08433380472550255,0.006952910232125172,
COL4A4,-0.12349038994014044,-0.025226535372387216,-0.03385682509270409,-0.016092095532272158,
TAC1,0.2523901320617555,0.04649506396054295,0.3524383854645272,0.05333751187480218,0.1504739848452914
RARRES2,-0.14916520521186533,-0.023532169042128175,-0.28974233663060234,0.09967827958149657,-0.031412266058808286
FGF7,0.05356518035565163,0.10413965119886623,-0.027012038519319055,0.012641292782473348,0.009632992869061116
HBEGF,-0.08645266598420084,-0.017790765069163706,-0.0852965877740024,-0.042449648157008336,-0.06194843061881225
CSF3,0.014376290766116608,,-0.03581986928511957,,
PI3,0.008942260217106118,,-0.04033364558614618,,
PCSK1N,0.08247219577041584,0.12241548326194124,0.15730112301991844,-0.028454770850003395,0.18610072452872412
NTS,-0.06437630358920848,-0.030795868014551666,-0.04402692817237507,-0.018383348559352034,-0.02776262815435339
SFRP1,0.09489847240978597,0.013030167205457544,-0.030308722033370497,0.020021375801552832,-0.05209614396193014
CXCL13,0.0446063987037747,,,,
MICA,-0.011256088809179767,-0.002931142085916038,-0.03930791162769605,0.01135184894052284,-0.028443708515202826
TG,-0.038480568285692685,0.008669593090005092,-0.004123301280374936,-0.015528445247306262,
ADA,-0.025780759243928957,0.05102076030027428,-0.18210755321795566,-0.014162183371998156,-0.07451057186646387
LAMC3,0.0782230299565735,0.03707408361221651,-0.13292478806723307,-0.03993761524686679,0.03410092558235989
CCL7,-0.028805742782154642,,,,
NGF,-0.007105191604947561,0.03501845129436341,,,0.08587291510682558
TNFSF15,-0.021327674205849034,-0.022335368325033682,,,
HMGB1,-0.023117134830538913,0.00249171296537068,-0.2283909782685207,-0.01616281135817393,-0.05243533802904993
ITGB3BP,0.03375458395910329,-0.0027314044188684774,-0.17123023656204198,-0.03343680281254009,-0.008945142197969934
AANAT,-0.019217509977137132,,0.007746251881360005,-0.013964821559419012,-0.004035385024266231
RELN,0.04465878134426602,0.027475307168151546,0.19366293907808707,-0.03074602921449222,0.03306869257586216
IL15,-0.052961849228054,0.06517023092180493,-0.08427892809044696,-0.03136036411121224,-0.033069226167064716
UTS2,,,-0.10658081796442194,,
BSG,-0.006014615657326382,-0.023720984015094638,0.17940151091616008,-0.027820474042006604,0.14740469936566036
ADAMTS3,-0.012116952614423368,0.02558697980341428,-0.242175342125977,0.00659457775698074,-0.014776935223730938
CD34,0.06672010612765585,0.026690529616766417,-0.13323300786122574,0.015529478672444669,0.001035503404370537
CCL23,,,-0.036764210316750416,,
PLAT,-0.014647420925005006,-0.025602515253604213,-0.24838945368256582,-0.08126330029033489,0.03427651435156392
LTA,,,,-0.013449578523734046,
CKLF,-0.13133476222758683,-0.04460013920917608,-0.24551292493328272,0.029107771636161565,-0.06260372304834522
CD24,-0.0679924591479993,-0.05355598896839813,-0.05799245408980447,0.006324797957334823,-0.019480464636569418
HSP90AA1,0.2077200695883783,0.07109204155538806,0.2772675135621465,-0.005987281651982823,0.20105551806350497
BMP4,-0.006960523406671399,-0.010945008737049625,0.03189708346416239,0.02123870083220697,0.06532967333461683
SCGB3A1,-0.007091924114753444,0.04475303651571314,,,0.03529304614284557
IGFBP4,-0.05043997892206949,-0.017848294801268507,-0.07902973350350859,-0.03303273531775438,-0.01833346449343229
RSPO4,-0.026413797200846786,,,-0.01564267861260217,
LEFTY2,-0.0015572942420484124,0.06647711647780494,-0.1553666993334073,-0.03852245301986015,0.010343051658846757
ANGPTL2,-0.06814171890749142,-0.03709607019979473,-0.19867212403865647,-0.007409259332636374,-0.050458976995300935
LRIG2,0.006410532511920078,-0.011715508827295242,-0.06454431574881736,-0.009339952866741741,0.08218234426778256
ICOSLG,-0.044263085482290604,-0.06542306081417598,-0.16057061355829502,-0.03171495186968775,-0.06607958996547192
WIF1,0.12294464921419311,0.08646652275124854,0.38603756617296286,0.1015699304503082,0.31137882895778035
NPPC,0.08018703771505432,0.037251833886932935,0.027371807638771874,-0.023546850584102323,0.03186890624397454
LYZ,-0.03866507168998884,-0.0008608241067090461,-0.13477122587981466,-0.03373666838121218,-0.1302367284976899
EREG,-0.03717047984987736,,,,-0.028559649870457324
SPTAN1,0.11123668583152402,0.06446618937361617,0.15966844909276248,0.037842401641168005,0.22265640928353847
LIPC,0.14886590706099542,0.05924174124226562,-0.05550810776908801,-0.029245580680696263,-0.04018298695328831
COL8A1,-0.11510407557656156,-0.028096580138206817,-0.07697376508749698,0.011443254967804468,-0.09669040604333305
GSTM2,0.020672044574543715,-0.02478329142274115,0.013513264944926369,-0.03719113985111621,-0.045424474976343054
SPX,0.14697629117965952,0.015059910145332573,0.09146770416548548,0.07352844701230167,0.057277134067004735
MFGE8,0.09704124372080813,0.01585187008011083,-0.09248757833548586,-0.025683508364763928,0.0908875664861669
TGFA,-0.07999729892252486,0.01512649220463091,-0.17003705770510416,-0.029812495104914186,-0.00435367063254458
SLIT2,0.07041356486967756,0.02237055134949346,0.22886004931740753,-0.012919107666714523,0.12093520562244037
PLTP,-0.10376272918358881,-0.0020182836576899395,-0.26841009775150887,0.016423441753013357,-0.1551643141107271
APOD,-0.08360737280307363,-0.022338275690571757,-0.29953859090722373,0.05024481204039424,-0.1340058137197536
B2M,-0.12687872780370058,-0.08722344058146593,-0.3402995252462675,-0.005646030663576464,-0.1994374754231281
OMG,0.05813923619769119,-0.009332841304479568,-0.06285422775101097,-0.012403633899998715,-0.09491464751102939
CXCL3,-0.058389390578861826,,-0.032367425443721565,-0.045578886351079456,-0.040204698520674514
CXCL10,-0.02371206893977244,0.0246579751635961,-0.2437100702976187,0.029201198903515288,-0.06471317642802059
RSPO3,0.21956743861108055,0.049035279339862126,0.1144358977577176,0.08114165532958577,0.07864111759025759
CORT,0.137157402513851,-0.009716771555230718,0.1310918195925955,0.049159604679965545,-0.034217562484659764
NCAN,0.16895042242991032,-0.071569354026082,-0.14968336816033853,-0.03870870415565408,0.13973719922437855
PRG4,0.0012556074852761833,,-0.045960512310923206,-0.01999072227618908,
ZG16B,,,0.015345451077630818,-0.010686911069430293,
TGM2,-0.029977168321065773,0.027962199442091957,-0.04896975636971463,-0.01477131085207445,0.023901474110209424
VEGFC,-0.028185304441135553,-0.011909700799325547,-0.03357009680004049,-0.028777214863323613,-0.01606581033871837
WNT6,0.12028481512422384,-0.01682002093727156,-0.045196145589125124,-0.0008412643174868493,
NRG4,0.0020809911168721356,-0.025853828043459627,0.011614941397734791,0.15529257812880778,0.099815115846693
PMCH,,,,0.020474973273455255,
COL9A1,-0.029662254558335276,-0.03192567241425409,-0.04979571532812119,0.01409046161740942,0.04705479600365403
GDF11,0.033261791392767456,-0.015598843215613433,-0.050837311026217,0.05370578399175885,0.11835605700040544
SORBS1,0.00330215964221123,0.011106425148821946,-0.031642494158630886,0.04186882089020587,-0.04725874075859059
DLL1,-0.01663668727987578,-0.009152720251891632,-0.07611651167033343,-0.04382289298708784,-0.08357572686085316
TLN1,-0.16590441974967643,-0.05469767750548755,-0.2772322599624515,-0.01142426477453011,-0.11707787097935869
COL2A1,-0.01635369300660287,-0.0325665803547742,-0.04242214518515955,,
