,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.04973148180850675,,,,,,,,-0.017325838607044404
BMP1,0.0295849328844505,0.022194068264281105,-0.0012669184207652212,0.008391756647067141,0.021527055445155905,0.11614477036567668,0.13519986327164854,-0.015391723999146857,0.08215722677785724,0.08717456777385275,-0.009249740970988284,0.10849963326050005,0.00682754953081172,0.07466186206901397,0.07658906647884177
NDP,0.026871540729727056,-0.003676644792799629,0.10847898156955003,-0.020932134168854807,0.012745385713456207,-0.011661993645829498,0.03151214319210896,0.08712291328039728,0.04234930942047047,-0.0873494880907524,0.008601364936413208,0.09043468316053006,0.06590971159485513,-0.03961991615223916,0.0326230522549876
TNFSF18,0.0287412983552571,0.030123433146660855,,,,-0.019054966997530304,0.11248247787647153,-0.014105909426731312,,0.12838512550869544,,,,,0.04352454460850702
RTN4,-0.04765723415437362,0.04051410676720373,0.02263491613677954,0.010582532863529724,-0.017650979046303788,-0.1590417940295253,-0.1616483069396033,0.016204346561427514,-0.05863975525237307,0.10880876063504122,-0.07380854978449451,-0.11434114162964253,-0.060821475418136546,0.024095816002980257,-0.007791045373010522
HEBP1,0.020205262907020106,0.05465077307695167,0.03260332945409962,-0.03893994794535636,0.006329401884309049,0.07019235610034222,0.11677805891371427,0.01624988516495708,-0.037107934903416774,0.07513987278191771,-0.039551966859312594,-0.028291969717296115,0.04991730196248977,0.024915197263838184,0.027250815831736115
WNT7B,0.012093806804867305,0.018281555879882658,0.01601376791138677,0.0770295266578072,0.008589548029444179,0.023212268942727557,-0.03892446644312783,-0.026276448704404622,-0.014596020984577456,,-0.04426108729659263,0.02050537568274348,0.047595118501041124,0.05331376940913612,-0.025158899722717308
PTMA,0.03434296575488591,-0.0052600954215182225,-0.04544630962463057,-0.0772148802765078,0.02312846508691974,0.20906538040797193,-0.05681930918188617,-0.0027182290565022347,0.10331012523528936,-0.03176517998197558,-0.1086575339143992,-0.02213817454405933,-0.029249940638297618,-0.01976440472320801,0.05786311259601397
FASLG,-0.001349332783503932,,,,,,,,,,,,,,-0.015026693913094356
CEACAM1,-0.022569886619942588,-0.020954413404091266,,0.015169050522826955,0.01674901909467458,,-0.025186693623322473,-0.00963928470307916,,-0.08041962556348232,-0.03969405203283256,-0.02385678512156222,0.08879999049616193,-0.021768427510660767,-0.02090743756046129
PDAP1,0.045544769876977226,0.00444702879976843,-0.026711836469889918,-0.06553430607041619,0.039334089456407255,0.08088917584495547,0.17095063062087276,0.06623549286021112,0.058156739901546614,0.0378938135870227,0.0892548639281961,-0.043875445623448445,-0.042653810428136166,-0.003688406090153018,0.022360169552020887
QDPR,-0.04725524415853522,-0.06221873507344623,0.030808485832994455,-0.018480953417462406,0.02315608852474291,-0.04799873529356486,-0.1463816842846677,-0.03457827874253069,-0.002541683637174103,0.036767383282827276,-0.2513679128601917,0.011079715676893925,0.0470927009189793,-0.03910925074002328,0.02009171937672451
POMC,0.059948955954426175,-0.03512374449766897,,-0.014871853794225906,-0.034470349655902656,0.026757043261390213,-0.04516463006898148,0.0008009621653807684,0.03742006931495615,0.059798590958901825,0.008682428382636246,-0.035598860925806566,0.006163326428892512,0.008047959649641775,0.0008124324292018194
CCL18,,-0.026149128070940535,,,,,,,0.04492808558132869,,-0.028143735524098278,0.05652156278383419,0.019944476822188376,-0.0571598998224305,
CCL17,,,,-0.016291906930526616,,,,-0.01759281539134277,,,,-0.03968294786340143,-0.022008941465980123,,-0.01362001023968606
VEGFD,,0.038769664449518355,,-0.018150983431334936,0.08502231339943744,,0.10687952599398197,-0.004353941177927366,0.1247850274201197,-0.03837110020334412,,,-0.02781343866282332,,
TNFSF13,,-0.01973297742907197,,0.0401532223753017,,0.0011085296915916837,,,,,,0.027101375694025,0.04105141203271678,0.037601859040721844,-0.022192669869504876
WNT5A,-0.01892492395138476,-0.0012544684315384952,0.0014351427824889488,0.007842181503057441,0.0694860971786254,0.1886097417831224,0.10151757723019411,0.022584999930977977,0.03344058515220137,0.04781575783643432,0.030348533365439145,-0.04272792626863582,0.029182465749145476,-0.0033154824316487474,0.04012166848975176
CXCL8,,-0.036394888737295954,-0.03519012187864474,-0.03061617680473841,-0.08293425361641568,0.1182234036429601,0.031380361830357355,0.028443653958978635,0.035676724462857204,0.12775680429523664,-0.04955147743089093,0.02726586302921273,-0.13421923246465634,-0.022705253690588754,-0.017625918179863777
GRN,-0.07809928719171742,-0.02488783633834031,0.02960533894892321,-0.06036472358977226,0.03596567702355812,0.047253598117751316,0.12308270889154557,0.0501106125037051,0.06422038357318102,0.1633557748075179,0.0520287174311354,-0.031886427982447084,0.008819996128108559,0.011337813587985145,-0.00013610094979084195
MIA,0.0033338566828856274,0.039062900878971164,-0.029471196365051248,-0.03430529029859927,0.01464229489449439,0.011519766772060451,0.029523048443105965,-0.03457891136784097,0.010190687534894743,0.07927902225000899,0.1374290659451171,0.1432260960984907,0.12169436290244948,0.05243811237487144,0.07397179952004215
COL4A4,-0.023797465272327404,-0.031404890357652766,0.04403871901294538,-0.005289726230817062,0.06505853898798401,0.06552863652448523,-0.00903525765598693,-0.018367443566897956,,-0.022057134625992916,-0.014674071397106352,0.01623006326471136,-0.006956723582824251,-0.01713419731925291,0.002284195606463803
TAC1,0.09204347224901163,0.08994631513267803,0.010172243918237336,0.02238206350079265,-0.052210648489716745,-0.1225908307411589,-0.11426338599176378,0.005794259710691745,,,,,,-0.03755673889977413,-0.01790488840100078
