,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.04021127768096166,,,,,,,,,,-0.01754336622072638,,-0.01431196468233376,
BMP1,0.05120770656876424,-0.030653266861118675,-0.0006954538762911455,0.02235547791777728,0.0720180593788302,-0.034650623930377225,0.0717645155425368,0.13002667567536577,-0.048999644373724394,0.03131509515984733,-0.0020690019363706845,0.0139878785633832,-0.009609151257570019,0.07663410380858506,-0.061867819220860765,0.13330697865794297,0.03832341145875827,0.04553419196642777,-0.0034426888895461886,0.0013240765155160593,0.03897288658535545,0.10030846888888703
NDP,0.007330069613948845,-0.04572944373443197,0.02019140187929134,0.06609889723431904,0.12080385284777953,-0.058137941796001326,0.0429987857301699,0.023168965340570086,-0.07116336032193571,0.003317714904226562,0.03582432297739932,-0.006402337762317556,-0.024218896394784424,0.04016161182092256,-0.08436506695558296,0.003740539158698475,-0.0018990286349083257,0.10359365914602524,-0.03913320277357401,-0.003823363817972988,0.000742200984828209,-0.019547280777390156
TNFSF18,0.11112901777115902,-0.045946233099462296,-0.03153790319781551,-0.016811136492097808,,,,0.03845895343192921,0.07006597341761608,0.06963366248920975,,,,-0.029396011038754645,,,,,-0.018092163924836605,,0.06992274086944274,-0.037816861473402914
RTN4,0.01564919566951895,0.031200866141768906,0.015883472568248447,0.046913337399975934,0.06439644495040779,-0.05767384762656189,0.005247397898830084,-0.09485750153666839,0.015001094418299858,0.0023359120879336602,-0.04906913976677122,0.047236883524604235,0.03807182927177711,0.007751291260668878,-0.08114563797387289,-0.03290206177317264,0.017043802225626334,0.002453246278466313,-0.01839998309431834,-0.03915478305802241,0.03441271126337637,-0.11774187202370602
HEBP1,0.004225583076888165,0.07348244854743124,-0.008433301486376938,0.02896519431273849,-0.04059990845570214,0.010816539032486736,0.07232159244719683,-0.005900571055610617,-0.017144228309311376,0.020556275819211905,-0.01044475109791459,0.009030362885720051,-0.02750157906985571,0.045882577865990114,0.003664988922766761,-0.026761264245663368,-0.0041411040192473195,0.09252703266017075,0.022875806798436787,0.0007524566550235853,0.033635470877703424,0.010493820453278428
WNT7B,0.08168868663581323,-0.024588738983787016,0.004390216190804132,0.07239071679377236,0.10998471608826083,0.04947987138059773,-0.06181410326028759,0.013734386433774186,0.07454611967314016,0.04409382040248267,-0.021700879505841247,,-0.04787767849362732,-0.03236213894396308,0.018247148885802953,0.02617444350609208,0.01771869139212808,0.015958439655396655,-0.009891417567797853,-0.012575691035467379,0.05593120618336296,0.07487185285298666
PTMA,0.04039809221162476,0.06979390640942874,0.00767899503196124,0.01251157522239685,0.09994566510609562,0.03375508095800887,0.03830843570645129,0.15062492957451337,-0.017503651229926226,-0.023681853937728425,0.04556365502153288,-0.06173904548801238,-0.012195661690555554,0.0437633025766448,-0.1386105501806941,-0.05328628653297927,0.030990727175615507,2.6220329818783378e-05,-0.027142347300279226,0.04591337440184952,0.03682585999372278,0.08933545731659749
FASLG,-0.0041853213637594415,,,,,,,,,,,,,,,,,,,,0.017495210594463653,
CEACAM1,0.045405493073766325,,0.040838263264557154,0.024118802127356218,,-0.012522861086907082,0.04862996185203973,,-0.048464486960840374,0.033186386794923486,,,,,-0.053413641909865694,0.0759449469757619,0.014320747952271898,-0.028211352915111985,0.01175717705801575,-0.026931436497524292,0.07558289627273242,
PDAP1,0.017213437227211456,0.0062216088388626105,-0.020611339813042986,0.08365191645348691,0.08045793019356864,0.05637523367521233,-0.01208751694328999,0.08847004136094927,0.028462980259739947,0.04831555608638978,-0.012805618433773418,-0.008345058303910753,-0.0480320778289501,0.014951635108955579,-0.06374581642155283,0.005423223579694695,0.044796294859000364,0.01603196109082061,-0.04709431699980521,0.047526509558870215,0.011692861197294522,0.012472796103340855
QDPR,0.09740071652443981,-0.04109176039362948,-0.03139865668384934,-0.04226279909903299,0.12075910262006478,-0.038222252385116555,0.07450244463942156,-0.051853974047970486,-0.09035071775373484,0.003200435684192539,0.01606755862915085,-0.014172325290017109,0.001847150405851024,-0.051606908201717615,-0.025205146675198686,-0.09694613213943522,0.050663122365963154,0.010233742534871417,-0.033021727362281476,-0.016376028234352687,0.031603245256080964,-0.15730419415635538
POMC,0.029749395156411722,-0.007800420461127944,0.04420764024100592,0.01115267056832112,,0.03234339431573978,-0.03579355712240757,0.009542796640378595,0.05096726541475441,-0.03390365389127873,0.06259697370762667,-0.008374102518979477,-0.021563508843331334,-0.0290951524037648,0.09232215151269757,0.024463786519307903,0.043203399115193365,0.05529986032152385,0.050255339029706,-0.04405629224478627,0.05368039585704284,0.1092050728048273
CCL18,,0.08794927097845773,0.046038283559892916,,,,,,,,,0.041573243251844166,-0.02257183485084681,,0.024207962421490942,-0.030245775497137292,0.030537375004819175,-0.0072189223393576175,,-0.006591251753337623,,
CCL17,,,,,,0.03598211387436197,,,,0.04665599665937423,-0.026859605464992612,,,,,,-0.02575016427553317,0.05076984403485806,-0.02312991496914292,,-0.034675036114884615,
VEGFD,,-0.005217972942899118,0.04958910088608152,-0.0013253821192976427,,0.048697993748030875,0.0013958603921754248,,-0.0068016312798526045,0.05476201080537711,-0.01970184543321089,0.09749246450300206,0.06350691350062337,,0.025280463749790368,,,0.02364112220285105,-0.024394921259946575,,,
TNFSF13,,,0.008299779277325333,,,0.03750662750963969,,0.05655000901232351,,,,,,,,,0.005470389446752376,0.017219676434340227,0.05495465885288213,-0.017697255053858704,-0.010568402841254878,0.0016327783249403076
WNT5A,-0.051980582030353294,0.0056372424189824345,-0.002284266318103566,-0.010177716143818107,0.054328437552120835,0.0023883028784263925,0.015107730550830202,0.08702914684152706,-0.031663352555805095,0.021601681090147033,0.002067406035512242,0.032023985748576365,-0.038678994439385286,0.14733285869368412,0.05187230121169561,0.046752557360311246,-0.026687449044877874,0.04959036781690951,0.13074214846386173,-0.016443637235693098,0.06657845759765499,0.13203202927606877
CXCL8,,0.02447197637289737,0.07953494831341128,-0.03444417881026885,-0.06219241055490069,0.08706224537069195,0.02272525781708463,0.03534418212757213,0.004204840657351911,-0.03229232828447543,0.0271756769012054,0.07086813451576023,0.09387821547405843,,0.1773464461004419,-0.053252449755395836,0.0030117297539664716,-0.022312386694274357,0.028358193348843364,-0.04233417811636748,0.1648639229046757,0.06875168824422648
GRN,0.00866643593969442,-0.0006443405796612508,0.03865569695303064,-0.0568074403232995,0.13805058232312117,-0.028050155850307668,0.03806587122681115,0.07701639964270797,-0.06447420623455354,0.023526133669742735,-0.019866547762757297,0.01619726667232857,0.028527029274279456,0.05748388268807789,0.16196430465397035,0.04501996402769197,0.011014856095502488,0.06859612476452481,0.028670295417009387,-0.008121368690239123,0.06907988040992255,0.05222428632250074
MIA,0.09141115700046187,-0.04522861790963286,0.06961603194513792,-0.03271484720846976,-0.03498535962522259,0.013144148362604654,-0.021013834643960876,0.02078376839169818,-0.024974668564525213,0.01436962020711342,-0.0224067000102632,,0.020860693315335004,0.16765984027242312,0.043066298224690186,0.08605877123057815,-0.03122656116896708,0.014902012192255312,0.07199427270294025,0.0012503664838841556,-0.03739761528941037,0.09779499828422554
COL4A4,0.03833073286626947,-0.006898428285827274,0.0005840050666151422,-0.014257548487310201,-0.0006395406900616093,0.03252667204888031,-0.05189626461421063,-0.004124161368032733,0.0020759708144073453,-0.019645495514370937,0.06717948428143898,,,,,-0.03824011061988409,-0.028805164080381387,-0.04304131333564,-0.03562976430268897,-0.04053355793159906,0.13419987042905704,0.09150873988483489
TAC1,-0.01462754059647992,0.060920989554764396,-0.0003387164165171652,-0.006242873793425188,0.0949072596104683,-0.0011583060658652896,-0.0453071189782507,-0.042955575882847076,0.09466108290007526,-0.0667710909319826,-0.021575506314752278,0.059999468052048394,,,,,,,,-0.046464400252982034,-0.04558386087909368,-0.04924054545699814
RARRES2,-0.056715545718955394,0.06331164553865523,0.02318907573498243,0.014359078504455428,0.016409154782330408,-0.019741742743684898,-0.009717754061340135,0.029130978722907843,-0.03320721310742003,0.05170681257506963,-0.0018147873702133524,0.009137141859528287,-0.028646068328574727,-0.048162202616736795,0.16075698881407022,-0.011544283194198621,0.017736836765858778,0.0320550034848986,-0.020853271965924725,0.017775091607070786,0.06625825983118924,0.004422868879608094
FGF7,0.04767551374759927,0.0035724429088785496,,-0.009058149558684891,0.012540961782526002,-0.030557240075854974,0.037081289549555495,0.039180573619458314,-0.011380684112845364,-0.003967377074992821,-0.0068270407203181605,0.0011228663786668506,0.004559041518169256,-0.04179878293737561,0.002937774601283778,0.0006296259896757409,0.044724376685482736,-0.025150996701559184,0.047935733904476675,-0.03578913514712327,0.06040403192591898,0.033772688681552074
EFNA2,,,,,,,,,,,,,,,,,,-0.014949968738740512,,,,
HBEGF,-0.07651266474184715,-0.039350780145314845,0.02721835449515604,0.0501413018765925,-0.007615363383992934,0.013810845284252193,-0.00938853341541605,0.06764995694946124,-0.05062756752349856,0.0386140307175204,0.023929566253671448,0.012967350240154116,0.003885326150993814,0.001963133055048008,-0.003377786862743836,0.06185568816536231,0.02693939244464377,0.017791989765662257,0.0360731713579207,-0.019617761092800758,0.0560470964838594,0.20203886278107305
CSF3,,0.06398796856003598,,,-0.03296886699474626,0.17429464069954892,-0.005817387230467334,,0.01668343872876084,,,,-0.021887658763284818,,,,0.02121670498647103,0.02732469364621906,,-0.03860989301749705,-0.01220031428866904,-0.005192924682284776
PI3,,-0.02747620680200964,0.06998542929673354,,-0.028925379526645624,0.09899736471746033,0.00010736396945780122,,-0.04720554739454724,,,,,,0.02563818082306231,,0.03391715342141616,-0.05523996065090952,-0.019652635170192376,-0.002439327719553182,0.041704382901129544,0.014431724199235482
PCSK1N,-0.03999700109054396,-0.0076678811442364705,-0.026636242957131673,0.05710101969460919,0.10538707169318182,-0.08318146241934767,-0.03212084456477354,-0.034831614288570206,0.05281643611499961,-0.020669210957007057,-0.07098160511226484,0.02527289257160465,0.07097328367549531,0.03641839245636794,-0.01538821516561769,-0.0650827753444622,0.029366620303898406,-0.03314492894426669,0.001615767307845688,0.006810487513814594,-0.06432054741128354,-0.09920293697333046
NTS,,,,,,,0.022941786703407577,-0.0004510919114948019,-0.05152807821545493,0.034673004072992404,-0.020376614746285632,-0.020181937735786797,,,,,0.004304739808025792,-0.04582412064959061,,0.03671922634483047,-0.004518422600622716,
SFRP1,0.10702656162787232,-0.042756661381863306,0.07605504239902905,-0.06223692615813709,,0.010218294005928276,0.05435183877024975,0.029883413810201525,0.009980931877753315,-0.020050908698911185,0.015890342897672313,0.1011787572742275,0.02383373766021889,-0.030371127716189692,-0.12009368471091313,0.11910120237749816,0.03603956322207398,0.048828578512786255,-0.05357489455081907,-0.022850146891084715,-0.03521414786677662,-0.0695313752268768
CXCL13,,,,0.014877941615751997,0.13621643848296594,,-0.025181508927425402,,,,,,-0.003872349769280705,,,,0.016467142926129285,0.005849874462501928,,0.032562150425459055,,0.03453635958926883
MICA,-0.012970819727825914,-0.01857787365850508,0.07244617011282978,0.05802270537752475,-0.02403158855240875,0.0863895764406004,-0.05284231247277331,-0.05045988084667809,0.022965766711909294,0.017369568023395763,0.03907907324451359,0.036030287940574876,-0.015135049356803508,0.06218185888147589,-0.1152776495758072,0.07623532007672452,0.06534566281190542,0.028452437139888192,-0.009869355432270516,0.035823975542115326,0.10870400638423647,0.025076743581455493
TG,0.04704516937970033,-0.03196662477785737,0.015794747708671727,-0.034923895694265766,,0.03231366080098594,-0.011442948224984945,0.019410470535681165,0.055487202313749456,0.030717332680307585,-0.004944724905043773,,0.011284795698678471,0.0006083373206247009,0.05340851785072965,-0.049247193906811135,-0.034215530412146346,0.0385508955052849,,-0.03177653525544154,0.04880420982813527,0.12222253017346255
ADA,0.03464267564805636,0.03930257958344247,0.016741185319045983,-0.021301635179224707,0.0651307157211989,0.004684895856711935,-0.001996597489196769,0.033422681756222046,-0.010563447153528676,-0.06302950214507086,-0.021874058423620425,0.012817127509533628,-0.019822846295509004,0.030295375861556655,-0.2213034712789249,0.05440797014238202,-0.05280320078890159,0.03441627266875293,-0.023098659550595896,0.032092078186524084,0.059620782658168635,0.03505497870814243
LAMC3,0.07185190908500874,0.025397282224150327,0.04958346010576638,0.09456267942159269,-0.005883168796559976,-0.06689010662300843,0.08382515796769009,0.08590028711150174,-0.004133664896491158,0.01534071776073512,-0.046192766351150445,-0.024876647304936716,-0.0485616183428457,0.07887898873644338,-0.14226249063859123,0.0257669500879038,0.02348013856035457,0.025393321255954678,0.06762981722579825,0.010693236278826913,0.0672089459604047,0.06769226771993832
CCL7,,,0.006475650650738899,,,0.013733207073580682,0.007431454075200595,,,,,,,,,,0.04348136088598374,,,,-0.03825628319471094,0.07417155123928139
NGF,,0.04882646105607955,0.04755866072861005,,,0.027935656704883256,-0.04733356002902758,-0.029863840038872023,,,,0.08411391957849627,-0.045698535501099924,,,-0.04494713196059229,0.07600928752673168,0.008210285079508344,,0.07386953162730733,0.012745341703847123,0.06702999460220659
TNFSF15,,-0.002519315516717163,,,,0.030926610495775574,0.06121836607591416,0.029387864201811886,,,,,-0.01393849131652028,-0.034724380144946596,,0.0030096933492127346,0.06275691805459725,,,-0.02397608071378866,-0.00974236624126207,0.07045894618137878
