,UKF259,UKF275,UKF296,ZH1019T1,ZH916T1
IGFL3,,,,,-0.022198084955758132
BMP1,-0.029600428311337756,-0.030205124223572116,0.06483902512985536,0.0063624973483108315,-0.023112951295898795
NDP,0.0769956721116894,0.003964651422215014,0.07087282976494019,-0.048815414069971204,0.15692987570080164
TNFSF18,,-0.018525842828747884,,0.07331314992371266,-0.02578877832314206
RTN4,-0.07613903338858716,0.056089462196772875,-0.05892451881973138,0.007599737625077082,-0.04220806370355143
HEBP1,0.06890247407785924,0.005904768332842509,0.0051611598633252,-0.05965291806721001,0.05348630560288162
WNT7B,0.04325585259936993,-0.03542362408085369,-0.0435035636826109,,-0.030064429947665037
PTMA,0.07312688002612015,0.04357848454307562,-0.06031522286632617,-0.004640238870555364,-0.1218445076723126
FASLG,,,,,-0.019252391509142913
CEACAM1,-0.015450134684390639,-0.010104893048846075,,-0.030603724184032708,0.004861952189540688
PDAP1,0.003700606322638125,-0.024552404668844313,-0.05634663217660832,0.049561099422093455,0.05841818275320989
QDPR,-0.07082532990189842,0.037498285470503476,-0.098344655188531,-0.0010513872029320698,0.06987772507764493
POMC,-0.022419140468418586,-0.021495923029336974,0.04331721636361194,0.11697854059764266,0.041156448811808334
CCL17,-0.024186069392789476,0.0015623482413695939,0.04899565569595418,,0.07945083722543161
VEGFD,0.033615634659717966,-0.02461677790584211,-0.00788474247087904,-0.01864446529698208,
TNFSF13,-0.010994344881404298,,,,0.07892080417732752
WNT5A,-0.04646601203987909,-0.04601025547095743,0.05738126657973478,0.023342276660480554,-0.044139312367920513
CXCL8,-0.005115562697268299,-0.024466953239471588,-0.015889110345226626,0.08841494434295712,-0.031535474460322996
GRN,0.01809671254321181,-0.0440891820326707,0.027043606574300775,-0.04480354881274569,-0.07672025049587572
MIA,0.036643885712862596,-0.039341019354796496,0.026583254571912608,-0.027621780316796338,0.06515555709106148
COL4A4,0.020939978451713904,-0.02412268237320573,-0.014828294465031653,-0.03257760671655936,-0.034116839361800155
TAC1,-0.018963417641506573,0.05755871284169479,-0.04094528768598049,,-0.02293997092222625
RARRES2,0.03494186280592391,0.04104013125394112,0.031529328668800295,-0.0712550340308346,0.10015825587753115
FGF7,0.04116739770955135,0.01668439826344854,-0.011500369398560143,-0.049428600081854665,0.030654373919645386
HBEGF,0.0008371132930085904,-0.05597837167682013,0.020232404992677075,0.015522503105676691,-0.13521514710046753
CSF3,0.012263036739632324,,,,0.07364793171322942
PI3,0.06769623450009604,,,,-0.03991689430075152
PCSK1N,0.02442096177474602,-0.007211767351028031,-0.02529681297629898,0.03471532600997617,0.094245927287109
NTS,,0.051693382985679895,0.004583009181567407,,-0.027206864214289944
SFRP1,-0.02929526067951253,-0.005033842887575942,-0.007663087579585162,0.026348325639773972,-0.026574645616959016
MICA,0.012968923978738015,0.06276573957882632,0.04889557884240695,0.043306561427568196,0.038259701313236326
TG,-0.031614227645659514,-0.02327774848833465,0.04253354364766311,-0.024398706398219772,0.014961047274594096
ADA,0.009601004124020316,0.01226087878749837,0.02740412011118349,-0.11121754058899395,-0.040759920907993075
LAMC3,-0.004713529773287239,-0.05987666326331013,0.06792191109339733,-0.0702841372417697,0.0004675399684468171
CCL7,0.06430086903255766,,,,-0.01925238466322229
