,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.017700315947889806,,,,,,,,,,0.1502860761691782
BMP1,0.0013745810677026548,0.015517575866333311,0.08643541804811407,-0.017714794587098626,0.06390864367300884,0.08899918138287959,0.0652363037750546,0.0357871683233183,0.030507615752139835,0.03428470551797542,-0.04890228563340604,-0.02388892807043131,-0.005802423764879515,-0.004487177898484476,0.004064881575290726,0.016562030599422326
NDP,-0.04266596817733608,0.007209510473525197,0.03133940059621726,0.033961648304808204,-0.017850252568021436,0.03634020042693422,0.030713903718981736,0.06418170337924112,0.11386638468706245,0.15061303286997432,0.016487690819544057,0.0897806116908356,0.020961387144228696,0.05928638662810332,-0.013150846762894854,0.0980540379401904
TNFSF18,-0.0013824547361451951,-0.03561767501663101,,,0.13422251818757994,0.06215025604102079,-0.02223238505649836,,-0.027396222912635694,,0.05081819316502502,,,,,-0.029594624706478855
RTN4,0.05351321305870492,0.01208434071449801,-0.019237954394290307,0.07359801653328026,-0.12928478267192503,-0.14698622609524198,-0.029322506812953876,-0.03240108037725919,0.03521115126354373,-0.06844997212008493,0.02135540950389321,-0.08165127252238086,-0.03897911182664878,-0.02632469387247121,0.011696785146080767,-0.07285006840805049
HEBP1,-0.012419617402992394,-0.037713268583551646,0.00029681446290411305,0.013669999887814479,0.0021443836896349214,0.033416777980884584,0.01743178254942235,0.006321259630735911,0.0890158704103432,-0.07443824631841507,-0.080206599171405,-0.02130564252575591,0.08828262858198059,0.04512933602331418,-0.002776704865841497,0.07992425930441362
WNT7B,-0.03981128171078388,-0.017365668717297122,0.021814966830700108,0.028644946785313624,-0.0221582330166775,-0.026055285090065185,-0.03673181043553509,-0.006368930581748996,0.09824706792483417,-0.04655735066900936,,-0.04288072083652885,0.06283566050938247,0.018416559066009617,-0.02179263267631612,-0.026492149453298097
PTMA,-0.024505728608502423,0.0479265714420333,-0.04898369562920501,-0.049344468904946676,0.14561666292578565,-0.03203466648283989,-0.026696293221233527,0.02335110292228285,0.07633286195760845,0.014954512433232174,-0.07093912489695152,-0.11834303948517509,-0.06919714993830779,-0.05255257162920661,-0.07384977291234786,-0.07986028873715263
FASLG,,,,,,,,,,,,,,,,-0.015216436473724783
CEACAM1,0.003134847752027283,0.02314530889360876,0.016621849619965177,-0.01668695022543024,,0.03253307485176224,0.004325590280213782,,,0.02812633045583646,-0.01747471838139201,-0.0026381364953880684,0.02256315153024545,-0.02758096605576105,-0.014464087252792605,-0.0015333749354757523
